name,sentence_id,,,,
,,,,,
Dorothy Gale,10,,,,
Uncle Henry,10,,,,
Henry,11,,,,
Dorothy,13,,,,
Uncle Henry,13,,,,
Uncle Henry,16,,,,
Dorothy,19,,,,
Uncle Henry,19,,,,
Uncle Henry,22,,,,
Dorothy,22,,,,
Dorothy,25,,,,
Uncle Henry,26,,,,
Uncle Henry,27,,,,
Dorothy,29,,,,
Dorothy,31,,,,
Dorothy,33,,,,
Dorothy,35,,,,
Dorothy,42,,,,
Uncle Henry,42,,,,
Dorothy Gale,47,,,,
Dorothy,51,,,,
Dorothy,52,,,,
Dorothy,54,,,,
Dorothy,55,,,,
Dorothy,59,,,,
Dorothy,66,,,,
Dorothy,74,,,,
Dorothy,79,,,,
Dorothy,86,,,,
Dorothy,91,,,,
Dorothy,94,,,,
POSS'BLY,102,,,,
Dorothy,102,,,,
Dorothy,105,,,,
Dorothy,112,,,,
Dorothy,114,,,,
Dorothy,118,,,,
Dorothy,121,,,,
Dorothy,127,,,,
Bill,135,,,,
Bill,141,,,,
Bill,142,,,,
Bill,143,,,,
Bill,143,,,,
Dorothy,144,,,,
Billina,144,,,,
Billina,148,,,,
Dorothy Gale,149,,,,
Dorothy,149,,,,
Miss Gale,149,,,,
Dorothy,150,,,,
Dorothy,158,,,,
Dorothy,159,,,,
Billina,160,,,,
Dorothy,161,,,,
Dorothy,167,,,,
Dorothy,171,,,,
Dorothy,173,,,,
Billina,174,,,,
Dorothy,176,,,,
Dorothy,183,,,,
Billina,184,,,,
Billina,186,,,,
Dorothy,190,,,,
Billina,197,,,,
Dorothy,197,,,,
Billina,203,,,,
Dorothy,207,,,,
Billina,211,,,,
Dorothy,212,,,,
Dorothy,218,,,,
Dorothy,220,,,,
Wheelers,221,,,,
Dorothy,223,,,,
Billina,229,,,,
Dorothy,232,,,,
Dorothy,241,,,,
Dorothy,244,,,,
Billina,245,,,,
Dorothy,249,,,,
Billina,249,,,,
Billina,251,,,,
Billina,254,,,,
Billina,257,,,,
Dorothy,258,,,,
Billina,263,,,,
Dorothy,264,,,,
Dorothy,266,,,,
Dorothy,268,,,,
Wheeler,272,,,,
Dorothy,272,,,,
Dorothy,275,,,,
Wheeler,275,,,,
Wheelers,276,,,,
Billina,279,,,,
Dorothy,280,,,,
Dorothy,281,,,,
Wheeler,282,,,,
Dorothy,283,,,,
Billina,284,,,,
Dorothy,286,,,,
Wheelers,287,,,,
Dorothy,287,,,,
