name,sentence_id
,
Butterfield,1
Dorothy,2
Butterfield,6
Shaggy Man,7
Butterfield,8
Dorothy,9
Toto,19
Dorothy,20
Dorothy,26
Henry,27
Dorothy,30
Butterfield,32
Dorothy,32
Uncle Henry,32
Toto,39
Dorothy,40
Dorothy,44
Butterfield,49
Butterfield,51
Dorothy,59
Toto,72
Dorothy,74
Toto,79
Toto,80
Dorothy,80
Dorothy,82
Toto,84
Dorothy,102
Dorothy,104
Toto,107
Dorothy,107
Toto,108
Toto,110
Shaggy Man,111
Dorothy,111
Toto,111
Toto,115
Dorothy,118
Toto,118
Dorothy,119
Dorothy,123
Uncle Henry,124
Dorothy,129
Butterfield,134
Toto,143
Love Magnet,154
Dorothy,156
Dorothy,160
Hungry Tiger,160
Toto,162
Dorothy,165
Dorothy,168
Dorothy,170
Toto,170
Dorothy,173
Dorothy,177
Toto,177
Button,181
Bright,181
Papa,194
Button,194
Bright,194
Papa,195
Button,198
Bright,198
Dorothy,200
Dorothy,213
Dorothy,221
Dorothy,223
Button,224
Bright,224
Button,225
Dorothy,227
Dorothy,229
Button,232
Bright,232
Dorothy,235
Button,236
Bright,236
Button,238
Bright,238
Dorothy,239
Dorothy,242
Button,243
Bright,243
Button,250
Bright,250
Toto,252
Button,252
Bright,252
Dorothy,255
Toto,259
Dorothy,261
Button,262
Bright,262
Dorothy,266
Shaggy Man,266
Button,267
Bright,267
Love Magnet,267
Button,267
Bright,267
Dorothy,268
Toto,268
Dorothy,270
Toto,270
Mary,270
Button,271
Bright,271
Dorothy,278
Button,282
Bright,282
Button,284
Bright,284
Shaggy Man,289
Dorothy,289
Love Magnet,289
Toto,290
Toto,291
King Dox,296
Button,297
Bright,297
Button,299
Bright,299
Button,301
Bright,301
Dorothy,307
Toto,307
Button,307
Bright,307
Dorothy,312
Button,313
Bright,313
Toto,314
Dorothy,314
Dorothy,317
Dorothy,323
Button,323
Bright,323
Toto,325
Dorothy,325
Dorothy,329
King,329
Button,331
Bright,331
Royal Hairiness,334
Dorothy,339
Dorothy,340
Fox,342
Ozma,344
Oz,344
Ozma,345
Ozma,347
Dorothy,348
Dorothy,351
Ozma,352
Fox,358
Uncle Henry,360
Dorothy,367
Fox,368
Dorothy,369
Butterfield,372
Dorothy,375
Fox,381
Dorothy,384
Button,384
Bright,384
Dox,385
Button,385
Bright,385
Button,389
Bright,389
Button,392
Bright,392
Dox,395
King Renard,396
Button,398
Bright,398
Button,406
Bright,406
Dox,406
Button,412
Bright,412
Button,416
Bright,416
Button,420
Bright,420
Dorothy,422
Button,424
Bright,424
Button,426
Bright,426
Button,431
Dorothy,434
Renard IV,435
Button,437
Bright,437
Dorothy,438
Toto,439
Dorothy,439
Button,440
Bright,440
Dorothy,443
Button,444
Bright,444
Button,447
Bright,447
Dorothy,451
King Renard,453
Dorothy,455
Ozma,456
Foxville,457
Button,462
Bright,462
Dorothy,462
Button,463
Bright,463
Button,466
Bright,466
Dorothy,470
Ozma,471
Button,472
Bright,472
Dorothy,473
Dorothy,476
Dorothy,477
Button,477
Bright,477
Dorothy,483
Aesop,485
Aesop,486
King Dox,487
Aesop,493
Button,494
Bright,494
Dorothy,497
Dox,497
Button,504
Bright,504
Dorothy,504
Dox,505
Ozma,505
Ozma,508
Ozma,509
Fox,510
Dorothy,512
Button,519
Bright,519
Dorothy,520
Toto,522
Dorothy,524
Button,525
Bright,525
Dorothy,528
Dorothy,531
Dorothy,533
Dorothy,534
Dorothy,536
Dorothy,539
Dorothy,541
Dorothy,544
Polychrome,548
Dorothy,551
Rainbow,551
Polychrome,554
Dorothy,556
Dorothy,561
Shaggy Man,561
Button,561
Bright,561
Fox,561
Button,562
Bright,562
Rainbow,563
Toto,565
Polly,567
Polly,567
Polly,569
Dorothy,569
Polly,570
Toto,570
Button,570
Bright,570
Polychrome,571
Toto,571
Rainbow,572
Polly,576
Dorothy,576
Rainbow,577
Dorothy,581
Ozma,583
Polychrome,584
Polly,588
Dorothy,588
Fox,591
Polychrome,593
Dorothy,594
Rainbow,598
Button,598
Bright,598
Button,603
Bright,603
Polychrome,606
Dorothy,607
Button,612
Bright,612
Dorothy,613
Oz,614
Oz,615
Scarecrow,618
Button,618
Bright,618
Dorothy,621
Button,621
Bright,621
Rainbow,621
Dorothy,624
Button,626
Bright,626
Polychrome,626
Love Magnet,628
Dorothy,632
Button,653
Bright,653
Button,655
Bright,655
Dorothy,664
Kik,671
Dorothy,672
Dorothy,686
Madam de Fayke,687
