name,sentence_id,title,first,middle,last,suffix,nickname,gender
,,,,,,,,
Dorothy Gale,19,none,Dorothy,none,Gale,none,none,female
Dorothy,24,none,Dorothy,none,none,none,none,female
Uncle Henry,31,Uncle,Henry,none,none,none,none,male
Eureka,31,none,Eureka,none,none,none,none,female
Dorothy,36,none,Dorothy,none,none,none,none,female
Dorothy,39,none,Dorothy,none,none,none,none,female
Jim,42,none,Jim,none,none,none,none,male
Jim,42,none,Jim,none,none,none,none,male
Dorothy,47,none,Dorothy,none,none,none,none,female
Uncle Henry,54,Uncle,Henry,none,none,none,none,male
Uncle Hugson,56,Uncle,Hugson,none,none,none,none,male
Bill Hugson,59,none,Bill,none,Hugson,none,none,male
Uncle Henry,59,Uncle,Henry,none,none,none,none,male
Uncle Bill,60,Uncle,Bill,none,none,none,none,male
Uncle Hugson,63,Uncle,Hugson,none,none,none,none,male
Dorothy,66,none,Dorothy,none,none,none,none,female
Zebediah,68,none,Zebediah,none,none,none,none,male
Zeb,68,none,Zeb,none,none,none,none,male
Uncle Henry,70,Uncle,Henry,none,none,none,none,male
Uncle Henry,71,Uncle,Henry,none,none,none,none,male
Uncle Henry,74,Uncle,Henry,none,none,none,none,male
Dorothy,78,none,Dorothy,none,none,none,none,female
Zeb,82,none,Zeb,none,none,none,none,male
Dorothy,83,none,Dorothy,none,none,none,none,female
Zeb,85,none,Zeb,none,none,none,none,male
Jim,85,none,Jim,none,none,none,none,male
Jim,86,none,Jim,none,none,none,none,male
Jim,89,none,Jim,none,none,none,none,male
Dorothy,94,none,Dorothy,none,none,none,none,female
Dorothy,97,none,Dorothy,none,none,none,none,female
Zeb,98,none,Zeb,none,none,none,none,male
Dorothy,99,none,Dorothy,none,none,none,none,female
Jim,103,none,Jim,none,none,none,none,male
Dorothy,105,none,Dorothy,none,none,none,none,female
Jim,106,none,Jim,none,none,none,none,male
Dorothy,108,none,Dorothy,none,none,none,none,female
Dorothy,114,none,Dorothy,none,none,none,none,female
Zeb,114,none,Zeb,none,none,none,none,male
Dorothy,115,none,Dorothy,none,none,none,none,female
Jim,115,none,Jim,none,none,none,none,male
Zeb,116,none,Zeb,none,none,none,none,male
Dorothy,119,none,Dorothy,none,none,none,none,female
Jim,124,none,Jim,none,none,none,none,male
Dorothy,125,none,Dorothy,none,none,none,none,female
Zeb,125,none,Zeb,none,none,none,none,male
Dorothy,131,none,Dorothy,none,none,none,none,female
Zeb,134,none,Zeb,none,none,none,none,male
Zeb,139,none,Zeb,none,none,none,none,male
Dorothy,141,none,Dorothy,none,none,none,none,female
Dorothy,151,none,Dorothy,none,none,none,none,female
Zeb,153,none,Zeb,none,none,none,none,male
Zeb,155,none,Zeb,none,none,none,none,male
Jim,159,none,Jim,none,none,none,none,male
Dorothy,159,none,Dorothy,none,none,none,none,female
Zeb,159,none,Zeb,none,none,none,none,male
Jim,161,none,Jim,none,none,none,none,male
Zeb,161,none,Zeb,none,none,none,none,male
