name,sentence_id,title,first,middle,last,suffix,nickname,gender
,,,,,,,,
Glinda,5,none,Glinda,none,none,none,none,female
Sorceress,7,none,Sorceress,none,none,none,none,female
Glinda,7,none,Glinda,none,none,none,none,female
Ozma,8,none,Ozma,none,none,none,none,female
Oz,8,none,Oz,none,none,none,none,male
Dorothy,8,none,Dorothy,none,none,none,none,female
Ozma,10,none,Ozma,none,none,none,none,female
Glinda,10,none,Glinda,none,none,none,none,female
Ozma,11,none,Ozma,none,none,none,none,female
Dorothy,12,none,Dorothy,none,none,none,none,female
Sawhorse,12,none,Sawhorse,none,none,none,none,male
Dorothy,13,none,Dorothy,none,none,none,none,female
Sawhorse,13,none,Sawhorse,none,none,none,none,male
Glinda,15,none,Glinda,none,none,none,none,female
Sorceress,15,none,Sorceress,none,none,none,none,female
Ozma,16,none,Ozma,none,none,none,none,female
Dorothy,16,none,Dorothy,none,none,none,none,female
Glinda,17,none,Glinda,none,none,none,none,female
Ozma,17,none,Ozma,none,none,none,none,female
Ozma,18,none,Ozma,none,none,none,none,female
Dorothy,18,none,Dorothy,none,none,none,none,female
Glinda,18,none,Glinda,none,none,none,none,female
Oz,19,none,Oz,none,none,none,none,male
Sorceress,19,none,Sorceress,none,none,none,none,female
Glinda,20,none,Glinda,none,none,none,none,female
Glinda,23,none,Glinda,none,none,none,none,female
Glinda,24,none,Glinda,none,none,none,none,female
Dorothy,24,none,Dorothy,none,none,none,none,female
Sorceress,24,none,Sorceress,none,none,none,none,female
Dorothy,25,none,Dorothy,none,none,none,none,female
Ozma,29,none,Ozma,none,none,none,none,female
Ozma,30,none,Ozma,none,none,none,none,female
Wogglebug,30,none,Wogglebug,none,none,none,none,male
Dorothy,34,none,Dorothy,none,none,none,none,female
Ozma,35,none,Ozma,none,none,none,none,female
Dorothy,36,none,Dorothy,none,none,none,none,female
Ozma,36,none,Ozma,none,none,none,none,female
Glinda,36,none,Glinda,none,none,none,none,female
Glinda,37,none,Glinda,none,none,none,none,female
Ozma,37,none,Ozma,none,none,none,none,female
Sorceress,38,none,Sorceress,none,none,none,none,female
Ozma,42,none,Ozma,none,none,none,none,female
Glinda,43,none,Glinda,none,none,none,none,female
Oz,43,none,Oz,none,none,none,none,male
Sorceress,44,none,Sorceress,none,none,none,none,female
Dorothy,46,none,Dorothy,none,none,none,none,female
Glinda,49,none,Glinda,none,none,none,none,female
Dorothy,49,none,Dorothy,none,none,none,none,female
Ozma,49,none,Ozma,none,none,none,none,female
Glinda,50,none,Glinda,none,none,none,none,female
Ozma,51,none,Ozma,none,none,none,none,female
Ozma,53,none,Ozma,none,none,none,none,female
Sorceress,55,none,Sorceress,none,none,none,none,female
Glinda,58,none,Glinda,none,none,none,none,female
Dorothy,59,none,Dorothy,none,none,none,none,female
Glinda,60,none,Glinda,none,none,none,none,female
Ozma,65,none,Ozma,none,none,none,none,female
Glinda,66,none,Glinda,none,none,none,none,female
Dorothy,67,none,Dorothy,none,none,none,none,female
Glinda,67,none,Glinda,none,none,none,none,female
Wizard,67,none,Wizard,none,none,none,none,male
Ozma,68,none,Ozma,none,none,none,none,female
Ozma,71,none,Ozma,none,none,none,none,female
Ozma,73,none,Ozma,none,none,none,none,female
Glinda,74,none,Glinda,none,none,none,none,female
Sorceress,75,none,Sorceress,none,none,none,none,female
Ozma,78,none,Ozma,none,none,none,none,female
Ozma,81,none,Ozma,none,none,none,none,female
Dorothy,81,none,Dorothy,none,none,none,none,female
Sorceress,84,none,Sorceress,none,none,none,none,female
Ozma,86,none,Ozma,none,none,none,none,female
Dorothy,87,none,Dorothy,none,none,none,none,female
Ozma,89,none,Ozma,none,none,none,none,female
Oz,89,none,Oz,none,none,none,none,male
Ozma,90,none,Ozma,none,none,none,none,female
Dorothy,91,none,Dorothy,none,none,none,none,female
Dorothy,93,none,Dorothy,none,none,none,none,female
Sorceress,93,none,Sorceress,none,none,none,none,female
Dorothy,96,none,Dorothy,none,none,none,none,female
Ozma,97,none,Ozma,none,none,none,none,female
Ozma,101,none,Ozma,none,none,none,none,female
Oz,102,none,Oz,none,none,none,none,male
Glinda,102,none,Glinda,none,none,none,none,female
Wizard,103,none,Wizard,none,none,none,none,male
Ozma,104,none,Ozma,none,none,none,none,female
Dorothy,109,none,Dorothy,none,none,none,none,female
Ozma,111,none,Ozma,none,none,none,none,female
Dorothy,114,none,Dorothy,none,none,none,none,female
Ozma,116,none,Ozma,none,none,none,none,female
Glinda,116,none,Glinda,none,none,none,none,female
Sorceress,117,none,Sorceress,none,none,none,none,female
Oz,118,none,Oz,none,none,none,none,male
Dorothy,125,none,Dorothy,none,none,none,none,female
Ozma,126,none,Ozma,none,none,none,none,female
Glinda,132,none,Glinda,none,none,none,none,female
Ozma,133,none,Ozma,none,none,none,none,female
Oz,134,none,Oz,none,none,none,none,male
Dorothy,135,none,Dorothy,none,none,none,none,female
Dorothy,136,none,Dorothy,none,none,none,none,female
Ozma,136,none,Ozma,none,none,none,none,female
Dorothy,137,none,Dorothy,none,none,none,none,female
Ozma,137,none,Ozma,none,none,none,none,female
Oz,138,none,Oz,none,none,none,none,male
Dorothy,139,none,Dorothy,none,none,none,none,female
Glinda,141,none,Glinda,none,none,none,none,female
Sorceress,142,none,Sorceress,none,none,none,none,female
Dorothy,142,none,Dorothy,none,none,none,none,female
Ozma,147,none,Ozma,none,none,none,none,female
Glinda,148,none,Glinda,none,none,none,none,female
Dorothy,148,none,Dorothy,none,none,none,none,female
Nome King,149,none,Nome,none,King,none,none,male
Ozma,150,none,Ozma,none,none,none,none,female
Glinda,150,none,Glinda,none,none,none,none,female
Dorothy,150,none,Dorothy,none,none,none,none,female
Sawhorse,151,none,Sawhorse,none,none,none,none,male
Dorothy,151,none,Dorothy,none,none,none,none,female
Ozma,152,none,Ozma,none,none,none,none,female
Dorothy,152,none,Dorothy,none,none,none,none,female
Scarecrow,152,none,Scarecrow,none,none,none,none,male
Scarecrow,156,none,Scarecrow,none,none,none,none,male
Dorothy,157,none,Dorothy,none,none,none,none,female
Scarecrow,157,none,Scarecrow,none,none,none,none,male
Scarecrow,158,none,Scarecrow,none,none,none,none,male
Ozma,159,none,Ozma,none,none,none,none,female
Scarecrow,159,none,Scarecrow,none,none,none,none,male
Glinda,159,none,Glinda,none,none,none,none,female
Scarecrow,159,none,Scarecrow,none,none,none,none,male
Ozma,160,none,Ozma,none,none,none,none,female
Dorothy,160,none,Dorothy,none,none,none,none,female
Dorothy,160,none,Dorothy,none,none,none,none,female
Trot,161,none,Trot,none,none,none,none,female
Betsy Bobbin,161,none,Betsy,none,Bobbin,none,none,female
Glinda,162,none,Glinda,none,none,none,none,female
Sorceress,162,none,Sorceress,none,none,none,none,female
Sorceress,162,none,Sorceress,none,none,none,none,female
Ozma,163,none,Ozma,none,none,none,none,female
Glinda,167,none,Glinda,none,none,none,none,female
Dorothy,167,none,Dorothy,none,none,none,none,female
Ozma,168,none,Ozma,none,none,none,none,female
Ozma,169,none,Ozma,none,none,none,none,female
Dorothy,169,none,Dorothy,none,none,none,none,female
Dorothy,171,none,Dorothy,none,none,none,none,female
Dorothy,173,none,Dorothy,none,none,none,none,female
Nome King,173,none,Nome,none,King,none,none,male
Glinda,173,none,Glinda,none,none,none,none,female
Ozma,174,none,Ozma,none,none,none,none,female
Ozma,175,none,Ozma,none,none,none,none,female
Ozma,179,none,Ozma,none,none,none,none,female
Dorothy,180,none,Dorothy,none,none,none,none,female
Ozma,181,none,Ozma,none,none,none,none,female
Dorothy,182,none,Dorothy,none,none,none,none,female
Dorothy,184,none,Dorothy,none,none,none,none,female
Dorothy,187,none,Dorothy,none,none,none,none,female
Ozma,191,none,Ozma,none,none,none,none,female
Ozma,193,none,Ozma,none,none,none,none,female
Dorothy,194,none,Dorothy,none,none,none,none,female
Ozma,196,none,Ozma,none,none,none,none,female
Dorothy,197,none,Dorothy,none,none,none,none,female
Ozma,199,none,Ozma,none,none,none,none,female
Dorothy,203,none,Dorothy,none,none,none,none,female
Ozma,205,none,Ozma,none,none,none,none,female
Ozma,207,none,Ozma,none,none,none,none,female
Ozma,212,none,Ozma,none,none,none,none,female
Dorothy,215,none,Dorothy,none,none,none,none,female
Dorothy,217,none,Dorothy,none,none,none,none,female
Ozma,220,none,Ozma,none,none,none,none,female
Magic Wand,220,none,Magic,none,Wand,none,none,female
Dorothy,221,none,Dorothy,none,none,none,none,female
Ozma,227,none,Ozma,none,none,none,none,female
Dorothy,229,none,Dorothy,none,none,none,none,female
Ozma,232,none,Ozma,none,none,none,none,female
Dorothy,235,none,Dorothy,none,none,none,none,female
Dorothy,236,none,Dorothy,none,none,none,none,female
Dorothy,240,none,Dorothy,none,none,none,none,female
Ozma,245,none,Ozma,none,none,none,none,female
Ozma,249,none,Ozma,none,none,none,none,female
Dorothy,253,none,Dorothy,none,none,none,none,female
Dorothy,256,none,Dorothy,none,none,none,none,female
Ozma,256,none,Ozma,none,none,none,none,female
Ozma,258,none,Ozma,none,none,none,none,female
Dorothy,258,none,Dorothy,none,none,none,none,female
Ozma,259,none,Ozma,none,none,none,none,female
Dorothy,259,none,Dorothy,none,none,none,none,female
Dorothy,261,none,Dorothy,none,none,none,none,female
Ozma,261,none,Ozma,none,none,none,none,female
Ozma,263,none,Ozma,none,none,none,none,female
Dorothy,265,none,Dorothy,none,none,none,none,female
Ozma,267,none,Ozma,none,none,none,none,female
Dorothy,273,none,Dorothy,none,none,none,none,female
Ozma,275,none,Ozma,none,none,none,none,female
Dorothy,276,none,Dorothy,none,none,none,none,female
Ozma,277,none,Ozma,none,none,none,none,female
Ozma,281,none,Ozma,none,none,none,none,female
Ozma,283,none,Ozma,none,none,none,none,female
Dorothy,283,none,Dorothy,none,none,none,none,female
Princess of Oz,283,Princess of Oz,none,none,none,none,none,female
Ozma,285,none,Ozma,none,none,none,none,female
Dorothy,285,none,Dorothy,none,none,none,none,female
Dorothy,287,none,Dorothy,none,none,none,none,female
Ozma,289,none,Ozma,none,none,none,none,female
Dorothy,289,none,Dorothy,none,none,none,none,female
Dorothy,291,none,Dorothy,none,none,none,none,female
Dorothy,299,none,Dorothy,none,none,none,none,female
Glinda,299,none,Glinda,none,none,none,none,female
Ozma,300,none,Ozma,none,none,none,none,female
Dorothy,301,none,Dorothy,none,none,none,none,female
Ozma,304,none,Ozma,none,none,none,none,female
Dorothy,304,none,Dorothy,none,none,none,none,female
Dorothy,306,none,Dorothy,none,none,none,none,female
Ozma,306,none,Ozma,none,none,none,none,female
Oz,307,none,Oz,none,none,none,none,male
Ozma,308,none,Ozma,none,none,none,none,female
Oz,309,none,Oz,none,none,none,none,male
Ozma,310,none,Ozma,none,none,none,none,female
Dorothy,310,none,Dorothy,none,none,none,none,female
Dorothy,314,none,Dorothy,none,none,none,none,female
Dorothy,316,none,Dorothy,none,none,none,none,female
Ozma,317,none,Ozma,none,none,none,none,female
Dorothy,317,none,Dorothy,none,none,none,none,female
Ozma,323,none,Ozma,none,none,none,none,female
Dorothy,324,none,Dorothy,none,none,none,none,female
Oz,327,none,Oz,none,none,none,none,male
Glinda the Sorceress,327,none,Glinda the Sorceress,none,none,none,none,female
Dorothy,331,none,Dorothy,none,none,none,none,female
Ozma,332,none,Ozma,none,none,none,none,female
