name,sentence_id,title,first,middle,last,suffix,nickname,gender
,,,,,,,,
Dorothy Gale,10,none,Dorothy,none,Gale,none,none,female
Uncle Henry,10,Uncle,Henry,none,none,none,none,male
Henry,11,none,Henry,none,none,none,none,male
Dorothy,13,none,Dorothy,none,none,none,none,female
Uncle Henry,13,Uncle,Henry,none,none,none,none,male
Uncle Henry,16,Uncle,Henry,none,none,none,none,male
Dorothy,19,none,Dorothy,none,none,none,none,female
Uncle Henry,19,Uncle,Henry,none,none,none,none,male
Uncle Henry,22,Uncle,Henry,none,none,none,none,male
Dorothy,22,none,Dorothy,none,none,none,none,female
Dorothy,25,none,Dorothy,none,none,none,none,female
Uncle Henry,26,Uncle,Henry,none,none,none,none,male
Uncle Henry,27,Uncle,Henry,none,none,none,none,male
Dorothy,29,none,Dorothy,none,none,none,none,female
Dorothy,31,none,Dorothy,none,none,none,none,female
Dorothy,33,none,Dorothy,none,none,none,none,female
Dorothy,35,none,Dorothy,none,none,none,none,female
Dorothy,42,none,Dorothy,none,none,none,none,female
Uncle Henry,42,Uncle,Henry,none,none,none,none,male
Dorothy Gale,47,none,Dorothy,none,Gale,none,none,female
Dorothy,51,none,Dorothy,none,none,none,none,female
Dorothy,52,none,Dorothy,none,none,none,none,female
Dorothy,54,none,Dorothy,none,none,none,none,female
Dorothy,55,none,Dorothy,none,none,none,none,female
Dorothy,59,none,Dorothy,none,none,none,none,female
Dorothy,66,none,Dorothy,none,none,none,none,female
Dorothy,74,none,Dorothy,none,none,none,none,female
Dorothy,79,none,Dorothy,none,none,none,none,female
Dorothy,86,none,Dorothy,none,none,none,none,female
Dorothy,91,none,Dorothy,none,none,none,none,female
Dorothy,94,none,Dorothy,none,none,none,none,female
Dorothy,102,none,Dorothy,none,none,none,none,female
Dorothy,105,none,Dorothy,none,none,none,none,female
Dorothy,112,none,Dorothy,none,none,none,none,female
Dorothy,114,none,Dorothy,none,none,none,none,female
Dorothy,118,none,Dorothy,none,none,none,none,female
Dorothy,121,none,Dorothy,none,none,none,none,female
Dorothy,127,none,Dorothy,none,none,none,none,female
Bill,135,none,Bill,none,none,none,none,male
Bill,141,none,Bill,none,none,none,none,male
Bill,142,none,Bill,none,none,none,none,male
Bill,143,none,Bill,none,none,none,none,male
Bill,143,none,Bill,none,none,none,none,male
Dorothy,144,none,Dorothy,none,none,none,none,female
Billina,144,none,Billina,none,none,none,none,female
Billina,148,none,Billina,none,none,none,none,female
Dorothy Gale,149,none,Dorothy,none,Gale,none,none,female
Dorothy,149,none,Dorothy,none,none,none,none,female
Miss Gale,149,Miss,none,none,Gale,none,none,female
Dorothy,150,none,Dorothy,none,none,none,none,female
Dorothy,158,none,Dorothy,none,none,none,none,female
Dorothy,159,none,Dorothy,none,none,none,none,female
Billina,160,none,Billina,none,none,none,none,female
Dorothy,161,none,Dorothy,none,none,none,none,female
Dorothy,167,none,Dorothy,none,none,none,none,female
Dorothy,171,none,Dorothy,none,none,none,none,female
Dorothy,173,none,Dorothy,none,none,none,none,female
Billina,174,none,Billina,none,none,none,none,female
Dorothy,176,none,Dorothy,none,none,none,none,female
Dorothy,183,none,Dorothy,none,none,none,none,female
Billina,184,none,Billina,none,none,none,none,female
Billina,186,none,Billina,none,none,none,none,female
Dorothy,190,none,Dorothy,none,none,none,none,female
Billina,197,none,Billina,none,none,none,none,female
Dorothy,197,none,Dorothy,none,none,none,none,female
Billina,203,none,Billina,none,none,none,none,female
Dorothy,207,none,Dorothy,none,none,none,none,female
Billina,211,none,Billina,none,none,none,none,female
Dorothy,212,none,Dorothy,none,none,none,none,female
Dorothy,218,none,Dorothy,none,none,none,none,female
