name,sentence_id,title,first,middle,last,suffix,nickname,gender
,,,,,,,,
Kitticut,10,none,Kitticut,none,none,none,none,male
Rinkitink,14,none,Rinkitink,none,none,none,none,male
Pingaree,15,none,Pingaree,none,none,none,none,male
Pingaree,19,none,Pingaree,none,none,none,none,male
Kitticut,23,none,Kitticut,none,none,none,none,male
Kitticut,25,none,Kitticut,none,none,none,none,male
Garee,26,none,Garee,none,none,none,none,female
Prince Inga,26,Prince,none,none,Inga,none,none,male
Pingaree,29,none,Pingaree,none,none,none,none,male
Inga,30,none,Inga,none,none,none,none,male
Pingaree,30,none,Pingaree,none,none,none,none,male
Pingaree,33,none,Pingaree,none,none,none,none,male
King,33,King,none,none,none,none,none,male
Inga,35,none,Inga,none,none,none,none,male
Kitticut,37,none,Kitticut,none,none,none,none,male
Inga,37,none,Inga,none,none,none,none,male
Inga,38,none,Inga,none,none,none,none,male
King,38,King,none,none,none,none,none,male
Inga,39,none,Inga,none,none,none,none,male
Prince Inga,42,Prince,none,none,Inga,none,none,male
King,51,King,none,none,none,none,none,male
Inga,52,none,Inga,none,none,none,none,male
Mermaid,55,none,Mermaid,none,none,none,none,female
Inga,65,none,Inga,none,none,none,none,male
Inga,70,none,Inga,none,none,none,none,male
Kitticut,72,none,Kitticut,none,none,none,none,male
Inga,78,none,Inga,none,none,none,none,male
Inga,83,none,Inga,none,none,none,none,male
Inga,84,none,Inga,none,none,none,none,male
Pingaree,88,none,Pingaree,none,none,none,none,male
Inga,88,none,Inga,none,none,none,none,male
Inga,92,none,Inga,none,none,none,none,male
Inga,96,none,Inga,none,none,none,none,male
Kitticut,100,none,Kitticut,none,none,none,none,male
Kitticut,116,none,Kitticut,none,none,none,none,male
King Rinkitink,119,King,Rinkitink,none,none,none,none,male
Pingaree,119,none,Pingaree,none,none,none,none,male
King Kitticut,121,King,Kitticut,none,none,none,none,male
Rinkitink,124,none,Rinkitink,none,none,none,none,male
Kitticut,129,none,Kitticut,none,none,none,none,male
Rinkitink,131,none,Rinkitink,none,none,none,none,male
Kitticut,140,none,Kitticut,none,none,none,none,male
Rinkitink,143,none,Rinkitink,none,none,none,none,male
Kitticut,150,none,Kitticut,none,none,none,none,male
Pingaree,152,none,Pingaree,none,none,none,none,male
Bilbil,153,none,Bilbil,none,none,none,none,male
Kitticut,154,none,Kitticut,none,none,none,none,male
Pingaree,156,none,Pingaree,none,none,none,none,male
Bilbil,162,none,Bilbil,none,none,none,none,male
Rinkitink,162,none,Rinkitink,none,none,none,none,male
Kitticut,164,none,Kitticut,none,none,none,none,male
Rinkitink,166,none,Rinkitink,none,none,none,none,male
Inga,166,none,Inga,none,none,none,none,male
Inga,172,none,Inga,none,none,none,none,male
Kitticut,173,none,Kitticut,none,none,none,none,male
Bilbil,176,none,Bilbil,none,none,none,none,male
King,179,King,none,none,none,none,none,male
Bilbil,183,none,Bilbil,none,none,none,none,male
Bilbil,185,none,Bilbil,none,none,none,none,male
Bilbil,187,none,Bilbil,none,none,none,none,male
Bilbil,192,none,Bilbil,none,none,none,none,male
Rinkitink,194,none,Rinkitink,none,none,none,none,male
Bilbil,195,none,Bilbil,none,none,none,none,male
Inga,196,none,Inga,none,none,none,none,male
Pingaree,196,none,Pingaree,none,none,none,none,male
Rinkitink,196,none,Rinkitink,none,none,none,none,male
Kitticut,197,none,Kitticut,none,none,none,none,male
Rinkitink,199,none,Rinkitink,none,none,none,none,male
Inga,200,none,Inga,none,none,none,none,male
Bilbil,202,none,Bilbil,none,none,none,none,male
Rinkitink,202,none,Rinkitink,none,none,none,none,male
Inga,203,none,Inga,none,none,none,none,male
Bilbil,204,none,Bilbil,none,none,none,none,male
Kitticut,205,none,Kitticut,none,none,none,none,male
Pingaree,207,none,Pingaree,none,none,none,none,male
Kitticut,208,none,Kitticut,none,none,none,none,male
Rinkitink,209,none,Rinkitink,none,none,none,none,male
Inga,219,none,Inga,none,none,none,none,male
Rinkitink,220,none,Rinkitink,none,none,none,none,male
Rinkitink,228,none,Rinkitink,none,none,none,none,male
Rinkitink,230,none,Rinkitink,none,none,none,none,male
Inga,230,none,Inga,none,none,none,none,male
Rinkitink,231,none,Rinkitink,none,none,none,none,male
Bilbil,231,none,Bilbil,none,none,none,none,male
Bilbil,233,none,Bilbil,none,none,none,none,male
Pingaree,242,none,Pingaree,none,none,none,none,male
Kitticut,242,none,Kitticut,none,none,none,none,male
Bilbil,246,none,Bilbil,none,none,none,none,male
Bilbil,248,none,Bilbil,none,none,none,none,male
Inga,250,none,Inga,none,none,none,none,male
Bilbil,250,none,Bilbil,none,none,none,none,male
Bilbil,251,none,Bilbil,none,none,none,none,male
Bilbil,254,none,Bilbil,none,none,none,none,male
Bilbil,256,none,Bilbil,none,none,none,none,male
Inga,257,none,Inga,none,none,none,none,male
Inga,259,none,Inga,none,none,none,none,male
Pingaree,260,none,Pingaree,none,none,none,none,male
Inga,262,none,Inga,none,none,none,none,male
Kitticut,265,none,Kitticut,none,none,none,none,male
Inga,266,none,Inga,none,none,none,none,male
Kitticut,270,none,Kitticut,none,none,none,none,male
King,272,King,none,none,none,none,none,male
Rinkitink,274,none,Rinkitink,none,none,none,none,male
Kitticut,275,none,Kitticut,none,none,none,none,male
Kitticut,278,none,Kitticut,none,none,none,none,male
Kitticut,286,none,Kitticut,none,none,none,none,male
Pingaree,288,none,Pingaree,none,none,none,none,male
King,290,King,none,none,none,none,none,male
Inga,290,none,Inga,none,none,none,none,male
Rinkitink,291,none,Rinkitink,none,none,none,none,male
Inga,299,none,Inga,none,none,none,none,male
Inga,301,none,Inga,none,none,none,none,male
Kitticut,304,none,Kitticut,none,none,none,none,male
Garee,304,none,Garee,none,none,none,none,female
Inga,306,none,Inga,none,none,none,none,male
Inga,310,none,Inga,none,none,none,none,male
Pingaree,317,none,Pingaree,none,none,none,none,male
Coregos,320,none,Coregos,none,none,none,none,female
Inga,321,none,Inga,none,none,none,none,male
Inga,323,none,Inga,none,none,none,none,male
Inga,327,none,Inga,none,none,none,none,male
Inga,332,none,Inga,none,none,none,none,male
Inga,334,none,Inga,none,none,none,none,male
Inga,335,none,Inga,none,none,none,none,male
