name,sentence_id,title,first,middle,last,suffix,nickname,gender
,,,,,,,,
Bini Aru,8,none,Bini,none,Aru,none,none,male
Sorcerer,8,none,Sorcerer,none,none,none,none,male
Ozma,9,none,Ozma,none,none,none,none,female
Oz,9,none,Oz,none,none,none,none,male
Glinda the Good,9,none,Glinda the Good,none,none,none,none,female
Glinda,9,none,Glinda,none,none,none,none,female
Bini Aru,9,none,Bini,none,Aru,none,none,male
Ozma,11,none,Ozma,none,none,none,none,female
Sorcerer,13,none,Sorcerer,none,none,none,none,male
Glinda the Good,14,none,Glinda the Good,none,none,none,none,female
Wizard of Oz,14,none,Wizard of Oz,none,none,none,none,male
Pipt,14,none,Pipt,none,none,none,none,male
Mombi,14,none,Mombi,none,none,none,none,female
Bini Aru,15,none,Bini,none,Aru,none,none,male
Bini Aru,17,none,Bini,none,Aru,none,none,male
Bini Aru,20,none,Bini,none,Aru,none,none,male
Bini Aru,21,none,Bini,none,Aru,none,none,male
Bini Aru,24,none,Bini,none,Aru,none,none,male
Ozma,25,none,Ozma,none,none,none,none,female
Ozma,25,none,Ozma,none,none,none,none,female
Bini Aru,25,none,Bini,none,Aru,none,none,male
Pyrzqxgl,25,none,Pyrzqxgl,none,none,none,none,male
Sorcerer,27,none,Sorcerer,none,none,none,none,male
Bini Aru,30,none,Bini,none,Aru,none,none,male
Mopsi Aru,30,none,Mopsi,none,Aru,none,none,female
Kiki Aru,30,none,Kiki,none,Aru,none,none,male
Kiki Aru,32,none,Kiki,none,Aru,none,none,male
Kiki Aru,36,none,Kiki,none,Aru,none,none,male
Bini Aru,37,none,Bini,none,Aru,none,none,male
Mopsi Aru,37,none,Mopsi,none,Aru,none,none,female
Kiki,39,none,Kiki,none,none,none,none,male
Bini Aru,39,none,Bini,none,Aru,none,none,male
Kiki,40,none,Kiki,none,none,none,none,male
Kiki,45,none,Kiki,none,none,none,none,male
Kiki,48,none,Kiki,none,none,none,none,male
Kiki Aru,51,none,Kiki,none,Aru,none,none,male
Pyrzqxgl,51,none,Pyrzqxgl,none,none,none,none,male
Kiki,53,none,Kiki,none,none,none,none,male
Kiki,55,none,Kiki,none,none,none,none,male
Kiki,58,none,Kiki,none,none,none,none,male
Pyrzqxgl,59,none,Pyrzqxgl,none,none,none,none,male
Oz,66,none,Oz,none,none,none,none,male
Glinda,67,none,Glinda,none,none,none,none,female
Oz,67,none,Oz,none,none,none,none,male
Kiki,68,none,Kiki,none,none,none,none,male
Kiki Aru,71,none,Kiki,none,Aru,none,none,male
Gingerbread Man,73,none,Gingerbread,none,Man,none,none,male
John Dough,73,none,John,none,Dough,none,none,male
Kiki,76,none,Kiki,none,none,none,none,male
Kiki,79,none,Kiki,none,none,none,none,male
