name,sentence_id,title,first,middle,last,suffix,nickname,gender
,,,,,,,,
Dorothy,2,none,Dorothy,none,none,none,none,female
Shaggy Man,7,none,Shaggy,none,Man,none,none,male
Dorothy,9,none,Dorothy,none,none,none,none,female
Toto,19,none,Toto,none,none,none,none,male
Dorothy,20,none,Dorothy,none,none,none,none,female
Dorothy,26,none,Dorothy,none,none,none,none,female
Henry,27,none,Henry,none,none,none,none,male
Dorothy,30,none,Dorothy,none,none,none,none,female
Butterfield,32,none,Butterfield,none,none,none,none,female
Dorothy,32,none,Dorothy,none,none,none,none,female
Uncle Henry,32,Uncle,Henry,none,none,none,none,male
Toto,39,none,Toto,none,none,none,none,male
Dorothy,40,none,Dorothy,none,none,none,none,female
Dorothy,44,none,Dorothy,none,none,none,none,female
Butterfield,49,none,Butterfield,none,none,none,none,female
Butterfield,51,none,Butterfield,none,none,none,none,female
Dorothy,59,none,Dorothy,none,none,none,none,female
Toto,72,none,Toto,none,none,none,none,male
Dorothy,74,none,Dorothy,none,none,none,none,female
Toto,79,none,Toto,none,none,none,none,male
Toto,80,none,Toto,none,none,none,none,male
Dorothy,80,none,Dorothy,none,none,none,none,female
Dorothy,82,none,Dorothy,none,none,none,none,female
Toto,84,none,Toto,none,none,none,none,male
Dorothy,102,none,Dorothy,none,none,none,none,female
Dorothy,104,none,Dorothy,none,none,none,none,female
Toto,107,none,Toto,none,none,none,none,male
Dorothy,107,none,Dorothy,none,none,none,none,female
Toto,108,none,Toto,none,none,none,none,male
Toto,110,none,Toto,none,none,none,none,male
Shaggy Man,111,none,Shaggy,none,Man,none,none,male
Dorothy,111,none,Dorothy,none,none,none,none,female
Toto,111,none,Toto,none,none,none,none,male
Toto,115,none,Toto,none,none,none,none,male
Dorothy,118,none,Dorothy,none,none,none,none,female
Toto,118,none,Toto,none,none,none,none,male
Dorothy,119,none,Dorothy,none,none,none,none,female
Dorothy,123,none,Dorothy,none,none,none,none,female
Uncle Henry,124,Uncle,Henry,none,none,none,none,male
Dorothy,129,none,Dorothy,none,none,none,none,female
Butterfield,134,none,Butterfield,none,none,none,none,female
Toto,143,none,Toto,none,none,none,none,male
Love Magnet,154,none,Love,none,Magnet,none,none,female
Dorothy,156,none,Dorothy,none,none,none,none,female
Dorothy,160,none,Dorothy,none,none,none,none,female
Hungry Tiger,160,none,Hungry,none,Tiger,none,none,male
Toto,162,none,Toto,none,none,none,none,male
Dorothy,165,none,Dorothy,none,none,none,none,female
Dorothy,168,none,Dorothy,none,none,none,none,female
Dorothy,170,none,Dorothy,none,none,none,none,female
Toto,170,none,Toto,none,none,none,none,male
Dorothy,173,none,Dorothy,none,none,none,none,female
Dorothy,177,none,Dorothy,none,none,none,none,female
Toto,177,none,Toto,none,none,none,none,male
Button,181,none,Button,none,none,none,none,male
Button-Bright,181,none,Button-Bright,none,none,none,none,male
Button,194,none,Button,none,none,none,none,male
Button-Bright,194,none,Button-Bright,none,none,none,none,male
Button,198,none,Button,none,none,none,none,male
Button-Bright,198,none,Button-Bright,none,none,none,none,male
Dorothy,200,none,Dorothy,none,none,none,none,female
Dorothy,213,none,Dorothy,none,none,none,none,female
Dorothy,221,none,Dorothy,none,none,none,none,female
Dorothy,223,none,Dorothy,none,none,none,none,female
Button,224,none,Button,none,none,none,none,male
Button-Bright,224,none,Button-Bright,none,none,none,none,male
Button,225,none,Button,none,none,none,none,male
Dorothy,227,none,Dorothy,none,none,none,none,female
Dorothy,229,none,Dorothy,none,none,none,none,female
Button,232,none,Button,none,none,none,none,male
Button-Bright,232,none,Button-Bright,none,none,none,none,male
Dorothy,235,none,Dorothy,none,none,none,none,female
Button,236,none,Button,none,none,none,none,male
Button-Bright,236,none,Button-Bright,none,none,none,none,male
Button,238,none,Button,none,none,none,none,male
Button-Bright,238,none,Button-Bright,none,none,none,none,male
Dorothy,239,none,Dorothy,none,none,none,none,female
Dorothy,242,none,Dorothy,none,none,none,none,female
Button,243,none,Button,none,none,none,none,male
Button-Bright,243,none,Button-Bright,none,none,none,none,male
Button,250,none,Button,none,none,none,none,male
Button-Bright,250,none,Button-Bright,none,none,none,none,male
Toto,252,none,Toto,none,none,none,none,male
Button,252,none,Button,none,none,none,none,male
Button-Bright,252,none,Button-Bright,none,none,none,none,male
Dorothy,255,none,Dorothy,none,none,none,none,female
Toto,259,none,Toto,none,none,none,none,male
Dorothy,261,none,Dorothy,none,none,none,none,female
Button,262,none,Button,none,none,none,none,male
Button-Bright,262,none,Button-Bright,none,none,none,none,male
Dorothy,266,none,Dorothy,none,none,none,none,female
Shaggy Man,266,none,Shaggy,none,Man,none,none,male
Button,267,none,Button,none,none,none,none,male
Button-Bright,267,none,Button-Bright,none,none,none,none,male
Love Magnet,267,none,Love,none,Magnet,none,none,female
Button,267,none,Button,none,none,none,none,male
Button-Bright,267,none,Button-Bright,none,none,none,none,male
Dorothy,268,none,Dorothy,none,none,none,none,female
Toto,268,none,Toto,none,none,none,none,male
