name,sentence_id,title,first,middle,last,suffix,nickname,gender
,,,,,,,,
Cap'n Bill,1,none,Cap'n,none,Bill,none,none,male
Trot,1,none,Trot,none,none,none,none,female
Cap'n Bill,2,none,Cap'n,none,Bill,none,none,male
Bill,9,none,Bill,none,none,none,none,male
Cap'n Bill,10,none,Cap'n,none,Bill,none,none,male
Bill,15,none,Bill,none,none,none,none,male
Bill,19,none,Bill,none,none,none,none,male
Trot,19,none,Trot,none,none,none,none,female
Trot,19,none,Trot,none,none,none,none,female
Cap'n Bill,20,none,Cap'n,none,Bill,none,none,male
Trot,21,none,Trot,none,none,none,none,female
Cap'n Bill,22,none,Cap'n,none,Bill,none,none,male
Cap'n Bill,23,none,Cap'n,none,Bill,none,none,male
Trot,23,none,Trot,none,none,none,none,female
Trot,26,none,Trot,none,none,none,none,female
Mebbe,29,none,Mebbe,none,none,none,none,male
Trot,36,none,Trot,none,none,none,none,female
Cap'n Bill,42,none,Cap'n,none,Bill,none,none,male
Trot,44,none,Trot,none,none,none,none,female
Bill,45,none,Bill,none,none,none,none,male
Trot,46,none,Trot,none,none,none,none,female
Bill,47,none,Bill,none,none,none,none,male
Cap'n Bill,50,none,Cap'n,none,Bill,none,none,male
Trot,50,none,Trot,none,none,none,none,female
Trot,54,none,Trot,none,none,none,none,female
Trot,58,none,Trot,none,none,none,none,female
Trot,68,none,Trot,none,none,none,none,female
Cap'n Bill,68,none,Cap'n,none,Bill,none,none,male
Bill,71,none,Bill,none,none,none,none,male
Trot,73,none,Trot,none,none,none,none,female
Cap'n Bill,75,none,Cap'n,none,Bill,none,none,male
Trot,75,none,Trot,none,none,none,none,female
Bill,79,none,Bill,none,none,none,none,male
Trot,79,none,Trot,none,none,none,none,female
Trot,82,none,Trot,none,none,none,none,female
Trot,84,none,Trot,none,none,none,none,female
Cap'n Bill,85,none,Cap'n,none,Bill,none,none,male
Trot,86,none,Trot,none,none,none,none,female
Bill,91,none,Bill,none,none,none,none,male
Trot,95,none,Trot,none,none,none,none,female
Bill,97,none,Bill,none,none,none,none,male
Cap'n Bill,99,none,Cap'n,none,Bill,none,none,male
Davy Jones,102,none,Davy,none,Jones,none,none,male
Cap'n,104,none,Cap'n,none,none,none,none,female
Trot,114,none,Trot,none,none,none,none,female
Bill,116,none,Bill,none,none,none,none,male
Trot,119,none,Trot,none,none,none,none,female
Trot,120,none,Trot,none,none,none,none,female
Trot,122,none,Trot,none,none,none,none,female
Trot,125,none,Trot,none,none,none,none,female
Cap'n Bill,126,none,Cap'n,none,Bill,none,none,male
Cap'n Bill,128,none,Cap'n,none,Bill,none,none,male
Trot,130,none,Trot,none,none,none,none,female
Cap'n Bill,131,none,Cap'n,none,Bill,none,none,male
Cap'n Bill,138,none,Cap'n,none,Bill,none,none,male
Cap'n Bill,142,none,Cap'n,none,Bill,none,none,male
Trot,144,none,Trot,none,none,none,none,female
Trot,149,none,Trot,none,none,none,none,female
Cap'n Bill,151,none,Cap'n,none,Bill,none,none,male
Trot,154,none,Trot,none,none,none,none,female
Cap'n,158,none,Cap'n,none,none,none,none,female
Cap'n Bill,159,none,Cap'n,none,Bill,none,none,male
Bill,162,none,Bill,none,none,none,none,male
Trot,163,none,Trot,none,none,none,none,female
Cap'n Bill,166,none,Cap'n,none,Bill,none,none,male
Cap'n Bill,170,none,Cap'n,none,Bill,none,none,male
S'pose,171,none,S'pose,none,none,none,none,female
Cap'n,171,none,Cap'n,none,none,none,none,female
Trot,172,none,Trot,none,none,none,none,female
Trot,173,none,Trot,none,none,none,none,female
Trot,181,none,Trot,none,none,none,none,female
Trot,185,none,Trot,none,none,none,none,female
Trot,187,none,Trot,none,none,none,none,female
Cap'n Bill,193,none,Cap'n,none,Bill,none,none,male
Trot,196,none,Trot,none,none,none,none,female
Trot,202,none,Trot,none,none,none,none,female
Cap'n,210,none,Cap'n,none,none,none,none,female
Bill,211,none,Bill,none,none,none,none,male
Trot,215,none,Trot,none,none,none,none,female
Cap'n Bill,219,none,Cap'n,none,Bill,none,none,male
Flipper,225,none,Flipper,none,none,none,none,male
Cap'n Bill,234,none,Cap'n,none,Bill,none,none,male
Ork,234,none,Ork,none,none,none,none,male
Ork,235,none,Ork,none,none,none,none,male
Bill,239,none,Bill,none,none,none,none,male
Ork,239,none,Ork,none,none,none,none,male
Trot,241,none,Trot,none,none,none,none,female
Ork,242,none,Ork,none,none,none,none,male
Cap'n Bill,244,none,Cap'n,none,Bill,none,none,male
Ork,245,none,Ork,none,none,none,none,male
Trot,248,none,Trot,none,none,none,none,female
Cap'n Bill,248,none,Cap'n,none,Bill,none,none,male
Ork,250,none,Ork,none,none,none,none,male
Trot,251,none,Trot,none,none,none,none,female
Ork,253,none,Ork,none,none,none,none,male
Cap'n Bill,256,none,Cap'n,none,Bill,none,none,male
Ork,257,none,Ork,none,none,none,none,male
Trot,258,none,Trot,none,none,none,none,female
Ork,260,none,Ork,none,none,none,none,male
Cap'n Bill,260,none,Cap'n,none,Bill,none,none,male
Ork,260,none,Ork,none,none,none,none,male
Trot,263,none,Trot,none,none,none,none,female
Bill,265,none,Bill,none,none,none,none,male
Trot,267,none,Trot,none,none,none,none,female
Ork,267,none,Ork,none,none,none,none,male
Cap'n Bill,271,none,Cap'n,none,Bill,none,none,male
Trot,272,none,Trot,none,none,none,none,female
Ork,274,none,Ork,none,none,none,none,male
Cap'n,275,none,Cap'n,none,none,none,none,female
Bill,276,none,Bill,none,none,none,none,male
Ork,281,none,Ork,none,none,none,none,male
Ork,282,none,Ork,none,none,none,none,male
Trot,283,none,Trot,none,none,none,none,female
Ork,284,none,Ork,none,none,none,none,male
Cap'n Bill,287,none,Cap'n,none,Bill,none,none,male
Ork,287,none,Ork,none,none,none,none,male
Ork,288,none,Ork,none,none,none,none,male
Ork,292,none,Ork,none,none,none,none,male
Cap'n Bill,293,none,Cap'n,none,Bill,none,none,male
Ork,295,none,Ork,none,none,none,none,male
Cap'n Bill,296,none,Cap'n,none,Bill,none,none,male
Ork,296,none,Ork,none,none,none,none,male
Trot,299,none,Trot,none,none,none,none,female
Cap'n Bill,301,none,Cap'n,none,Bill,none,none,male
Ork,303,none,Ork,none,none,none,none,male
Trot,304,none,Trot,none,none,none,none,female
Cap'n Bill,304,none,Cap'n,none,Bill,none,none,male
Ork,305,none,Ork,none,none,none,none,male
Trot,307,none,Trot,none,none,none,none,female
Cap'n Bill,314,none,Cap'n,none,Bill,none,none,male
Ork,317,none,Ork,none,none,none,none,male
Ork,322,none,Ork,none,none,none,none,male
Cap'n Bill,324,none,Cap'n,none,Bill,none,none,male
