name,sentence_id,title,first,middle,last,suffix,nickname,gender
,,,,,,,,
Woot,1,none,Woot,none,none,none,none,male
Tin Woodman,1,none,Tin,none,Woodman,none,none,male
Scarecrow of Oz,2,none,Scarecrow of Oz,none,none,none,none,male
Woot the Wanderer,8,none,Woot the Wanderer,none,none,none,none,male
Tin Woodman,9,none,Tin,none,Woodman,none,none,male
Tin Woodman,9,none,Tin,none,Woodman,none,none,male
Woot,10,none,Woot,none,none,none,none,male
Wanderer,10,none,Wanderer,none,none,none,none,male
Woot,11,none,Woot,none,none,none,none,male
Woot,18,none,Woot,none,none,none,none,male
Wanderer,18,none,Wanderer,none,none,none,none,male
Tin Woodman,19,none,Tin,none,Woodman,none,none,male
Scarecrow,19,none,Scarecrow,none,none,none,none,male
Woot,21,none,Woot,none,none,none,none,male
Wanderer,21,none,Wanderer,none,none,none,none,male
Tin Woodman,23,none,Tin,none,Woodman,none,none,male
Woot the Wanderer,25,none,Woot the Wanderer,none,none,none,none,male
Scarecrow,25,none,Scarecrow,none,none,none,none,male
Woot,28,none,Woot,none,none,none,none,male
Tin Woodman,32,none,Tin,none,Woodman,none,none,male
Woot,33,none,Woot,none,none,none,none,male
Scarecrow,35,none,Scarecrow,none,none,none,none,male
Tin Woodman,37,none,Tin,none,Woodman,none,none,male
Scarecrow,39,none,Scarecrow,none,none,none,none,male
Wanderer,40,none,Wanderer,none,none,none,none,male
Tin Woodman,45,none,Tin,none,Woodman,none,none,male
Wanderer,47,none,Wanderer,none,none,none,none,male
Scarecrow,49,none,Scarecrow,none,none,none,none,male
Tin Woodman,55,none,Tin,none,Woodman,none,none,male
Woot the Wanderer,58,none,Woot the Wanderer,none,none,none,none,male
Munchkin,62,none,Munchkin,none,none,none,none,female
Woot,62,none,Woot,none,none,none,none,male
Nimmie Amee,65,none,Nimmie,none,Amee,none,none,female
Witch,68,none,Witch,none,none,none,none,female
Witch,69,none,Witch,none,none,none,none,female
Nimmie Amee,69,none,Nimmie,none,Amee,none,none,female
Witch,69,none,Witch,none,none,none,none,female
Witch,70,none,Witch,none,none,none,none,female
Woot the Wanderer,71,none,Woot the Wanderer,none,none,none,none,male
Witch,73,none,Witch,none,none,none,none,female
Woot,78,none,Woot,none,none,none,none,male
Nimmie Amee,81,none,Nimmie,none,Amee,none,none,female
Witch,82,none,Witch,none,none,none,none,female
Nimmie Amee,85,none,Nimmie,none,Amee,none,none,female
Witch,86,none,Witch,none,none,none,none,female
Nimmie Amee,87,none,Nimmie,none,Amee,none,none,female
Woot,89,none,Woot,none,none,none,none,male
Wanderer,89,none,Wanderer,none,none,none,none,male
Tin Man,89,none,Tin,none,Man,none,none,male
Witch,90,none,Witch,none,none,none,none,female
Nimmie Amee,90,none,Nimmie,none,Amee,none,none,female
Witch,93,none,Witch,none,none,none,none,female
Witch,94,none,Witch,none,none,none,none,female
Nimmie Amee,95,none,Nimmie,none,Amee,none,none,female
Nimmie Amee,99,none,Nimmie,none,Amee,none,none,female
Witch,99,none,Witch,none,none,none,none,female
Nimmie Amee,104,none,Nimmie,none,Amee,none,none,female
Nimmie Amee,105,none,Nimmie,none,Amee,none,none,female
Witch,105,none,Witch,none,none,none,none,female
Wicked Witch,108,none,Wicked,none,Witch,none,none,female
Nimmie Amee,109,none,Nimmie,none,Amee,none,none,female
Nick,110,none,Nick,none,none,none,none,male
Nick Chopper,110,none,Nick,none,Chopper,none,none,male
Tin Woodman,114,none,Tin,none,Woodman,none,none,male
Nimmie Amee,115,none,Nimmie,none,Amee,none,none,female
Woot the Wanderer,116,none,Woot the Wanderer,none,none,none,none,male
Nimmie Amee,121,none,Nimmie,none,Amee,none,none,female
Witch,124,none,Witch,none,none,none,none,female
Woot,125,none,Woot,none,none,none,none,male
Nimmie Amee,126,none,Nimmie,none,Amee,none,none,female
Dorothy,129,none,Dorothy,none,none,none,none,female
Scarecrow,129,none,Scarecrow,none,none,none,none,male
Dorothy,131,none,Dorothy,none,none,none,none,female
Wanderer,131,none,Wanderer,none,none,none,none,male
Wicked Witch,133,none,Wicked,none,Witch,none,none,female
Witch,134,none,Witch,none,none,none,none,female
Scarecrow,135,none,Scarecrow,none,none,none,none,male
Dorothy,135,none,Dorothy,none,none,none,none,female
Witch,135,none,Witch,none,none,none,none,female
Tin Woodman,136,none,Tin,none,Woodman,none,none,male
Scarecrow,136,none,Scarecrow,none,none,none,none,male
Dorothy,136,none,Dorothy,none,none,none,none,female
Wizard,137,none,Wizard,none,none,none,none,male
Nimmie Amee,137,none,Nimmie,none,Amee,none,none,female
Wizard,138,none,Wizard,none,none,none,none,male
Kind,138,none,Kind,none,none,none,none,male
Loving,138,none,Loving,none,none,none,none,male
Woot,141,none,Woot,none,none,none,none,male
Wizard,141,none,Wizard,none,none,none,none,male
Wizard,145,none,Wizard,none,none,none,none,male
Munchkin,145,none,Munchkin,none,none,none,none,female
Empress,145,Empress,none,none,none,none,none,female
Tin Woodman,146,none,Tin,none,Woodman,none,none,male
Wanderer,146,none,Wanderer,none,none,none,none,male
Scarecrow,147,none,Scarecrow,none,none,none,none,male
Tin Woodman,150,none,Tin,none,Woodman,none,none,male
Scarecrow,150,none,Scarecrow,none,none,none,none,male
Nimmie Amee,151,none,Nimmie,none,Amee,none,none,female
Wanderer,153,none,Wanderer,none,none,none,none,male
Nimmie Amee,153,none,Nimmie,none,Amee,none,none,female
Scarecrow,155,none,Scarecrow,none,none,none,none,male
Scarecrow,157,none,Scarecrow,none,none,none,none,male
Woot,158,none,Woot,none,none,none,none,male
Wanderer,158,none,Wanderer,none,none,none,none,male
Tin Woodman,159,none,Tin,none,Woodman,none,none,male
Nimmie Amee,160,none,Nimmie,none,Amee,none,none,female
Nick Chopper,160,none,Nick,none,Chopper,none,none,male
Woot,161,none,Woot,none,none,none,none,male
Tin Man,162,none,Tin,none,Man,none,none,male
Scarecrow,166,none,Scarecrow,none,none,none,none,male
Wanderer,170,none,Wanderer,none,none,none,none,male
Scarecrow,173,none,Scarecrow,none,none,none,none,male
Woot,174,none,Woot,none,none,none,none,male
Scarecrow,174,none,Scarecrow,none,none,none,none,male
Scarecrow,176,none,Scarecrow,none,none,none,none,male
Woot,178,none,Woot,none,none,none,none,male
Scarecrow,178,none,Scarecrow,none,none,none,none,male
Woot,180,none,Woot,none,none,none,none,male
Wanderer,180,none,Wanderer,none,none,none,none,male
Tin Woodman,181,none,Tin,none,Woodman,none,none,male
Scarecrow,181,none,Scarecrow,none,none,none,none,male
Emperor,181,Emperor,none,none,none,none,none,male
Ozma of Oz,184,none,Ozma of Oz,none,none,none,none,female
Winkies,184,none,Winkies,none,none,none,none,female
Munchkin,187,none,Munchkin,none,none,none,none,female
Scarecrow,188,none,Scarecrow,none,none,none,none,male
Tin Woodman,189,none,Tin,none,Woodman,none,none,male
Nimmie Amee,189,none,Nimmie,none,Amee,none,none,female
Scarecrow,190,none,Scarecrow,none,none,none,none,male
Woot,191,none,Woot,none,none,none,none,male
Scarecrow,193,none,Scarecrow,none,none,none,none,male
Nimmie Amee,194,none,Nimmie,none,Amee,none,none,female
Nimmie Amee,197,none,Nimmie,none,Amee,none,none,female
Scarecrow,198,none,Scarecrow,none,none,none,none,male
Tin Woodman,198,none,Tin,none,Woodman,none,none,male
Nimmie Amee,201,none,Nimmie,none,Amee,none,none,female
Nimmie Amee,202,none,Nimmie,none,Amee,none,none,female
Ozma,202,none,Ozma,none,none,none,none,female
Dorothy,202,none,Dorothy,none,none,none,none,female
Betsy Bobbin,202,none,Betsy,none,Bobbin,none,none,female
Trot,202,none,Trot,none,none,none,none,female
Nimmie Amee,202,none,Nimmie,none,Amee,none,none,female
Woot,203,none,Woot,none,none,none,none,male
