name,sentence_id,title,first,middle,last,suffix,nickname,gender
,,,,,,,,
Ann,1,none,Ann,none,none,none,none,female
Ann,3,none,Ann,none,none,none,none,female
Salye,3,none,Salye,none,none,none,none,female
Oogaboo,5,none,Oogaboo,none,none,none,none,female
Ann,5,none,Ann,none,none,none,none,female
Ozma,9,none,Ozma,none,none,none,none,female
Oogaboo,9,none,Oogaboo,none,none,none,none,female
Ozma,11,none,Ozma,none,none,none,none,female
Oogaboo,12,none,Oogaboo,none,none,none,none,female
Jol Jemkiph Soforth,12,none,Jol,Jemkiph,Soforth,none,none,male
Jol,13,none,Jol,none,none,none,none,male
Oogaboo,13,none,Oogaboo,none,none,none,none,female
Ann Soforth,14,none,Ann,none,Soforth,none,none,female
Ann,15,none,Ann,none,none,none,none,female
Ann,16,none,Ann,none,none,none,none,female
Oogaboo,16,none,Oogaboo,none,none,none,none,female
Oogaboo,19,none,Oogaboo,none,none,none,none,female
Ann,19,none,Ann,none,none,none,none,female
Salye,20,none,Salye,none,none,none,none,female
Ann,20,none,Ann,none,none,none,none,female
Salye,22,none,Salye,none,none,none,none,female
Ann,23,none,Ann,none,none,none,none,female
Ozma,23,none,Ozma,none,none,none,none,female
Ann,25,none,Ann,none,none,none,none,female
Salye,26,none,Salye,none,none,none,none,female
Oz,27,none,Oz,none,none,none,none,male
Ann,27,none,Ann,none,none,none,none,female
Ann,29,none,Ann,none,none,none,none,female
Ozma,30,none,Ozma,none,none,none,none,female
Oogaboo,31,none,Oogaboo,none,none,none,none,female
Ozma,31,none,Ozma,none,none,none,none,female
Ozma,32,none,Ozma,none,none,none,none,female
Ann,33,none,Ann,none,none,none,none,female
Ozma,33,none,Ozma,none,none,none,none,female
Ann,36,none,Ann,none,none,none,none,female
Ozma,39,none,Ozma,none,none,none,none,female
Ann,40,none,Ann,none,none,none,none,female
Oogaboo,42,none,Oogaboo,none,none,none,none,female
Salye,43,none,Salye,none,none,none,none,female
Jo Apple,45,none,Jo,none,Apple,none,none,male
Jo,46,none,Jo,none,none,none,none,male
Ann,46,none,Ann,none,none,none,none,female
Jo Apple,47,none,Jo,none,Apple,none,none,male
Oogaboo,49,none,Oogaboo,none,none,none,none,female
Ann,49,none,Ann,none,none,none,none,female
Ann,52,none,Ann,none,none,none,none,female
Jo Bunn,55,none,Jo,none,Bunn,none,none,male
Jo,56,none,Jo,none,none,none,none,male
Ann,56,none,Ann,none,none,none,none,female
Ann,60,none,Ann,none,none,none,none,female
Jo Cone,64,none,Jo,none,Cone,none,none,male
Jo,65,none,Jo,none,none,none,none,male
Ann,65,none,Ann,none,none,none,none,female
Jo Cone,66,none,Jo,none,Cone,none,none,male
Ann,69,none,Ann,none,none,none,none,female
Jo Cone,72,none,Jo,none,Cone,none,none,male
Ann,72,none,Ann,none,none,none,none,female
Jo Clock,72,none,Jo,none,Clock,none,none,male
Ann,73,none,Ann,none,none,none,none,female
Ann,75,none,Ann,none,none,none,none,female
Jo Clock,78,none,Jo,none,Clock,none,none,male
Ann,80,none,Ann,none,none,none,none,female
Jo Plum,81,none,Jo,none,Plum,none,none,male
Jo Egg,81,none,Jo,none,Egg,none,none,male
Jo Banjo,81,none,Jo,none,Banjo,none,none,male
Jo Cheese,81,none,Jo,none,Cheese,none,none,male
Jo Nails,81,none,Jo,none,Nails,none,none,male
Colonels,81,none,Colonels,none,none,none,none,female
Oogaboo,81,none,Oogaboo,none,none,none,none,female
Jo Nails,82,none,Jo,none,Nails,none,none,male
Jo Cake,82,none,Jo,none,Cake,none,none,male
Jo Ham,82,none,Jo,none,Ham,none,none,male
Jo Stockings,82,none,Jo,none,Stockings,none,none,male
Jo Sandwich,82,none,Jo,none,Sandwich,none,none,male
Jo Padlocks,82,none,Jo,none,Padlocks,none,none,male
Jo Sundae,82,none,Jo,none,Sundae,none,none,male
Jo Buttons,82,none,Jo,none,Buttons,none,none,male
Ann,83,none,Ann,none,none,none,none,female
Oogaboo,84,none,Oogaboo,none,none,none,none,female
