name,sentence_id,new_name,,
Dorothy Gale,19,Dorothy the Lamb,,
Dorothy,24,Dorothy the Lamb,,
Uncle Henry,31,Uncle Henry,,
Eureka,31,Eureka the Pink Kitten,,
Dorothy,36,Dorothy the Lamb,,
Dorothy,39,Dorothy the Lamb,,
Jim,42,Jim the Cab-horse,,
Jim,42,Jim the Cab-horse,,
Dorothy,47,Dorothy the Lamb,,
Uncle Henry,54,Uncle Henry,,
Uncle Hugson,56,Uncle Hugson,,
Bill Hugson,59,Bill Hugson,,
Uncle Henry,59,Uncle Henry,,
Uncle Bill,60,Bill Hugson,,
Uncle Hugson,63,Uncle Hugson,,
Dorothy,66,Dorothy the Lamb,,
Zebediah,68,Zebediah,,
Zeb,68,Zebediah,,
Uncle Henry,70,Uncle Henry,,
Uncle Henry,71,Uncle Henry,,
Uncle Henry,74,Uncle Henry,,
Dorothy,78,Dorothy the Lamb,,
Zeb,82,Zebediah,,
Dorothy,83,Dorothy the Lamb,,
Zeb,85,Zebediah,,
Jim,85,Jim the Cab-horse,,
Jim,86,Jim the Cab-horse,,
Jim,89,Jim the Cab-horse,,
Dorothy,94,Dorothy the Lamb,,
Dorothy,97,Dorothy the Lamb,,
Zeb,98,Zebediah,,
Dorothy,99,Dorothy the Lamb,,
Jim,103,Jim the Cab-horse,,
Dorothy,105,Dorothy the Lamb,,
Jim,106,Jim the Cab-horse,,
Dorothy,108,Dorothy the Lamb,,
Dorothy,114,Dorothy the Lamb,,
Zeb,114,Zebediah,,
Dorothy,115,Dorothy the Lamb,,
Jim,115,Jim the Cab-horse,,
Zeb,116,Zebediah,,
Dorothy,119,Dorothy the Lamb,,
Jim,124,Jim the Cab-horse,,
Dorothy,125,Dorothy the Lamb,,
Zeb,125,Zebediah,,
Dorothy,131,Dorothy the Lamb,,
Zeb,134,Zebediah,,
Zeb,139,Zebediah,,
Dorothy,141,Dorothy the Lamb,,
Dorothy,151,Dorothy the Lamb,,
Zeb,153,Zebediah,,
Zeb,155,Zebediah,,
Jim,159,Jim the Cab-horse,,
Dorothy,159,Dorothy the Lamb,,
Zeb,159,Zebediah,,
Jim,161,Jim the Cab-horse,,
Zeb,161,Zebediah,,
Dorothy,161,Dorothy the Lamb,,
Dorothy,163,Dorothy the Lamb,,
Zeb,165,Zebediah,,
Eureka,166,Eureka the Pink Kitten,,
Dorothy,168,Dorothy the Lamb,,
Eureka,170,Eureka the Pink Kitten,,
Zeb,175,Zebediah,,
Jim,177,Jim the Cab-horse,,
Jim,178,Jim the Cab-horse,,
Dorothy,183,Dorothy the Lamb,,
Dorothy,196,Dorothy the Lamb,,
Dorothy,203,Dorothy the Lamb,,
Eureka,204,Eureka the Pink Kitten,,
Dorothy,209,Dorothy the Lamb,,
Eureka,210,Eureka the Pink Kitten,,
Zeb,210,Zebediah,,
Dorothy,210,Dorothy the Lamb,,
Zeb,212,Zebediah,,
Jim,214,Jim the Cab-horse,,
Dorothy,214,Dorothy the Lamb,,
Jim,215,Jim the Cab-horse,,
Eureka,218,Eureka the Pink Kitten,,
Jim,220,Jim the Cab-horse,,
Jim,227,Jim the Cab-horse,,
Zeb,227,Zebediah,,
Dorothy,231,Dorothy the Lamb,,
Eureka,234,Eureka the Pink Kitten,,
Zeb,236,Zebediah,,
Zeb,237,Zebediah,,
Dorothy,240,Dorothy the Lamb,,
Zeb,240,Zebediah,,
Dorothy,242,Dorothy the Lamb,,
Jim,243,Jim the Cab-horse,,
Jim,245,Jim the Cab-horse,,
Dorothy,248,Dorothy the Lamb,,
Dorothy,251,Dorothy the Lamb,,
Jim,253,Jim the Cab-horse,,
Eureka,253,Eureka the Pink Kitten,,
Zeb,256,Zebediah,,
Dorothy,256,Dorothy the Lamb,,
Zeb,262,Zebediah,,
Dorothy,263,Dorothy the Lamb,,
Dorothy,275,Dorothy the Lamb,,
Eureka,275,Eureka the Pink Kitten,,
Gid,276,Gid,,
Jim,276,Jim the Cab-horse,,
Zeb,279,Zebediah,,
Gwig,281,Gwig,,
Jim,282,Jim the Cab-horse,,
Dorothy,285,Dorothy the Lamb,,
Sorcerer,286,Sorcerers,,
Dorothy,288,Dorothy the Lamb,,
Sorcerer,291,Sorcerers,,
Dorothy,292,Dorothy the Lamb,,
Sorcerer,296,Sorcerers,,
Dorothy,311,Dorothy the Lamb,,
Zeb,311,Zebediah,,
