name,sentence_id,new_name,,
Glinda,5,Glinda the Sorceress,,
Sorceress,7,Sorceress,,
Glinda,7,Glinda the Sorceress,,
Ozma,8,Royal Ozma,,
Oz,8,Oz,,
Dorothy,8,Dorothy the Lamb,,
Ozma,10,Royal Ozma,,
Glinda,10,Glinda the Sorceress,,
Ozma,11,Royal Ozma,,
Dorothy,12,Dorothy the Lamb,,
Sawhorse,12,Sawhorse,,
Dorothy,13,Dorothy the Lamb,,
Sawhorse,13,Sawhorse,,
Glinda,15,Glinda the Sorceress,,
Sorceress,15,Sorceress,,
Ozma,16,Royal Ozma,,
Dorothy,16,Dorothy the Lamb,,
Glinda,17,Glinda the Sorceress,,
Ozma,17,Royal Ozma,,
Ozma,18,Royal Ozma,,
Dorothy,18,Dorothy the Lamb,,
Glinda,18,Glinda the Sorceress,,
Oz,19,Oz,,
Sorceress,19,Sorceress,,
Glinda,20,Glinda the Sorceress,,
Glinda,23,Glinda the Sorceress,,
Glinda,24,Glinda the Sorceress,,
Dorothy,24,Dorothy the Lamb,,
Sorceress,24,Sorceress,,
Dorothy,25,Dorothy the Lamb,,
Ozma,29,Royal Ozma,,
Ozma,30,Royal Ozma,,
Wogglebug,30,Professor H.M. Wogglebug,,
Dorothy,34,Dorothy the Lamb,,
Ozma,35,Royal Ozma,,
Dorothy,36,Dorothy the Lamb,,
Ozma,36,Royal Ozma,,
Glinda,36,Glinda the Sorceress,,
Glinda,37,Glinda the Sorceress,,
Ozma,37,Royal Ozma,,
Sorceress,38,Sorceress,,
Ozma,42,Royal Ozma,,
Glinda,43,Glinda the Sorceress,,
Oz,43,Oz,,
Sorceress,44,Sorceress,,
Dorothy,46,Dorothy the Lamb,,
Glinda,49,Glinda the Sorceress,,
Dorothy,49,Dorothy the Lamb,,
Ozma,49,Royal Ozma,,
Glinda,50,Glinda the Sorceress,,
Ozma,51,Royal Ozma,,
Ozma,53,Royal Ozma,,
Sorceress,55,Sorceress,,
Glinda,58,Glinda the Sorceress,,
Dorothy,59,Dorothy the Lamb,,
Glinda,60,Glinda the Sorceress,,
Ozma,65,Royal Ozma,,
Glinda,66,Glinda the Sorceress,,
Dorothy,67,Dorothy the Lamb,,
Glinda,67,Glinda the Sorceress,,
Wizard,67,Wizard of Oz,,
Ozma,68,Royal Ozma,,
Ozma,71,Royal Ozma,,
Ozma,73,Royal Ozma,,
Glinda,74,Glinda the Sorceress,,
Sorceress,75,Sorceress,,
Ozma,78,Royal Ozma,,
Ozma,81,Royal Ozma,,
Dorothy,81,Dorothy the Lamb,,
Sorceress,84,Sorceress,,
Ozma,86,Royal Ozma,,
Dorothy,87,Dorothy the Lamb,,
Ozma,89,Royal Ozma,,
Oz,89,Oz,,
Ozma,90,Royal Ozma,,
Dorothy,91,Dorothy the Lamb,,
Dorothy,93,Dorothy the Lamb,,
Sorceress,93,Sorceress,,
Dorothy,96,Dorothy the Lamb,,
Ozma,97,Royal Ozma,,
Ozma,101,Royal Ozma,,
Oz,102,Oz,,
Glinda,102,Glinda the Sorceress,,
Wizard,103,Wizard of Oz,,
Ozma,104,Royal Ozma,,
Dorothy,109,Dorothy the Lamb,,
Ozma,111,Royal Ozma,,
Dorothy,114,Dorothy the Lamb,,
Ozma,116,Royal Ozma,,
Glinda,116,Glinda the Sorceress,,
Sorceress,117,Sorceress,,
Oz,118,Oz,,
Dorothy,125,Dorothy the Lamb,,
Ozma,126,Royal Ozma,,
Glinda,132,Glinda the Sorceress,,
Ozma,133,Royal Ozma,,
Oz,134,Oz,,
Dorothy,135,Dorothy the Lamb,,
Dorothy,136,Dorothy the Lamb,,
Ozma,136,Royal Ozma,,
Dorothy,137,Dorothy the Lamb,,
Ozma,137,Royal Ozma,,
Oz,138,Oz,,
Dorothy,139,Dorothy the Lamb,,
Glinda,141,Glinda the Sorceress,,
Sorceress,142,Sorceress,,
Dorothy,142,Dorothy the Lamb,,
Ozma,147,Royal Ozma,,
Glinda,148,Glinda the Sorceress,,
Dorothy,148,Dorothy the Lamb,,
Nome King,149,Roquat of the Rocks,,
Ozma,150,Royal Ozma,,
Glinda,150,Glinda the Sorceress,,
Dorothy,150,Dorothy the Lamb,,
Sawhorse,151,Sawhorse,,
Dorothy,151,Dorothy the Lamb,,
Ozma,152,Royal Ozma,,
Dorothy,152,Dorothy the Lamb,,
Scarecrow,152,Scarecrow of Oz,,
