name,sentence_id,new_name,,,,
Dorothy Gale,10,Dorothy the Lamb,,,,
Uncle Henry,10,Uncle Henry,,,,
Henry,11,Uncle Henry,,,,
Dorothy,13,Dorothy the Lamb,,,,
Uncle Henry,13,Uncle Henry,,,,
Uncle Henry,16,Uncle Henry,,,,
Dorothy,19,Dorothy the Lamb,,,,
Uncle Henry,19,Uncle Henry,,,,
Uncle Henry,22,Uncle Henry,,,,
Dorothy,22,Dorothy the Lamb,,,,
Dorothy,25,Dorothy the Lamb,,,,
Uncle Henry,26,Uncle Henry,,,,
Uncle Henry,27,Uncle Henry,,,,
Dorothy,29,Dorothy the Lamb,,,,
Dorothy,31,Dorothy the Lamb,,,,
Dorothy,33,Dorothy the Lamb,,,,
Dorothy,35,Dorothy the Lamb,,,,
Dorothy,42,Dorothy the Lamb,,,,
Uncle Henry,42,Uncle Henry,,,,
Dorothy Gale,47,Dorothy the Lamb,,,,
Dorothy,51,Dorothy the Lamb,,,,
Dorothy,52,Dorothy the Lamb,,,,
Dorothy,54,Dorothy the Lamb,,,,
Dorothy,55,Dorothy the Lamb,,,,
Dorothy,59,Dorothy the Lamb,,,,
Dorothy,66,Dorothy the Lamb,,,,
Dorothy,74,Dorothy the Lamb,,,,
Dorothy,79,Dorothy the Lamb,,,,
Dorothy,86,Dorothy the Lamb,,,,
Dorothy,91,Dorothy the Lamb,,,,
Dorothy,94,Dorothy the Lamb,,,,
Dorothy,102,Dorothy the Lamb,,,,
Dorothy,105,Dorothy the Lamb,,,,
Dorothy,112,Dorothy the Lamb,,,,
Dorothy,114,Dorothy the Lamb,,,,
Dorothy,118,Dorothy the Lamb,,,,
Dorothy,121,Dorothy the Lamb,,,,
Dorothy,127,Dorothy the Lamb,,,,
Bill,135,Billina,,,,
Bill,141,Billina,,,,
Bill,142,Billina,,,,
Bill,143,Billina,,,,
Bill,143,Billina,,,,
Dorothy,144,Dorothy the Lamb,,,,
Billina,144,Billina,,,,
Billina,148,Billina,,,,
Dorothy Gale,149,Dorothy the Lamb,,,,
Dorothy,149,Dorothy the Lamb,,,,
Miss Gale,149,Dorothy the Lamb,,,,
Dorothy,150,Dorothy the Lamb,,,,
Dorothy,158,Dorothy the Lamb,,,,
Dorothy,159,Dorothy the Lamb,,,,
Billina,160,Billina,,,,
Dorothy,161,Dorothy the Lamb,,,,
Dorothy,167,Dorothy the Lamb,,,,
Dorothy,171,Dorothy the Lamb,,,,
Dorothy,173,Dorothy the Lamb,,,,
Billina,174,Billina,,,,
Dorothy,176,Dorothy the Lamb,,,,
Dorothy,183,Dorothy the Lamb,,,,
Billina,184,Billina,,,,
Billina,186,Billina,,,,
Dorothy,190,Dorothy the Lamb,,,,
Billina,197,Billina,,,,
Dorothy,197,Dorothy the Lamb,,,,
Billina,203,Billina,,,,
Dorothy,207,Dorothy the Lamb,,,,
Billina,211,Billina,,,,
Dorothy,212,Dorothy the Lamb,,,,
Dorothy,218,Dorothy the Lamb,,,,
Dorothy,220,Dorothy the Lamb,,,,
Dorothy,223,Dorothy the Lamb,,,,
Billina,229,Billina,,,,
Dorothy,232,Dorothy the Lamb,,,,
Dorothy,241,Dorothy the Lamb,,,,
Dorothy,244,Dorothy the Lamb,,,,
Billina,245,Billina,,,,
Dorothy,249,Dorothy the Lamb,,,,
Billina,249,Billina,,,,
Billina,251,Billina,,,,
Billina,254,Billina,,,,
Billina,257,Billina,,,,
Dorothy,258,Dorothy the Lamb,,,,
Billina,263,Billina,,,,
Dorothy,264,Dorothy the Lamb,,,,
Dorothy,266,Dorothy the Lamb,,,,
Dorothy,268,Dorothy the Lamb,,,,
Wheeler,272,Wheeler,,,,
Dorothy,272,Dorothy the Lamb,,,,
Dorothy,275,Dorothy the Lamb,,,,
Wheeler,275,Wheeler,,,,
Billina,279,Billina,,,,
Dorothy,280,Dorothy the Lamb,,,,
Dorothy,281,Dorothy the Lamb,,,,
Wheeler,282,Wheeler,,,,
Dorothy,283,Dorothy the Lamb,,,,
Billina,284,Billina,,,,
Dorothy,286,Dorothy the Lamb,,,,
Dorothy,287,Dorothy the Lamb,,,,
Billina,288,Billina,,,,
Dorothy,289,Dorothy the Lamb,,,,
Dorothy,292,Dorothy the Lamb,,,,
Billina,300,Billina,,,,
Dorothy,303,Dorothy the Lamb,,,,
Dorothy,308,Dorothy the Lamb,,,,
Billina,308,Billina,,,,
Dorothy,310,Dorothy the Lamb,,,,
Billina,310,Billina,,,,
Dorothy,312,Dorothy the Lamb,,,,
Dorothy,313,Dorothy the Lamb,,,,
Dorothy,315,Dorothy the Lamb,,,,
Billina,316,Billina,,,,
Dorothy,320,Dorothy the Lamb,,,,
Billina,321,Billina,,,,
Dorothy,324,Dorothy the Lamb,,,,
Billina,325,Billina,,,,
Dorothy,326,Dorothy the Lamb,,,,
Dorothy,328,Dorothy the Lamb,,,,
Dorothy,330,Dorothy the Lamb,,,,
Billina,333,Billina,,,,
Dorothy,337,Dorothy the Lamb,,,,
Nick Chopper,337,Emperor of the Winkies,,,,
Dorothy,341,Dorothy the Lamb,,,,
Dorothy,343,Dorothy the Lamb,,,,
Dorothy,346,Dorothy the Lamb,,,,
Dorothy,351,Dorothy the Lamb,,,,
Billina,352,Billina,,,,
Dorothy,361,Dorothy the Lamb,,,,
Billina,362,Billina,,,,
Dorothy,366,Dorothy the Lamb,,,,
Billina,369,Billina,,,,
Dorothy,371,Dorothy the Lamb,,,,
Dorothy,373,Dorothy the Lamb,,,,
Dorothy,378,Dorothy the Lamb,,,,
Billina,378,Billina,,,,
Dorothy,381,Dorothy the Lamb,,,,
Ev,384,Evoldo,,,,
Ev,384,Evoldo,,,,
Nome King,387,Roquat of the Rocks,,,,
Dorothy,391,Dorothy the Lamb,,,,
Dorothy,395,Dorothy the Lamb,,,,
Dorothy,398,Dorothy the Lamb,,,,
Dorothy,403,Dorothy the Lamb,,,,
Dorothy,411,Dorothy the Lamb,,,,
Tiktok,413,Tiktok,,,,
Tiktok,417,Tiktok,,,,
Dorothy,418,Dorothy the Lamb,,,,
Billina,419,Billina,,,,
Dorothy,421,Dorothy the Lamb,,,,
Tiktok,423,Tiktok,,,,
Dorothy,428,Dorothy the Lamb,,,,
Dorothy,434,Dorothy the Lamb,,,,
Billina,435,Billina,,,,
Dorothy,439,Dorothy the Lamb,,,,
Tiktok,440,Tiktok,,,,
Dorothy,441,Dorothy the Lamb,,,,
Ev,443,Evoldo,,,,
Billina,445,Billina,,,,
Dorothy,446,Dorothy the Lamb,,,,
Dorothy,451,Dorothy the Lamb,,,,
Tiktok,452,Tiktok,,,,
Tiktok,455,Tiktok,,,,
Dorothy,456,Dorothy the Lamb,,,,
Billina,457,Billina,,,,
Dorothy,457,Dorothy the Lamb,,,,
Dorothy,461,Dorothy the Lamb,,,,
Tiktok,462,Tiktok,,,,
Billina,463,Billina,,,,
Tiktok,465,Tiktok,,,,
Ev,467,Evoldo,,,,
Nome King,467,Roquat of the Rocks,,,,
Dorothy,471,Dorothy the Lamb,,,,
Tiktok,471,Tiktok,,,,
Ev,474,Evoldo,,,,
Dorothy,476,Dorothy the Lamb,,,,
Tiktok,478,Tiktok,,,,
Dorothy,482,Dorothy the Lamb,,,,
Smith,485,Smith & Tin,,,,
Tiktok,488,Tiktok,,,,
Dorothy,490,Dorothy the Lamb,,,,
Tiktok,491,Tiktok,,,,
Dorothy,496,Dorothy the Lamb,,,,
Dorothy,499,Dorothy the Lamb,,,,
Billina,500,Billina,,,,
Dorothy,501,Dorothy the Lamb,,,,
Billina,504,Billina,,,,
Dorothy,507,Dorothy the Lamb,,,,
Billina,510,Billina,,,,
Tiktok,511,Tiktok,,,,
Billina,513,Billina,,,,
Dorothy,514,Dorothy the Lamb,,,,
Dorothy,518,Dorothy the Lamb,,,,
Billina,522,Billina,,,,
Tiktok,524,Tiktok,,,,
Dorothy,525,Dorothy the Lamb,,,,
Tiktok,526,Tiktok,,,,
Jin-jur,527,General Jinjur,,,,
Oz,527,Oz,,,,
Oz-ma,527,Royal Ozma,,,,
Dorothy,528,Dorothy the Lamb,,,,
Tin Woodman,530,Emperor of the Winkies,,,,
Ozma,531,Royal Ozma,,,,
Tiktok,532,Tiktok,,,,
Dorothy,534,Dorothy the Lamb,,,,
Dorothy,534,Dorothy the Lamb,,,,
Tiktok,535,Tiktok,,,,
Dorothy,537,Dorothy the Lamb,,,,
Tiktok,539,Tiktok,,,,
Dorothy,539,Dorothy the Lamb,,,,
Dorothy,541,Dorothy the Lamb,,,,
Tiktok,545,Tiktok,,,,
Wheeler,545,Wheeler,,,,
Wheeler,546,Wheeler,,,,
Tiktok,548,Tiktok,,,,
Wheeler,548,Wheeler,,,,
Wheeler,549,Wheeler,,,,
Tiktok,551,Tiktok,,,,
Dorothy,555,Dorothy the Lamb,,,,
Billina,555,Billina,,,,
Wheeler,559,Wheeler,,,,
Tiktok,559,Tiktok,,,,
Tiktok,561,Tiktok,,,,
Wheeler,561,Wheeler,,,,
Tiktok,563,Tiktok,,,,
Wheeler,564,Wheeler,,,,
Tiktok,566,Tiktok,,,,
Wheeler,568,Wheeler,,,,
Wheeler,574,Wheeler,,,,
Dorothy,574,Dorothy the Lamb,,,,
Dorothy,579,Dorothy the Lamb,,,,
Wheeler,579,Wheeler,,,,
Tiktok,579,Tiktok,,,,
Billina,579,Billina,,,,
Wheeler,581,Wheeler,,,,
Tiktok,583,Tiktok,,,,
Wheeler,587,Wheeler,,,,
Tiktok,588,Tiktok,,,,
Tiktok,589,Tiktok,,,,
Wheeler,592,Wheeler,,,,
Nome King,595,Roquat of the Rocks,,,,
Langwidere,596,Langwidere,,,,
Evoldo,596,Evoldo,,,,
Langwidere,597,Langwidere,,,,
Tiktok,598,Tiktok,,,,
Wheeler,600,Wheeler,,,,
Langwidere,601,Langwidere,,,,
Dorothy,603,Dorothy the Lamb,,,,
Wheeler,605,Wheeler,,,,
Wheeler,608,Wheeler,,,,
Dorothy,615,Dorothy the Lamb,,,,
Tiktok,619,Tiktok,,,,
Wheeler,619,Wheeler,,,,
Dorothy,621,Dorothy the Lamb,,,,
Wheeler,621,Wheeler,,,,
Langwidere,623,Langwidere,,,,
Wheeler,624,Wheeler,,,,
Tiktok,626,Tiktok,,,,
Langwidere,627,Langwidere,,,,
Dorothy,627,Dorothy the Lamb,,,,
Dorothy,631,Dorothy the Lamb,,,,
Shoo,632,Shoo,,,,
Billina,632,Billina,,,,
Billina,636,Billina,,,,
Billina,639,Billina,,,,
Dorothy,640,Dorothy the Lamb,,,,
Langwidere,642,Langwidere,,,,
Dorothy,643,Dorothy the Lamb,,,,
Billina,644,Billina,,,,
Dorothy Gale,648,Dorothy the Lamb,,,,
Tiktok,648,Tiktok,,,,
Billina,648,Billina,,,,
Langwidere,650,Langwidere,,,,
Langwidere,651,Langwidere,,,,
Langwidere,656,Langwidere,,,,
Dorothy Gale,657,Dorothy the Lamb,,,,
Tiktok,657,Tiktok,,,,
Billina,657,Billina,,,,
Dorothy Gale,660,Dorothy the Lamb,,,,
Tiktok,662,Tiktok,,,,
Nanda,666,Nanda,,,,
Nanda,669,Nanda,,,,
Langwidere,672,Langwidere,,,,
Nanda,672,Nanda,,,,
Langwidere,673,Langwidere,,,,
Langwidere,675,Langwidere,,,,
Nanda,688,Nanda,,,,
Langwidere,688,Langwidere,,,,
Langwidere,689,Langwidere,,,,
Langwidere,692,Langwidere,,,,
Langwidere,695,Langwidere,,,,
Dorothy,697,Dorothy the Lamb,,,,
Billina,698,Billina,,,,
Tiktok,699,Tiktok,,,,
Dorothy,701,Dorothy the Lamb,,,,
Dorothy,703,Dorothy the Lamb,,,,
Dorothy,708,Dorothy the Lamb,,,,
Dorothy,710,Dorothy the Lamb,,,,
Langwidere,710,Langwidere,,,,
Dorothy,715,Dorothy the Lamb,,,,
Dorothy,719,Dorothy the Lamb,,,,
Langwidere,723,Langwidere,,,,
Nanda,724,Nanda,,,,
Nanda,725,Nanda,,,,
Dorothy,727,Dorothy the Lamb,,,,
Tiktok,729,Tiktok,,,,
Tiktok,732,Tiktok,,,,
Dorothy,733,Dorothy the Lamb,,,,
Dorothy,738,Dorothy the Lamb,,,,
Dorothy,740,Dorothy the Lamb,,,,
Langwidere,741,Langwidere,,,,
Dorothy,741,Dorothy the Lamb,,,,
Langwidere,744,Langwidere,,,,
Nanda,744,Nanda,,,,
Billina,744,Billina,,,,
Nanda,747,Nanda,,,,
Billina,749,Billina,,,,
Langwidere,751,Langwidere,,,,
Nanda,752,Nanda,,,,
Dorothy,752,Dorothy the Lamb,,,,
Dorothy,770,Dorothy the Lamb,,,,
Lion,772,Cowardly Lion,,,,
Tiger,772,Hungry Tiger,,,,
Dorothy,775,Dorothy the Lamb,,,,
Ozma,775,Royal Ozma,,,,
Oz,775,Oz,,,,
Tiktok,775,Tiktok,,,,
Dorothy,776,Dorothy the Lamb,,,,
Scarecrow,776,Scarecrow of Oz,,,,
Nick Chopper,777,Emperor of the Winkies,,,,
Tin Woodman,777,Emperor of the Winkies,,,,
Tin Woodman,778,Emperor of the Winkies,,,,
Dorothy,780,Dorothy the Lamb,,,,
Oz,780,Oz,,,,
Scarecrow,780,Scarecrow of Oz,,,,
Tin Woodman,780,Emperor of the Winkies,,,,
Ozma,782,Royal Ozma,,,,
Lion,783,Cowardly Lion,,,,
Tiger,783,Hungry Tiger,,,,
Dorothy,783,Dorothy the Lamb,,,,
Scarecrow,784,Scarecrow of Oz,,,,
Dorothy,785,Dorothy the Lamb,,,,
Dorothy,788,Dorothy the Lamb,,,,
Dorothy,789,Dorothy the Lamb,,,,
Scarecrow,789,Scarecrow of Oz,,,,
Dorothy Gale,790,Dorothy the Lamb,,,,
Dorothy,792,Dorothy the Lamb,,,,
Scarecrow,792,Scarecrow of Oz,,,,
Scarecrow,796,Scarecrow of Oz,,,,
Scarecrow,799,Scarecrow of Oz,,,,
Dorothy,800,Dorothy the Lamb,,,,
Wheeler,802,Wheeler,,,,
Tin Woodman,804,Emperor of the Winkies,,,,
Scarecrow,805,Scarecrow of Oz,,,,
Langwidere,808,Langwidere,,,,
Ozma,809,Royal Ozma,,,,
Dorothy,809,Dorothy the Lamb,,,,
Dorothy,810,Dorothy the Lamb,,,,
Ozma,811,Royal Ozma,,,,
Dorothy,813,Dorothy the Lamb,,,,
Oz,813,Oz,,,,
Ozma,814,Royal Ozma,,,,
Tin Woodman,814,Emperor of the Winkies,,,,
Ozma,815,Royal Ozma,,,,
Lion,815,Cowardly Lion,,,,
Tiger,815,Hungry Tiger,,,,
Nanda,816,Nanda,,,,
Langwidere,816,Langwidere,,,,
Oz,817,Oz,,,,
Scarecrow,819,Scarecrow of Oz,,,,
Tin Woodman,820,Emperor of the Winkies,,,,
Ozma,821,Royal Ozma,,,,
Ozma,825,Royal Ozma,,,,
Ev,827,Evoldo,,,,
Nome King,827,Roquat of the Rocks,,,,
Langwidere,828,Langwidere,,,,
Ozma,832,Royal Ozma,,,,
Langwidere,834,Langwidere,,,,
Ozma,838,Royal Ozma,,,,
Ozma,839,Royal Ozma,,,,
Scarecrow,839,Scarecrow of Oz,,,,
Tiktok,844,Tiktok,,,,
Scarecrow,847,Scarecrow of Oz,,,,
Dorothy,848,Dorothy the Lamb,,,,
Tiktok,851,Tiktok,,,,
Scarecrow,852,Scarecrow of Oz,,,,
Smith,854,Smith & Tin,,,,
Scarecrow,857,Scarecrow of Oz,,,,
Tiktok,861,Tiktok,,,,
Tin Woodman,862,Emperor of the Winkies,,,,
Tiktok,863,Tiktok,,,,
Tin Woodman,864,Emperor of the Winkies,,,,
Scarecrow,864,Scarecrow of Oz,,,,
Tiktok,866,Tiktok,,,,
Scarecrow,871,Scarecrow of Oz,,,,
Tiktok,873,Tiktok,,,,
Scarecrow,874,Scarecrow of Oz,,,,
Tiktok,875,Tiktok,,,,
Scarecrow,876,Scarecrow of Oz,,,,
Tiktok,878,Tiktok,,,,
Ozma,879,Royal Ozma,,,,
Dorothy,879,Dorothy the Lamb,,,,
Langwidere,879,Langwidere,,,,
Dorothy,880,Dorothy the Lamb,,,,
Scarecrow,880,Scarecrow of Oz,,,,
Tin Woodman,881,Emperor of the Winkies,,,,
Dorothy,882,Dorothy the Lamb,,,,
