name,sentence_id,new_name,,
Kitticut,10,King Kitticut,,
Rinkitink,14,King Rinkitink,,
Pingaree,15,Pingaree,,
Pingaree,19,Pingaree,,
Kitticut,23,King Kitticut,,
Kitticut,25,King Kitticut,,
Garee,26,Garee,,
Prince Inga,26,Prince Inga,,
Pingaree,29,Pingaree,,
Inga,30,Prince Inga,,
Pingaree,30,Pingaree,,
Pingaree,33,Pingaree,,
King,33,King,,
Inga,35,Prince Inga,,
Kitticut,37,King Kitticut,,
Inga,37,Prince Inga,,
Inga,38,Prince Inga,,
King,38,King,,
Inga,39,Prince Inga,,
Prince Inga,42,Prince Inga,,
King,51,King,,
Inga,52,Prince Inga,,
Mermaid,55,Mermaid,,
Inga,65,Prince Inga,,
Inga,70,Prince Inga,,
Kitticut,72,King Kitticut,,
Inga,78,Prince Inga,,
Inga,83,Prince Inga,,
Inga,84,Prince Inga,,
Pingaree,88,Pingaree,,
Inga,88,Prince Inga,,
Inga,92,Prince Inga,,
Inga,96,Prince Inga,,
Kitticut,100,King Kitticut,,
Kitticut,116,King Kitticut,,
King Rinkitink,119,King Rinkitink,,
Pingaree,119,Pingaree,,
King Kitticut,121,King Kitticut,,
Rinkitink,124,King Rinkitink,,
Kitticut,129,King Kitticut,,
Rinkitink,131,King Rinkitink,,
Kitticut,140,King Kitticut,,
Rinkitink,143,King Rinkitink,,
Kitticut,150,King Kitticut,,
Pingaree,152,Pingaree,,
Bilbil,153,Prince Bobo of Boboland,,
Kitticut,154,King Kitticut,,
Pingaree,156,Pingaree,,
Bilbil,162,Prince Bobo of Boboland,,
Rinkitink,162,King Rinkitink,,
Kitticut,164,King Kitticut,,
Rinkitink,166,King Rinkitink,,
Inga,166,Prince Inga,,
Inga,172,Prince Inga,,
Kitticut,173,King Kitticut,,
Bilbil,176,Prince Bobo of Boboland,,
King,179,King,,
Bilbil,183,Prince Bobo of Boboland,,
Bilbil,185,Prince Bobo of Boboland,,
Bilbil,187,Prince Bobo of Boboland,,
Bilbil,192,Prince Bobo of Boboland,,
Rinkitink,194,King Rinkitink,,
Bilbil,195,Prince Bobo of Boboland,,
Inga,196,Prince Inga,,
Pingaree,196,Pingaree,,
Rinkitink,196,King Rinkitink,,
Kitticut,197,King Kitticut,,
Rinkitink,199,King Rinkitink,,
Inga,200,Prince Inga,,
Bilbil,202,Prince Bobo of Boboland,,
Rinkitink,202,King Rinkitink,,
Inga,203,Prince Inga,,
Bilbil,204,Prince Bobo of Boboland,,
Kitticut,205,King Kitticut,,
Pingaree,207,Pingaree,,
Kitticut,208,King Kitticut,,
Rinkitink,209,King Rinkitink,,
Inga,219,Prince Inga,,
Rinkitink,220,King Rinkitink,,
Rinkitink,228,King Rinkitink,,
Rinkitink,230,King Rinkitink,,
Inga,230,Prince Inga,,
Rinkitink,231,King Rinkitink,,
Bilbil,231,Prince Bobo of Boboland,,
Bilbil,233,Prince Bobo of Boboland,,
Pingaree,242,Pingaree,,
Kitticut,242,King Kitticut,,
Bilbil,246,Prince Bobo of Boboland,,
Bilbil,248,Prince Bobo of Boboland,,
Inga,250,Prince Inga,,
Bilbil,250,Prince Bobo of Boboland,,
Bilbil,251,Prince Bobo of Boboland,,
Bilbil,254,Prince Bobo of Boboland,,
Bilbil,256,Prince Bobo of Boboland,,
Inga,257,Prince Inga,,
Inga,259,Prince Inga,,
Pingaree,260,Pingaree,,
Inga,262,Prince Inga,,
Kitticut,265,King Kitticut,,
Inga,266,Prince Inga,,
Kitticut,270,King Kitticut,,
King,272,King,,
