name,sentence_id,new_name,,
Bini Aru,8,Bini Aru,,
Sorcerer,8,Sorcerer,,
Ozma,9,Royal Ozma,,
Oz,9,Oz,,
Glinda the Good,9,Glinda the Sorceress,,
Glinda,9,Glinda the Sorceress,,
Bini Aru,9,Bini Aru,,
Ozma,11,Royal Ozma,,
Sorcerer,13,Sorcerer,,
Glinda the Good,14,Glinda the Sorceress,,
Wizard of Oz,14,Wizard of Oz,,
Pipt,14,Crooked Magician,,
Mombi,14,Mombi,,
Bini Aru,15,Bini Aru,,
Bini Aru,17,Bini Aru,,
Bini Aru,20,Bini Aru,,
Bini Aru,21,Bini Aru,,
Bini Aru,24,Bini Aru,,
Ozma,25,Royal Ozma,,
Ozma,25,Royal Ozma,,
Bini Aru,25,Bini Aru,,
Pyrzqxgl,25,Pyrzqxgl,,
Sorcerer,27,Sorcerer,,
Bini Aru,30,Bini Aru,,
Mopsi Aru,30,Mopsi Aru,,
Kiki Aru,30,Kiki Aru,,
Kiki Aru,32,Kiki Aru,,
Kiki Aru,36,Kiki Aru,,
Bini Aru,37,Bini Aru,,
Mopsi Aru,37,Mopsi Aru,,
Kiki,39,Kiki Aru,,
Bini Aru,39,Bini Aru,,
Kiki,40,Kiki Aru,,
Kiki,45,Kiki Aru,,
Kiki,48,Kiki Aru,,
Kiki Aru,51,Kiki Aru,,
Pyrzqxgl,51,Pyrzqxgl,,
Kiki,53,Kiki Aru,,
Kiki,55,Kiki Aru,,
Kiki,58,Kiki Aru,,
Pyrzqxgl,59,Pyrzqxgl,,
Oz,66,Oz,,
Glinda,67,Glinda the Sorceress,,
Oz,67,Oz,,
Kiki,68,Kiki Aru,,
Kiki Aru,71,Kiki Aru,,
Gingerbread Man,73,Gingerbread Man,,
John Dough,73,Gingerbread Man,,
Kiki,76,Kiki Aru,,
Kiki,79,Kiki Aru,,
Kiki Aru,81,Kiki Aru,,
Pyrzqxgl,81,Pyrzqxgl,,
Kiki Aru,84,Kiki Aru,,
Kiki,86,Kiki Aru,,
Noland,86,Noland,,
Bud,89,Bud,,
Kiki Aru,89,Kiki Aru,,
Zixi,90,Queen Zixi of Ix,,
Hyups,91,Hyups,,
Ev,92,Ev,,
Kiki,95,Kiki Aru,,
Kiki,97,Kiki Aru,,
Kiki Aru,100,Kiki Aru,,
Kiki,103,Kiki Aru,,
