name,sentence_id,new_name,,
Dorothy,2,Dorothy the Lamb,,
Shaggy Man,7,Shaggy Man,,
Dorothy,9,Dorothy the Lamb,,
Toto,19,Toto,,
Dorothy,20,Dorothy the Lamb,,
Dorothy,26,Dorothy the Lamb,,
Henry,27,Uncle Henry,,
Dorothy,30,Dorothy the Lamb,,
Butterfield,32,Butterfield,,
Dorothy,32,Dorothy the Lamb,,
Uncle Henry,32,Uncle Henry,,
Toto,39,Toto,,
Dorothy,40,Dorothy the Lamb,,
Dorothy,44,Dorothy the Lamb,,
Butterfield,49,Butterfield,,
Butterfield,51,Butterfield,,
Dorothy,59,Dorothy the Lamb,,
Toto,72,Toto,,
Dorothy,74,Dorothy the Lamb,,
Toto,79,Toto,,
Toto,80,Toto,,
Dorothy,80,Dorothy the Lamb,,
Dorothy,82,Dorothy the Lamb,,
Toto,84,Toto,,
Dorothy,102,Dorothy the Lamb,,
Dorothy,104,Dorothy the Lamb,,
Toto,107,Toto,,
Dorothy,107,Dorothy the Lamb,,
Toto,108,Toto,,
Toto,110,Toto,,
Shaggy Man,111,Shaggy Man,,
Dorothy,111,Dorothy the Lamb,,
Toto,111,Toto,,
Toto,115,Toto,,
Dorothy,118,Dorothy the Lamb,,
Toto,118,Toto,,
Dorothy,119,Dorothy the Lamb,,
Dorothy,123,Dorothy the Lamb,,
Uncle Henry,124,Uncle Henry,,
Dorothy,129,Dorothy the Lamb,,
Butterfield,134,Butterfield,,
Toto,143,Toto,,
Love Magnet,154,Love Magnet,,
Dorothy,156,Dorothy the Lamb,,
Dorothy,160,Dorothy the Lamb,,
Hungry Tiger,160,Hungry Tiger,,
Toto,162,Toto,,
Dorothy,165,Dorothy the Lamb,,
Dorothy,168,Dorothy the Lamb,,
Dorothy,170,Dorothy the Lamb,,
Toto,170,Toto,,
Dorothy,173,Dorothy the Lamb,,
Dorothy,177,Dorothy the Lamb,,
Toto,177,Toto,,
Button,181,Button,,
Button-Bright,181,Button-Bright,,
Button,194,Button,,
Button-Bright,194,Button-Bright,,
Button,198,Button,,
Button-Bright,198,Button-Bright,,
Dorothy,200,Dorothy the Lamb,,
Dorothy,213,Dorothy the Lamb,,
Dorothy,221,Dorothy the Lamb,,
Dorothy,223,Dorothy the Lamb,,
Button,224,Button,,
Button-Bright,224,Button-Bright,,
Button,225,Button,,
Dorothy,227,Dorothy the Lamb,,
Dorothy,229,Dorothy the Lamb,,
Button,232,Button,,
Button-Bright,232,Button-Bright,,
Dorothy,235,Dorothy the Lamb,,
Button,236,Button,,
Button-Bright,236,Button-Bright,,
Button,238,Button,,
Button-Bright,238,Button-Bright,,
Dorothy,239,Dorothy the Lamb,,
Dorothy,242,Dorothy the Lamb,,
Button,243,Button,,
Button-Bright,243,Button-Bright,,
Button,250,Button,,
Button-Bright,250,Button-Bright,,
Toto,252,Toto,,
Button,252,Button,,
Button-Bright,252,Button-Bright,,
Dorothy,255,Dorothy the Lamb,,
Toto,259,Toto,,
Dorothy,261,Dorothy the Lamb,,
Button,262,Button,,
Button-Bright,262,Button-Bright,,
Dorothy,266,Dorothy the Lamb,,
Shaggy Man,266,Shaggy Man,,
Button,267,Button,,
Button-Bright,267,Button-Bright,,
Love Magnet,267,Love Magnet,,
Button,267,Button,,
Button-Bright,267,Button-Bright,,
Dorothy,268,Dorothy the Lamb,,
Toto,268,Toto,,
Dorothy,270,Dorothy the Lamb,,
Toto,270,Toto,,
Mary,270,Mary,,
Button,271,Button,,
Button-Bright,271,Button-Bright,,
Dorothy,278,Dorothy the Lamb,,
Button,282,Button,,
Button-Bright,282,Button-Bright,,
Button,284,Button,,
Button-Bright,284,Button-Bright,,
Shaggy Man,289,Shaggy Man,,
Dorothy,289,Dorothy the Lamb,,
Love Magnet,289,Love Magnet,,
Toto,290,Toto,,
Toto,291,Toto,,
King Dox,296,King Renard the Fourth,,
Button,297,Button,,
Button-Bright,297,Button-Bright,,
Button,299,Button,,
Button-Bright,299,Button-Bright,,
Button,301,Button,,
Button-Bright,301,Button-Bright,,
Dorothy,307,Dorothy the Lamb,,
Toto,307,Toto,,
Button,307,Button,,
Button-Bright,307,Button-Bright,,
Dorothy,312,Dorothy the Lamb,,
Button,313,Button,,
Button-Bright,313,Button-Bright,,
Toto,314,Toto,,
Dorothy,314,Dorothy the Lamb,,
Dorothy,317,Dorothy the Lamb,,
Dorothy,323,Dorothy the Lamb,,
Button,323,Button,,
Button-Bright,323,Button-Bright,,
Toto,325,Toto,,
Dorothy,325,Dorothy the Lamb,,
Dorothy,329,Dorothy the Lamb,,
King,329,King,,
Button,331,Button,,
Button-Bright,331,Button-Bright,,
Royal Hairiness,334,Royal Hairiness,,
Dorothy,339,Dorothy the Lamb,,
Dorothy,340,Dorothy the Lamb,,
Fox,342,Foxville,,
Ozma,344,Royal Ozma,,
Oz,344,Oz,,
Ozma,345,Royal Ozma,,
Ozma,347,Royal Ozma,,
Dorothy,348,Dorothy the Lamb,,
Dorothy,351,Dorothy the Lamb,,
Ozma,352,Royal Ozma,,
Fox,358,Foxville,,
Uncle Henry,360,Uncle Henry,,
Dorothy,367,Dorothy the Lamb,,
Fox,368,Foxville,,
Dorothy,369,Dorothy the Lamb,,
Butterfield,372,Butterfield,,
Dorothy,375,Dorothy the Lamb,,
Fox,381,Foxville,,
Dorothy,384,Dorothy the Lamb,,
Button,384,Button,,
Button-Bright,384,Button-Bright,,
Dox,385,King Renard the Fourth,,
Button,385,Button,,
Button-Bright,385,Button-Bright,,
Button,389,Button,,
Button-Bright,389,Button-Bright,,
Button,392,Button,,
Button-Bright,392,Button-Bright,,
Dox,395,King Renard the Fourth,,
King Renard,396,King Renard the Fourth,,
Button,398,Button,,
Button-Bright,398,Button-Bright,,
Button,406,Button,,
Button-Bright,406,Button-Bright,,
Dox,406,King Renard the Fourth,,
Button,412,Button,,
Button-Bright,412,Button-Bright,,
Button,416,Button,,
Button-Bright,416,Button-Bright,,
Button,420,Button,,
Button-Bright,420,Button-Bright,,
Dorothy,422,Dorothy the Lamb,,
Button,424,Button,,
Button-Bright,424,Button-Bright,,
Button,426,Button,,
Button-Bright,426,Button-Bright,,
Button,431,Button,,
Dorothy,434,Dorothy the Lamb,,
Renard IV,435,King Renard the Fourth,,
Button,437,Button,,
