name,sentence_id,new_name,
Cap'n Bill,1,Bill Weedles,
Trot,1,Trot,
Cap'n Bill,2,Bill Weedles,
Bill,9,Billina,
Cap'n Bill,10,Bill Weedles,
Bill,15,Billina,
Bill,19,Billina,
Trot,19,Trot,
Trot,19,Trot,
Cap'n Bill,20,Bill Weedles,
Trot,21,Trot,
Cap'n Bill,22,Bill Weedles,
Cap'n Bill,23,Bill Weedles,
Trot,23,Trot,
Trot,26,Trot,
Mebbe,29,Mebbe,
Trot,36,Trot,
Cap'n Bill,42,Bill Weedles,
Trot,44,Trot,
Bill,45,Billina,
Trot,46,Trot,
Bill,47,Billina,
Cap'n Bill,50,Bill Weedles,
Trot,50,Trot,
Trot,54,Trot,
Trot,58,Trot,
Trot,68,Trot,
Cap'n Bill,68,Bill Weedles,
Bill,71,Billina,
Trot,73,Trot,
Cap'n Bill,75,Bill Weedles,
Trot,75,Trot,
Bill,79,Billina,
Trot,79,Trot,
Trot,82,Trot,
Trot,84,Trot,
Cap'n Bill,85,Bill Weedles,
Trot,86,Trot,
Bill,91,Billina,
Trot,95,Trot,
Bill,97,Billina,
Cap'n Bill,99,Bill Weedles,
Davy Jones,102,Davy Jones,
Cap'n,104,Cap'n,
Trot,114,Trot,
Bill,116,Billina,
Trot,119,Trot,
Trot,120,Trot,
Trot,122,Trot,
Trot,125,Trot,
Cap'n Bill,126,Bill Weedles,
Cap'n Bill,128,Bill Weedles,
Trot,130,Trot,
Cap'n Bill,131,Bill Weedles,
Cap'n Bill,138,Bill Weedles,
Cap'n Bill,142,Bill Weedles,
Trot,144,Trot,
Trot,149,Trot,
Cap'n Bill,151,Bill Weedles,
Trot,154,Trot,
Cap'n,158,Cap'n,
Cap'n Bill,159,Bill Weedles,
Bill,162,Billina,
Trot,163,Trot,
Cap'n Bill,166,Bill Weedles,
Cap'n Bill,170,Bill Weedles,
S'pose,171,S'pose,
Cap'n,171,Cap'n,
Trot,172,Trot,
Trot,173,Trot,
Trot,181,Trot,
Trot,185,Trot,
Trot,187,Trot,
Cap'n Bill,193,Bill Weedles,
Trot,196,Trot,
Trot,202,Trot,
Cap'n,210,Cap'n,
Bill,211,Billina,
Trot,215,Trot,
Cap'n Bill,219,Bill Weedles,
Flipper,225,Flipper,
Cap'n Bill,234,Bill Weedles,
Ork,234,Orks,
Ork,235,Orks,
Bill,239,Billina,
Ork,239,Orks,
Trot,241,Trot,
Ork,242,Orks,
Cap'n Bill,244,Bill Weedles,
Ork,245,Orks,
Trot,248,Trot,
Cap'n Bill,248,Bill Weedles,
Ork,250,Orks,
Trot,251,Trot,
Ork,253,Orks,
Cap'n Bill,256,Bill Weedles,
Ork,257,Orks,
Trot,258,Trot,
Ork,260,Orks,
Cap'n Bill,260,Bill Weedles,
Ork,260,Orks,
Trot,263,Trot,
Bill,265,Billina,
Trot,267,Trot,
Ork,267,Orks,
Cap'n Bill,271,Bill Weedles,
Trot,272,Trot,
Ork,274,Orks,
Cap'n,275,Cap'n,
Bill,276,Billina,
Ork,281,Orks,
Ork,282,Orks,
Trot,283,Trot,
Ork,284,Orks,
Cap'n Bill,287,Bill Weedles,
Ork,287,Orks,
Ork,288,Orks,
Ork,292,Orks,
Cap'n Bill,293,Bill Weedles,
Ork,295,Orks,
Cap'n Bill,296,Bill Weedles,
Ork,296,Orks,
Trot,299,Trot,
Cap'n Bill,301,Bill Weedles,
Ork,303,Orks,
Trot,304,Trot,
Cap'n Bill,304,Bill Weedles,
Ork,305,Orks,
Trot,307,Trot,
Cap'n Bill,314,Bill Weedles,
Ork,317,Orks,
Ork,322,Orks,
Cap'n Bill,324,Bill Weedles,
Cap'n Bill,326,Bill Weedles,
Ork,327,Orks,
Ork,327,Orks,
Cap'n Bill,329,Bill Weedles,
Ork,330,Orks,
Cap'n Bill,331,Bill Weedles,
Ork,332,Orks,
Cap'n Bill,333,Bill Weedles,
Ork,337,Orks,
Ork,340,Orks,
Ork,341,Orks,
Trot,341,Trot,
Cap'n,341,Cap'n,
Bill,342,Billina,
Ork,343,Orks,
Cap'n Bill,344,Bill Weedles,
Ork,345,Orks,
Trot,345,Trot,
Ork,346,Orks,
Cap'n Bill,349,Bill Weedles,
Trot,350,Trot,
Cap'n Bill,354,Bill Weedles,
Trot,358,Trot,
Ork,362,Orks,
Trot,364,Trot,
Cap'n,364,Cap'n,
Bill,365,Billina,
Ork,366,Orks,
Ork,367,Orks,
Bill,369,Billina,
Ork,369,Orks,
Trot,370,Trot,
Ork,372,Orks,
Trot,374,Trot,
Ork,375,Orks,
Cap'n Bill,377,Bill Weedles,
Ork,382,Orks,
Ork,385,Orks,
Trot,390,Trot,
Cap'n Bill,395,Bill Weedles,
Cap'n Bill,397,Bill Weedles,
Ork,399,Orks,
Cap'n Bill,401,Bill Weedles,
Ork,403,Orks,
Cap'n Bill,405,Bill Weedles,
Cap'n Bill,410,Bill Weedles,
Cap'n,411,Cap'n,
Bill,412,Billina,
Ork,413,Orks,
Cap'n Bill,413,Bill Weedles,
Ork,414,Orks,
Bill,417,Billina,
Ork,421,Orks,
Cap'n,425,Cap'n,
Ork,426,Orks,
Cap'n Bill,428,Bill Weedles,
Cap'n Bill,431,Bill Weedles,
Trot,432,Trot,
Ork,435,Orks,
Trot,438,Trot,
Ork,441,Orks,
Cap'n Bill,444,Bill Weedles,
Ork,445,Orks,
Cap'n Bill,448,Bill Weedles,
Ork,449,Orks,
Trot,451,Trot,
Cap'n Bill,452,Bill Weedles,
Ork,453,Orks,
Cap'n Bill,455,Bill Weedles,
Ork,455,Orks,
Bill,458,Billina,
Ork,458,Orks,
Ork,460,Orks,
Cap'n Bill,461,Bill Weedles,
Ork,462,Orks,
Trot,462,Trot,
Ork,463,Orks,
Trot,466,Trot,
