name,sentence_id,new_name,,
Woot,1,Woot the Wanderer,,
Tin Woodman,1,Tin Woodman,,
Scarecrow of Oz,2,Scarecrow of Oz,,
Woot the Wanderer,8,Woot the Wanderer,,
Tin Woodman,9,Tin Woodman,,
Tin Woodman,9,Tin Woodman,,
Woot,10,Woot the Wanderer,,
Wanderer,10,Woot the Wanderer,,
Woot,11,Woot the Wanderer,,
Woot,18,Woot the Wanderer,,
Wanderer,18,Woot the Wanderer,,
Tin Woodman,19,Tin Woodman,,
Scarecrow,19,Scarecrow Bear,,
Woot,21,Woot the Wanderer,,
Wanderer,21,Woot the Wanderer,,
Tin Woodman,23,Tin Woodman,,
Woot the Wanderer,25,Woot the Wanderer,,
Scarecrow,25,Scarecrow Bear,,
Woot,28,Woot the Wanderer,,
Tin Woodman,32,Tin Woodman,,
Woot,33,Woot the Wanderer,,
Scarecrow,35,Scarecrow Bear,,
Tin Woodman,37,Tin Woodman,,
Scarecrow,39,Scarecrow Bear,,
Wanderer,40,Woot the Wanderer,,
Tin Woodman,45,Tin Woodman,,
Wanderer,47,Woot the Wanderer,,
Scarecrow,49,Scarecrow Bear,,
Tin Woodman,55,Tin Woodman,,
Woot the Wanderer,58,Woot the Wanderer,,
Munchkin,62,Munchkin,,
Woot,62,Woot the Wanderer,,
Nimmie Amee,65,Nimmie Amee,,
Witch,68,Wicked Witch,,
Witch,69,Wicked Witch,,
Nimmie Amee,69,Nimmie Amee,,
Witch,69,Wicked Witch,,
Witch,70,Wicked Witch,,
Woot the Wanderer,71,Woot the Wanderer,,
Witch,73,Wicked Witch,,
Woot,78,Woot the Wanderer,,
Nimmie Amee,81,Nimmie Amee,,
Witch,82,Wicked Witch,,
Nimmie Amee,85,Nimmie Amee,,
Witch,86,Wicked Witch,,
Nimmie Amee,87,Nimmie Amee,,
Woot,89,Woot the Wanderer,,
Wanderer,89,Woot the Wanderer,,
Tin Man,89,Tin Woodman,,
Witch,90,Wicked Witch,,
Nimmie Amee,90,Nimmie Amee,,
Witch,93,Wicked Witch,,
Witch,94,Wicked Witch,,
Nimmie Amee,95,Nimmie Amee,,
Nimmie Amee,99,Nimmie Amee,,
Witch,99,Wicked Witch,,
Nimmie Amee,104,Nimmie Amee,,
Nimmie Amee,105,Nimmie Amee,,
Witch,105,Wicked Witch,,
Wicked Witch,108,Wicked Witch,,
Nimmie Amee,109,Nimmie Amee,,
Nick,110,Emperor of the Winkies,,
Nick Chopper,110,Emperor of the Winkies,,
Tin Woodman,114,Tin Woodman,,
Nimmie Amee,115,Nimmie Amee,,
Woot the Wanderer,116,Woot the Wanderer,,
Nimmie Amee,121,Nimmie Amee,,
Witch,124,Wicked Witch,,
Woot,125,Woot the Wanderer,,
Nimmie Amee,126,Nimmie Amee,,
Dorothy,129,Dorothy the Lamb,,
Scarecrow,129,Scarecrow Bear,,
Dorothy,131,Dorothy the Lamb,,
Wanderer,131,Woot the Wanderer,,
Wicked Witch,133,Wicked Witch,,
Witch,134,Wicked Witch,,
Scarecrow,135,Scarecrow Bear,,
Dorothy,135,Dorothy the Lamb,,
Witch,135,Wicked Witch,,
Tin Woodman,136,Tin Woodman,,
Scarecrow,136,Scarecrow Bear,,
