name,sentence_id,new_name,,
Ann,1,Ann Soforth,,
Ann,3,Ann Soforth,,
Salye,3,Salye,,
Oogaboo,5,Oogaboo,,
Ann,5,Ann Soforth,,
Ozma,9,Royal Ozma,,
Oogaboo,9,Oogaboo,,
Ozma,11,Royal Ozma,,
Oogaboo,12,Oogaboo,,
Jol Jemkiph Soforth,12,Jol Jemkiph Soforth,,
Jol,13,Jol Jemkiph Soforth,,
Oogaboo,13,Oogaboo,,
Ann Soforth,14,Ann Soforth,,
Ann,15,Ann Soforth,,
Ann,16,Ann Soforth,,
Oogaboo,16,Oogaboo,,
Oogaboo,19,Oogaboo,,
Ann,19,Ann Soforth,,
Salye,20,Salye,,
Ann,20,Ann Soforth,,
Salye,22,Salye,,
Ann,23,Ann Soforth,,
Ozma,23,Royal Ozma,,
Ann,25,Ann Soforth,,
Salye,26,Salye,,
Oz,27,of Oz,,
Ann,27,Ann Soforth,,
Ann,29,Ann Soforth,,
Ozma,30,Royal Ozma,,
Oogaboo,31,Oogaboo,,
Ozma,31,Royal Ozma,,
Ozma,32,Royal Ozma,,
Ann,33,Ann Soforth,,
Ozma,33,Royal Ozma,,
Ann,36,Ann Soforth,,
Ozma,39,Royal Ozma,,
Ann,40,Ann Soforth,,
Oogaboo,42,Oogaboo,,
Salye,43,Salye,,
Jo Apple,45,Jo Apple,,
Jo,46,Jo Nails,,
Ann,46,Ann Soforth,,
Jo Apple,47,Jo Apple,,
Oogaboo,49,Oogaboo,,
Ann,49,Ann Soforth,,
Ann,52,Ann Soforth,,
Jo Bunn,55,Jo Bunn,,
Jo,56,Jo Nails,,
Ann,56,Ann Soforth,,
Ann,60,Ann Soforth,,
Jo Cone,64,Jo Cone,,
Jo,65,Jo Nails,,
Ann,65,Ann Soforth,,
Jo Cone,66,Jo Cone,,
Ann,69,Ann Soforth,,
Jo Cone,72,Jo Cone,,
Ann,72,Ann Soforth,,
Jo Clock,72,Jo Clock,,
Ann,73,Ann Soforth,,
Ann,75,Ann Soforth,,
Jo Clock,78,Jo Clock,,
Ann,80,Ann Soforth,,
Jo Plum,81,Jo Plum,,
Jo Egg,81,Jo Egg,,
Jo Banjo,81,Jo Banjo,,
Jo Cheese,81,Jo Cheese,,
Jo Nails,81,Jo Nails,,
Colonels,81,Colonels,,
Oogaboo,81,Oogaboo,,
Jo Nails,82,Jo Nails,,
Jo Cake,82,Jo Cake,,
Jo Ham,82,Jo Ham,,
Jo Stockings,82,Jo Stockings,,
Jo Sandwich,82,Jo Sandwich,,
Jo Padlocks,82,Jo Padlocks,,
Jo Sundae,82,Jo Sundae,,
Jo Buttons,82,Jo Buttons,,
Ann,83,Ann Soforth,,
Oogaboo,84,Oogaboo,,
Lieutenants,84,Lieutenants,,
Colonels,84,Colonels,,
Jo Candy,85,Jo Candy,,
Oogaboo,88,Oogaboo,,
Jo Candy,89,Jo Candy,,
Ann,89,Ann Soforth,,
Oogaboo,89,Oogaboo,,
Jo Files,89,Jo Files,,
Oogaboo,95,Oogaboo,,
Ann,97,Ann Soforth,,
Files,97,Jo Files,,
Colonels,99,Colonels,,
Ann,100,Ann Soforth,,
Ozma,102,Royal Ozma,,
Ozma,103,Royal Ozma,,
Files,103,Jo Files,,
Oogaboo,107,Oogaboo,,
Ann,108,Ann Soforth,,
Files,109,Jo Files,,
Files,112,Jo Files,,
Ann Soforth,113,Ann Soforth,,
Ann,113,Ann Soforth,,
Oogaboo,115,Oogaboo,,
Salye,119,Salye,,
Bunn,121,Jo Bunn,,
Files,124,Jo Files,,
Ann,126,Ann Soforth,,
Salye,129,Salye,,
Colonels,133,Colonels,,
Colonels,134,Colonels,,
Files,135,Jo Files,,
Ann,136,Ann Soforth,,
Ozma,138,Royal Ozma,,
Ruler of Oz,139,Ruler of Oz,,
Ann Soforth,139,Ann Soforth,,
Glinda the Good,140,Glinda the Sorceress,,
Ozma,141,Royal Ozma,,
Glinda,141,Glinda the Sorceress,,
Glinda,143,Glinda the Sorceress,,
