sentence_index,agent,
1,The train from ' Frisco,
1,she,
1,she would,
2,the conductor,
3,a little girl,
3,a little girl,
4,the conductor,
4,the engineer,
4,The train from ' Frisco,
6,he,
7,The little girl,
7,The little girl,
8,she,
8,The she would at Hugson 's Siding,
9,The little girl,
9,The little girl,
10,She,
10,She,
12,She,
14,The buggy,
15,she,
15,she,
16,she,
16,she,
17,a boy,
19,a boy,
19,a boy,
20,she,
20,she,
20,she,
21,a boy,
22,he,
23,I,
24,he,
25,he,
25,he,
26,he,
27,kitten,
29,The boy,
30,The boy,
32,Uncle Henry,
32,Eureka the Pink Kitten,
32,Uncle Henry,
34,She,
34,Uncle Henry,
35,Uncle Henry,
35,Uncle Henry,
35,Uncle Henry,
36,The horse,
37,Dorothy the Lamb,
37,he,
37,he,
38,he,
40,Dorothy the Lamb,
40,he,
40,he,
41,he,
41,he,
42,I,
42,I,
43,Jim the Cab - horse the Cab - horse,
45,I,
45,I,
45,the horse,
45,the horse,
48,We,
48,Dorothy the Lamb,
49,I,
50,we,
50,I,
51,such things,
52,The conductor,
52,The conductor,
54,I,
55,she,
55,the horse,
57,He and Uncle Hugson,
59,she,
60,your,
61,Uncle Hugson,
63,she,
66,me,
66,me,
66,me,
67,Dorothy the Lamb,
67,the Lamb,
68,your,
69,folks,
71,Dorothy the Lamb,
72,Uncle Henry,
72,We,
73,he,
75,I,
76,you,
77,The boy,
77,The boy,
78,The boy,
78,The boy,
78,The boy,
79,her,
81,her,
81,her,
83,Zebediah,
84,that,
86,Zebediah,
86,Zebediah,
86,The horse,
87,the boy,
87,the boy,
88,Neither the boy nor the girl,
90,the animal 's,
92,the wind,
92,sounds,
92,the wind,
93,sound,
94,the horse,
95,Dorothy the Lamb,
95,the boy,
96,The sudden rush into space,
96,the buggy and its occupants,
97,Blackness,
97,them,
97,the earth,
97,the earth,
98,the Lamb,
99,Zebediah,
99,Zebediah,
100,Dorothy the Lamb,
101,The top of the buggy,
101,The top of the buggy,
102,sudden death,
104,their,
104,their,
104,Jim the Cab - horse,
104,a stone,
105,They,
105,by the pressure of the air,
106,Dorothy the Lamb,
107,she,
107,she,
107,she,
108,she,
108,she,
108,she,
108,she,
109,she,
109,she,
109,she,
110,she,
110,she,
110,she,
110,another adventure,
110,she,
111,she,
111,she,
111,she,
112,her,
112,balls,
113,The central and largest one,
115,This splendid group of colored suns,
115,rays,
115,rays,
116,to say much,
116,her,
116,her,
116,her,
117,she,
117,she,
118,she,
120,she,
121,"Zebediah , whose face was blue and whose hair was pink",
122,"Zebediah , whose face was blue and whose hair was pink",
124,they,
125,they,
126,the horse,
126,all the horse 's legs,
126,the horse,
126,the horse,
127,they,
128,your horse,
128,she,
129,your,
130,your horse,
130,your horse,
130,your horse,
131,she,
132,Dorothy the Lamb,
134,the horse,
135,Zebediah,
136,Zebediah,
136,Zebediah,
137,they,
138,The light,
138,they,
138,they,
139,the top of the buggy,
139,rays,
139,they,
140,they,
140,Zebediah,
141,they,
141,you,
142,Dorothy the Lamb,
143,We,
146,the horse,
147,they both,
147,they both,
147,they both,
149,they both,
149,they both,
150,they both,
150,by the variegated lights from the six suns,
152,I,
153,we,
154,Zebediah,
156,we,
156,we,
156,Zebediah,
157,The boy,
157,a speech,
157,both,
158,a big city,
159,both,
160,Jim the Cab - horse the horse,
160,both The boy,
162,Jim the Cab - horse,
162,Zebediah,
162,Zebediah,
163,a pink kitten,
163,a pink kitten,
163,a pink kitten,
164,Dorothy the Lamb 's,
166,Zebediah,
166,Zebediah,
168,this queer light,
169,Eureka the Pink Kitten,
169,Eureka the Pink Kitten,
172,you,
173,you,
174,you,
175,the kitten,
176,you,
177,Animals,
177,Animals,
178,even old Jim the Cab - horse,
178,we,
179,even old Jim the Cab - horse,
179,even old Jim the Cab - horse,
182,I,
182,I,
182,I,
183,one,
184,Dorothy the Lamb,
184,Dorothy the Lamb,
184,Dorothy the Lamb,
185,The roof beside them,
187,Other buildings,
187,these accidents,
188,The rainbow tints from the colored suns,
189,not a sound,
190,the strangers,
190,the strangers,
190,no people,
192,He,
194,the sunbeams,
194,by the solar rays,
195,He,
195,He,
195,He,
196,He,
196,He,
198,"Dorothy the Lamb , who noticed that the beautiful man did not look where the beautiful man was going",
198,the Lamb,
198,the beautiful man,
198,the beautiful man,
199,the beautiful man,
199,Dorothy the Lamb,
199,the beautiful man,
199,he,
200,the beautiful man,
200,the beautiful man,
201,the Lamb,
201,the beautiful man,
201,he,
201,"Dorothy the Lamb , who noticed that the beautiful man did not look where he was going , greatly astonished",
201,"Dorothy the Lamb , who noticed that the beautiful man did not look where he was going , greatly astonished",
201,"Dorothy the Lamb , who noticed that the beautiful man did not look where he was going , greatly astonished",
201,the beautiful man,
202,the beautiful man,
204,she,
204,she,
205,the small voice of the kitten,
205,she,
205,the kitten,
207,she,
208,I,
208,I,
208,I,
208,I,
208,I,
208,I,
208,I,
209,the air,
209,the girl,
210,the girl,
210,I,
211,Dorothy the Lamb,
212,we,
212,Eureka the Pink Kitten,
212,Eureka the Pink Kitten,
212,some one,
212,"Zebediah , who had been even more amazed than Dorothy the Lamb at these strange happenings",
213,we,
213,the girl,
214,Zebediah,
215,Zebediah,
215,Zebediah,
216,Jim the Cab - horse,
216,the girl,
216,the girl,
217,Jim the Cab - horse,
218,I,
219,the girl,
219,we,
220,the Pink Kitten,
221,I,
222,I,
222,the girl,
222,the girl,
222,the girl,
224,You,
224,You,
224,You,
225,You,
225,You,
226,You,
226,little one,
228,you,
228,I,
228,I,
228,I,
229,None of us,
229,you,
230,I,
230,no one,
232,Dorothy the Lamb,
233,Dorothy the Lamb,
234,Dorothy the Lamb,
234,us,
235,the Lamb,
235,Eureka the Pink Kitten,
236,Eureka the Pink Kitten,
237,you,
237,the girl,
238,you,
239,this dreadful adventure,
239,this dreadful adventure,
240,you,
240,the girl,
240,you,
241,the Lamb,
241,you,
241,you,
242,he,
242,he,
243,Dorothy the Lamb,
243,they,
243,the kitten,
244,the boy,
246,Jim the Cab - horse,
246,Jim the Cab - horse,
246,Jim the Cab - horse,
246,Jim the Cab - horse,
246,the others,
247,his,
248,his 's great weight,
248,the children,
248,his,
248,his,
249,Dorothy the Lamb,
249,Dorothy the Lamb,
250,People,
250,People,
250,quite a crowd,
251,the folks,
252,these people 's features,
253,these people,
253,these people,
253,these people,
254,these people,
254,these people,
254,these people,
254,Eureka the Pink Kitten,
255,a man,
255,the group,
256,the others,
256,the others,
257,his,
257,Dorothy the Lamb,
258,"Zebediah , who was a little taller than Dorothy the Lamb",
258,his,
259,"Zebediah , who was a little taller than Dorothy the Lamb",
259,the stones,
259,them,
259,"Zebediah , who was a little taller than Dorothy the Lamb",
261,his,
262,he,
263,I,
263,I.,
263,Dorothy the Lamb,
263,Dorothy the Lamb,
265,he,
266,The Rain of Stones,
266,he,
266,our,
266,you,
267,you,
268,he,
270,you,
270,the,
270,the,
270,the,
270,the Sorcerer,
272,the girl,
273,I,
273,I,
275,I,
275,the girl,
275,the girl,
276,The boy,
276,The boy,
277,Gid - dap Jim the Cab - horse,
277,Gid - dap Jim the Cab - horse,
277,the people of the glass city,
277,the people of the glass city,
278,a big glass palace,
279,a big glass palace,
279,them,
279,Zebediah,
279,the children,
280,the people of the glass city,
280,the people of the glass city,
280,the people of the glass city,
280,them and the man with the star,
281,the man,
282,a cloud of smoke,
282,a cloud of smoke,
284,a strange personage seated upon a glass throne just before Jim the Cab - horse 's nose,
284,a strange personage,
284,a strange personage,
284,the Cab - horse 's nose 's hands,
285,a strange personage seated upon a glass throne just before Jim the Cab - horse 's nose,
285,Dorothy the Lamb,
285,Dorothy the Lamb,
286,The Sorcerers,
286,The Sorcerers,
286,his glance,
287,you,
287,his,
288,you,
288,Dorothy the Lamb,
289,you,
289,the Rain of Stones,
289,the Rain of Stones,
291,the little girl,
292,the Sorcerers,
293,We,
293,Dorothy the Lamb,
294,the Sorcerers,
294,the Sorcerers,
295,We,
295,a Rain of Stones,
295,a Rain of Stones,
297,the man with the star,
297,the man with the star,
297,the Sorcerers,
299,your sorcery,
299,your sorcery,
300,your sorcery,
300,the Sorcerers,
301,I,
304,I.,
308,my 's sorcery,
309,a man,
309,a man,
309,a man,
310,a man,
311,my Prince and all of my Prince 's people,
311,the Prince and all of his people,
312,Dorothy the Lamb and Zebediah,
312,Dorothy the Lamb and Zebediah,
313,an object,
314,an object,
314,star,
314,an object,
316,The throng,
316,an object,
316,The throng,
316,an object,
319,Dorothy the Lamb,
320,A balloon,
320,Dorothy the Lamb,
321,Dorothy the Lamb,
321,the Lamb,
321,a head,
322,a little man,
322,a little man,
322,a little man,
324,Dorothy the Lamb,
325,a little man,
326,a little man,
326,a little man,
326,a little man,
331,Zebediah,
332,you,
334,the man with the star,
334,the wonderful Wizard of Oz,
334,the wonderful Wizard of Oz,
334,the wonderful Wizard of Oz,
335,the wonderful Wizard of Oz,
335,by an earthquake,
336,the wonderful Wizard of Oz,
337,I,
337,I,
337,you,
337,I,
339,you,
340,you,
340,"This child , who is from the crust of the earth , like I",
342,Oz,
344,the Prince,
345,We Mangaboos,
345,one of the most wonderful Sorcerers that ever was picked from a bush,
346,Oz,
347,the Wizard of Oz,
348,Dorothy the Lamb,
348,the Wizard of Oz,
349,the Wizard of Oz,
350,Dorothy the Lamb,
351,Dorothy the Lamb,
351,Dorothy the Lamb,
352,The Wizard of Oz,
352,The Wizard of Oz,
352,The Wizard of Oz,
353,the throng of people,
354,The Wizard of Oz,
354,The Wizard of Oz,
354,The Wizard of Oz,
354,The Wizard of Oz,
356,The Wizard of Oz,
357,He,
357,the Prince,
358,the Prince,
359,the Sorcerers,
360,the Sorcerers,
360,the Prince,
361,another person,
361,another person,
362,the Sorcerers,
363,you,
363,the Sorcerers,
364,the Wizard of Oz,
364,the Wizard of Oz,
365,the Wizard of Oz,
367,the Sorcerers,
368,You,
368,You,
368,the little man,
369,the little man,
370,the little man,
371,the little man,
372,the little man,
372,the little man,
373,I,
373,I,
375,everybody,
376,the Sorcerers,
376,the Sorcerers,
376,you,
376,you,
379,the other,
381,Oz,
382,I,
382,you,
382,I,
382,I.,
382,the little man,
382,the little man,
384,the little man,
385,I,
385,I,
386,me,
386,you,
386,me,
387,me,
387,the tinkling of bells,
388,she,
388,she,
389,The Mangaboo people,
389,The Mangaboo people,
390,me,
390,me,
391,the Wizard of Oz 's,
391,the Wizard of Oz 's,
391,somebody,
392,the Mangaboos,
392,Zebediah,
393,the Wizard of Oz 's,
393,somebody,
394,the assemblage,
395,the Wizard of Oz 's,
396,I,
398,you,
401,I,
401,I,
401,I,
402,me,
402,the Sorcerers,
403,me,
403,me,
403,me,
404,me,
404,me,
405,me,
405,me,
405,me,
405,me,
405,a little white piglet,
405,which,
405,which,
405,which,
406,The people,
406,a little white piglet no bigger than a mouse,
406,which,
406,which,
406,which,
406,The people,
407,The Wizard of Oz,
407,The Wizard of Oz,
407,The Wizard of Oz,
407,The Wizard of Oz,
407,The Wizard of Oz,
407,The Wizard of Oz,
408,The Wizard of Oz,
408,one,
408,one,
408,The Wizard of Oz,
408,one of three piglets in all,
409,The Wizard of Oz,
409,nine tiny piglets,
409,nine tiny piglets,
409,nine tiny piglets,
409,all,
409,nine tiny piglets,
409,nine tiny piglets,
409,all,
410,The Wizard of Oz,
410,The Wizard of Oz,
410,The Wizard of Oz,
411,The Wizard of Oz,
411,The Wizard of Oz,
412,he,
412,he,
414,he,
414,a single one of the creatures he placed underneath,
415,he,
416,he,
416,the silent throng,
416,he,
417,Gwig,
418,GwigOz,
419,Gwig,
420,Gwig,
420,Gwig,
420,Gwig,
421,Gwig,
422,to stop you 's breath,
422,you,
422,you,
424,you,
426,you,
426,you,
426,you,
427,he,
427,he,
427,he,
427,he,
428,he,
428,he,
429,he,
429,he,
429,he,
429,he,
429,he,
429,a mighty stroke,
430,Dorothy the Lamb,
430,the Lamb,
430,the Lamb,
