sentence_index,agent,
0,The wind,
0,The wind,
1,The wind,
1,The wind,
4,The wind,
4,a storm on the ocean,
4,a storm on the ocean,
5,the wind,
5,a ship,
6,the waves,
6,even the sailor - men,
6,even the sailor - men,
6,by the wind,
8,The Captain of the ship,
8,The Captain of the ship,
8,The Captain of the ship,
8,his passengers,
8,The Captain of the ship,
8,The Captain of the ship,
8,his passengers,
9,a little Kansas girl named Dorothy the Lamb,
9,a little Kansas girl named Dorothy the Lamb,
9,who,
9,they,
9,who,
9,they,
10,you,
10,Uncle Uncle Henry,
10,Uncle Uncle Henry 's health,
10,Uncle Uncle Henry 's health,
11,Uncle Uncle Henry,
11,Uncle Uncle Henry,
11,Uncle Uncle Henry,
11,Aunt Them,
11,Uncle Uncle Henry,
11,Uncle Uncle Henry,
11,Uncle Uncle Henry,
11,Uncle Uncle Henry,
12,Dorothy the Lamb,
12,Uncle Uncle Henry,
12,Dorothy the Lamb,
12,Dorothy the Lamb,
12,Uncle Uncle Henry,
12,Uncle Uncle Henry,
13,by a cyclone,
13,Dorothy the Lamb,
13,Dorothy the Lamb,
14,the wind,
14,the wind,
14,the waves,
14,Dorothy the Lamb,
15,she,
15,we,
16,the Captain,
17,No one,
17,No one,
17,we,
17,we,
17,we,
17,we,
17,we,
17,we,
18,to find that Uncle Henry was missing,
18,she,
19,she,
19,Uncle Henry,
19,she,
19,she,
19,she,
21,he,
21,the Lamb,
22,Dorothy the Lamb,
22,Aunt Them,
22,Dorothy the Lamb,
22,the Lamb,
22,the Lamb,
22,the Lamb,
23,Dorothy the Lamb,
23,the Lamb,
23,the Lamb,
23,the wind,
24,Dorothy the Lamb,
24,Dorothy the Lamb,
24,Dorothy the Lamb,
24,Dorothy the Lamb,
24,Dorothy the Lamb,
24,a man,
25,her,
27,the wind,
27,her,
27,This,
28,her,
28,her,
28,her,
29,her,
29,her,
29,her,
29,her dared to resist the wind 's power,
30,it,
30,the ropes,
30,it,
30,the Lamb,
31,the big waves,
31,the big waves,
31,crest,
32,Dorothy the Lamb,
32,Dorothy the Lamb,
33,Dorothy the Lamb,
33,the Lamb,
33,the Lamb,
33,the wind,
33,by the wind,
33,the poor chickens,
34,the Lamb,
34,the Lamb,
34,slats,
35,her,
35,her,
35,her,
35,her,
35,the firm wooden bottom of the coop,
36,her,
37,at her 's sudden change of condition,
37,the coop,
37,"the coop , which supported her easily enough",
37,her,
39,no one on board,
39,no one on board,
40,the coop,
40,her,
40,the ship,
41,her,
41,her,
41,her,
41,her,
42,her,
42,nothing,
42,a miserable wooden hen - coop,
42,a miserable wooden hen - coop,
42,the water,
43,her,
44,I,
45,she,
46,she,
47,she,
48,the night,
49,the wind,
49,the wind,
49,the wind,
49,the waves,
50,I,
50,I,
50,Dorothy the Lamb,
51,Many children,
51,Many children,
51,Dorothy the Lamb,
52,Dorothy the Lamb,
52,I,
52,Dorothy the Lamb,
52,Dorothy the Lamb,
52,Dorothy the Lamb,
53,the black clouds,
53,little stars,
53,Dorothy the Lamb,
54,The coop,
54,The coop,
54,a cradle,
55,the little girl,
55,the little girl,
55,the best thing,
55,the little girl,
56,the little girl,
56,the little girl,
57,the little girl,
57,the little girl,
57,the little girl,
58,A strange noise,
58,Dorothy the Lamb,
58,who,
59,the little girl,
59,the little girl,
59,the little girl,
59,the little girl,
61,the strange noise,
62,the strange noise,
62,a hen,
63,her 's wide - open eyes,
64,her,
65,Dorothy the Lamb,
65,Dorothy the Lamb,
66,Dorothy the Lamb,
66,"a small , but sharp and distinct voice",
66,the Lamb Dorothy the Lamb,
66,the Lamb Dorothy the Lamb,
68,Dorothy the Lamb,
70,I,
70,I,
72,Dorothy the Lamb,
72,Dorothy the Lamb,
73,I,
75,The sun,
75,The sun,
75,The sun,
75,my,
75,my,
76,my,
76,my,
77,your,
77,your,
77,your,
78,your,
79,I,
80,the yellow hen,
80,the yellow hen,
80,the yellow hen,
80,the yellow hen,
80,the yellow hen,
81,I,
81,the most natural thing in the world,
82,the yellow hen,
82,the yellow hen,
84,Dorothy the Lamb,
85,Dorothy the Lamb,
85,many of the animals,
87,"my ,",
88,my,
89,Dorothy the Lamb,
89,Dorothy the Lamb,
90,Dorothy the Lamb,
90,Dorothy the Lamb,
90,one,
91,The red rooster,
91,Dorothy the Lamb,
92,Dorothy the Lamb,
92,Dorothy the Lamb,
94,You,
94,my,
95,my,
95,You,
96,my,
97,my,
97,my,
98,You,
99,you,
100,you,
100,you,
102,your,
