sentence_index,agent,
0,The Prince of Pingaree,
0,The Prince of Pingaree,
0,the great Nonestic Ocean,
2,The people,
2,The people,
3,The Prince of Pingaree,
5,trees,
6,shores,
6,the beautiful trees,
6,the beautiful trees,
6,the branches,
8,The canopy of leaves,
8,the branches,
8,the cosy houses of the inhabitants,
12,the people,
12,the people,
12,the people,
13,the King,
13,King Rinkitink 's palace,
13,a lighthouse,
14,by King Rinkitink 's treasurer,
14,six of his boats,
14,the people and the royal family of Pingaree,
15,The Pingaree people,
15,few other lands,
16,the inhabitants,
17,by a fierce and warlike people,
18,by a fierce and warlike people Coregos,
18,Coregos,
18,Coregos,
19,ten big boatloads of those fierce warriors of Regos and Coregos,
19,ten big boatloads of those fierce warriors of Regos and Coregos,
19,ten big boatloads of those fierce warriors of Regos and Coregos,
19,The Pingaree people,
19,The Pingaree people,
19,a great storm,
19,a great storm,
20,the pearl - fishers of Pingaree,
21,the pearl - fishers of Pingaree,
22,King King Kitticut,
23,King King Kitticut,
23,his enemies,
24,This anxiety on the part of King King Kitticut,
24,King King Kitticut,
24,of King King Kitticut 's men,
24,King King Kitticut,
25,He,
29,Prince Inga,
30,He,
30,He,
31,He,
31,He,
32,the state of civilization,
32,his father,
33,his father,
34,He,
34,He,
34,He,
34,by the canopy of leaves,
35,no one,
35,him,
36,King King Kitticut,
36,King King Kitticut,
37,King King Kitticut,
37,King King Kitticut,
38,King King Kitticut,
38,King King Kitticut,
38,King King Kitticut,
39,those terrible people of Regos and Coregos,
39,Our,
39,the sea,
40,we,
40,my people,
40,the warriors,
41,my,
42,my,
43,my,
44,my,
44,my,
45,I,
45,I,
45,I,
46,I,
46,I,
46,I,
46,I,
48,I,
49,I,
49,I,
49,I,
50,the King,
50,the King,
51,the King,
51,the King,
51,the King,
51,a silken bag,
52,One,
53,the King,
53,the King,
53,the world,
54,one of my ancestors,
54,one of my ancestors,
54,he,
54,he,
55,she,
56,Each of these pearls,
56,whoever is these pearls 's owner,
57,This one,
57,This one having the blue tint,
57,the person,
57,This one,
57,no power,
57,the person,
58,The one with the pink glow,
58,all dangers,
58,all dangers,
59,The third pearl -- this one of pure white,
59,The third pearl -- this one of pure white --,
60,"my , amazed",
60,my father,
60,a pearl,
62,my father,
63,my,
63,my father,
64,my father,
64,my,
64,a small voice,
65,you,
66,you,
66,you,
66,you,
67,your,
68,the other pearls,
68,the world,
69,you,
69,you,
69,you,
70,my father,
71,my father,
71,my father,
71,my father,
72,my father,
73,my father 's watchmen,
73,my father 's watchmen,
73,our enemies,
73,my father,
73,my father,
74,my father,
75,My father,
75,you,
75,the blue pearl,
75,My father and My father 's people,
76,My,
76,storm,
76,by the fairy mermaids,
76,My,
77,you,
77,we,
77,we,
77,you,
77,you,
78,the magic pearls,
79,My father,
80,you,
80,you,
80,My father,
81,I,
84,your,
84,your,
85,I,
85,your,
85,your,
86,the trees,
86,"the Royal Watchman , whose duty it was to patrol the shore",
87,King Rinkitink,
87,King Rinkitink,
87,one boat,
87,King Rinkitink,
87,King Rinkitink,
87,King Rinkitink,
88,Prince Prince Inga,
89,they all,
90,they all,
91,"by twenty men , ten on each side",
92,Prince Inga,
94,a little man who was so very fat that he was nearly as broad as he was high,
94,he,
94,those,
94,who,
94,a little man,
94,a little man,
94,a little man who was so very fat that he was nearly as broad,
