sentence_index,agent,
0,the shaggy man,
0,the shaggy man,
1,miss,
3,miss,
3,miss,
5,You,
5,You,
5,You,
5,You,
5,me,
5,You,
6,me,
6,You,
6,any of the five branches,
7,You,
8,Dorothy the Lamb,
9,the Lamb,
10,I,
10,I,
12,I,
12,I,
14,I,
14,I,
14,I,
15,A little black dog with bright brown eyes,
15,A little black dog with bright brown eyes,
15,the shaggy man,
15,the shaggy man,
15,the shaggy man,
15,the shaggy man,
16,A little black dog with bright brown eyes,
16,A little black dog with bright brown eyes,
16,the shaggy man,
16,the shaggy man,
16,the shaggy man,
16,the shaggy man,
16,"the shaggy man , who had already picked up three apples and put them in one of the big wide pockets of his shaggy coat",
16,"the shaggy man , who had already picked up three apples and put them in one of the big wide pockets of his shaggy coat",
17,the shaggy man,
17,the shaggy man,
17,"the shaggy man , who had already picked up three apples and put them in one of the big wide pockets of his shaggy coat",
17,the shaggy man,
17,the shaggy man,
17,"each one that the shaggy man , who had already picked up three apples and put them in one of the big wide pockets of his shaggy coat tossed into one of the big wide pockets of his shaggy coat",
17,"each one that the shaggy man , who had already picked up three apples and put them in one of the big wide pockets of his shaggy coat tossed into one of the big wide pockets of his shaggy coat",
19,the Lamb,
19,the shaggy man,
19,the shaggy man,
19,the shaggy,
19,the shaggy,
19,the shaggy man,
19,the shaggy man,
19,the shaggy man,
19,the shaggy man,
19,"the shaggy man , who had already picked up three apples and put them in one of the big wide pockets of his shaggy coat",
19,Dorothy the Lamb,
19,the shaggy man,
19,the shaggy man,
20,She,
20,he,
20,he,
20,he,
20,he,
21,She,
23,my whiskers,
23,he,
24,She,
25,Dorothy the Lamb,
25,the Lamb,
26,it,
26,it,
26,Uncle Uncle Henry,
26,that,
26,Shaggy Man,
27,Shaggy Man,
29,Dorothy the Lamb,
29,Dorothy the Lamb,
29,Dorothy the Lamb,
30,I,
31,everyone,
31,miss,
31,miss,
31,miss,
31,miss b'lieve miss,
32,I,
32,miss,
33,miss,
33,miss,
33,miss,
36,us,
37,he,
37,he,
38,Toto,
38,Toto,
38,he,
38,he,
39,Dorothy the Lamb,
40,She,
40,She,
41,She,
42,She,
43,five roads,
43,She,
43,She,
44,Shaggy Man,
44,Shaggy Man,
46,she,
46,you,
47,you,
48,you,
48,she,
48,you,
48,you,
54,This answer,
54,This answer,
54,the little girl,
54,the little girl,
54,the little girl,
55,the shaggy man,
56,a person,
57,the little girl,
58,the little girl,
59,She,
59,She,
59,She,
59,She,
60,them,
60,She,
60,She,
60,She,
62,She,
64,Shaggy Man,
66,I,
66,I,
67,I,
69,you,
69,the shaggy man,
70,folks,
71,He,
71,He,
71,Toto,
72,Toto,
72,Toto,
73,it,
75,Dorothy the Lamb,
76,I,
76,I.,
77,she,
78,no one,
79,I,
79,I,
79,I,
79,I,
79,I,
80,him,
80,him,
81,the child,
81,the child,
81,the child,
81,they,
82,her,
83,her,
84,her,
84,her,
85,her,
85,her,
85,her,
85,her,
85,tell,
85,tell,
85,her,
86,I,
87,Shaggy Man,
87,Shaggy Man,
87,Shaggy Man,
87,Shaggy Man,
88,Each of these roads,
90,I,
90,I,
90,I,
91,you,
92,you,
92,you,
93,you,
93,you,
94,you,
94,you,
96,I,
98,I,
98,him,
98,him,
98,I,
99,the shaggy man,
99,the shaggy man,
100,her,
100,her,
101,her,
101,the shaggy man,
102,her,
103,the shaggy man,
103,the shaggy man,
104,Dogs,
104,your dog,
105,"your dog , your dog",
105,Dorothy the Lamb,
106,your dog,
107,Dorothy the Lamb,
107,us,
108,your dog,
108,your dog,
110,Shaggy Man,
110,Shaggy Man,
111,Dorothy the Lamb,
111,Dorothy the Lamb,
111,Dorothy the Lamb,
112,Toto,
113,Toto,
114,He,
114,He,
114,He,
114,He,
114,they,
115,He,
115,He,
115,He,
115,He,
115,the way,
116,Dorothy the Lamb,
116,He,
116,He,
118,Dorothy the Lamb,
118,Dorothy the Lamb,
119,an experience,
120,her 's folks,
120,the shaggy man,
120,the shaggy man,
122,Uncle Henry,
123,Uncle Henry,
123,Uncle Henry,
124,I,
124,I,
125,you,
126,nothing,
126,you,
129,his,
129,his,
130,she,
131,a man,
131,a man,
131,his,
131,a man,
131,a man,
131,a man,
132,his,
133,she,
134,the shaggy man,
134,Money,
135,the shaggy man,
136,the shaggy man,
136,people,
136,the shaggy man,
136,the shaggy man,
136,everyone the shaggy man meet,
139,I,
139,you,
139,I,
140,you,
141,I,
142,I,
142,I,
143,He,
143,He,
143,He,
145,He,
146,by an Eskimo in the Sandwich Islands -- where there are no sandwiches at all --,
146,He,
146,thing,
146,He,
146,every living thing He meet,
146,every living thing He meet,
147,an Eskimo in the Sandwich Islands -- where there are no sandwiches at all,
148,my dear,
148,my dear,
149,He,
149,some one,
150,He,
150,a grizzly bear,
151,she,
152,He,
152,me,
152,me,
152,me,
153,me,
154,you,
154,Dorothy the Lamb,
155,we,
156,the bear,
156,you,
157,you,
157,the bear,
158,Dorothy the Lamb,
158,you,
158,a Hungry Tiger,
158,who,
158,a Hungry Tiger,
158,who,
158,a Hungry Tiger,
158,who,
158,a Hungry Tiger who longed to eat fat babies,
158,a Hungry Tiger,
158,who,
158,a Hungry Tiger who longed to eat fat babies,
159,the shaggy man,
159,This bear,
159,you,
160,the shaggy man,
160,Toto,
161,Toto,
162,the shaggy man,
163,your,
163,your,
163,we,
164,you,
165,We,
165,he,
167,you,
167,you,
168,she,
168,the seventh road,
168,he,
168,he,
169,The seventh road,
170,they,
170,creature,
171,Dorothy the Lamb,
171,they,
171,it,
171,the other roads all,
171,they,
171,the next one they chose,
172,Dorothy the Lamb,
172,the shaggy man,
172,who,
172,they,
172,they,
172,a big chestnut tree,
173,a little boy dressed in sailor clothes,
174,He,
176,Dorothy the Lamb,
177,He,
180,she,
183,she,
185,he,
185,he,
188,he,
191,I,
191,I,
191,I,
191,I,
192,Papa,
192,your mama,
192,I,
195,the shaggy man,
195,the shaggy man,
196,We,
196,the boy 's mama,
198,Dorothy the Lamb,
198,the boy,
199,you,
200,she,
202,you,
203,you,
203,you,
204,she,
206,the boy,
206,she,
207,the boy,
208,she,
208,she,
209,she,
210,the boy,
211,the boy,
211,she,
212,the boy,
212,the boy,
213,the boy,
214,I,
215,she,
216,she,
217,I,
218,she,
219,she,
220,I,
221,I,
221,I,
221,I,
222,The shaggy man,
223,No one,
223,The shaggy man,
224,Button - Bright,
224,I,
226,He,
226,He is head,
226,head,
226,He,
227,Dorothy the Lamb,
227,anyone,
228,people,
229,someone,
229,someone,
229,someone,
229,He,
231,she,
233,the broad collar of His 's blouse,
234,The boy,
235,she,
236,Button - Bright,
237,I,
238,Button - Bright,
239,Button - Bright,
239,I.,
239,I,
239,Button - Bright,
240,you,
240,you,
242,Dorothy the Lamb,
243,you,
246,her,
246,her,
247,you,
247,her,
248,"the shaggy man , who had been eating another apple",
248,the shaggy man,
248,someone,
248,someone,
248,her,
250,Toto,
250,he,
250,Toto,
251,Toto,
251,Toto,
251,Toto,
251,the boy,
251,Toto,
253,Dorothy the Lamb,
253,Dorothy the Lamb,
253,Dorothy the Lamb,
255,she,
257,Toto,
257,Toto,
257,Toto,
257,Toto,
257,Toto,
258,the shaggy man,
258,us,
259,you,
259,Dorothy the Lamb,
261,you,
262,you,
262,every road,
262,we,
263,we,
263,we,
264,Dorothy the Lamb,
265,Button - Bright,
265,Shaggy Man,
265,you,
265,Button - Bright,
266,They,
266,They,
266,you,
267,Button - Bright,
268,the Lamb,
268,the Lamb,
268,the Lamb,
268,Toto,
269,the shaggy man,
270,they,
270,a fine big arch,
270,they,
270,a fine big arch,
271,a fine big arch,
272,a large fox 's,
272,expression,
272,a large fox 's,
273,they,
273,a fine big arch,
273,a fine big arch spanning the road there,
273,a fine big arch,
274,They,
276,a wooden sword,
276,the sight of sharp teeth set in a row,
277,A captain,
278,our friends,
278,A captain,
280,Button - Bright,
281,the fox - captain,
281,the fox - captain,
282,Button - Bright,
283,the fox - captain,
284,That,
284,the shaggy man,
284,the shaggy man,
284,the shaggy man,
286,captain,
286,captain 's sharp features,
287,captain,
287,Dorothy the Lamb,
287,the Love Magnet,
287,all the foxes,
288,Toto,
288,Toto,
288,Toto,
288,Toto,
288,Toto,
289,the little girl,
289,the little girl,
291,Toto,
292,Toto,
293,You,
295,the great and wise sovereign,
296,You,
298,the captain,
298,the captain,
299,Button - Bright,
299,Button - Bright,
304,The soldiers,
305,friends,
307,a head,
307,the fox,
308,our friends,
308,some of the foxes,
309,the foxes,
310,Button - Bright,
310,Button - Bright,
310,the shaggy man,
311,Toto,
311,Toto,
311,Toto,
311,Toto,
311,Toto,
311,Dorothy the Lamb,
311,Dorothy the Lamb,
311,Toto,
312,Toto,
314,Dorothy the Lamb,
314,the royal palace,
314,the Lamb,
314,the only one,
315,many fox - soldiers,
315,many fox - soldiers,
315,many fox - soldiers guarding the door,
315,many fox - soldiers guarding the door,
316,the captain,
316,richly dressed foxes,
316,by fox - servants in white aprons,
319,The fox - captain,
319,The fox - captain,
319,a huge drum,
320,You,
320,The fox - captain,
320,The fox - captain,
320,The fox - captain,
320,Button - Bright,
321,The boy,
321,The boy,
321,The boy,
321,The boy,
321,The fox - captain,
322,The boy,
322,The boy,
322,Dorothy the Lamb,
322,the Lamb,
322,Dorothy the Lamb,
322,Dorothy the Lamb,
322,The fox - captain,
323,The golden curtains,
324,the captain with the others,
325,they,
325,other foxes,
325,all of whom,
326,Dorothy the Lamb,
326,Dorothy the Lamb,
327,Dorothy the Lamb,
327,Dorothy the Lamb,
327,Dorothy the Lamb,
327,Dorothy the Lamb,
328,The shaggy man,
328,Button - Bright,
328,Button - Bright,
329,the captain,
329,the captain,
329,the captain,
329,the captain,
329,the captain,
329,the road,
329,the captain,
330,the King,
330,the King,
331,What,
331,it,
331,The shaggy man,
333,the shaggy man,
334,The King,
334,the Magnet,
334,The King,
335,The King,
335,The King,
335,The King,
335,The King,
335,The King,
336,We,
336,We,
336,"We , The King",
336,We,
336,little Dorothy the Lamb 's,
338,This speech,
338,the little girl,
338,your Majesty,
339,everybody,
339,your Majesty,
340,my realize,
341,Princess Royal Ozma of Oz,
342,your Majesty,
343,my,
343,my,
344,I,
344,I,
344,I,
344,I,
344,I,
345,You,
345,her,
346,You,
347,You,
348,I,
348,You,
348,You,
349,Dorothy the Lamb,
350,Royal Ozma,
350,Dorothy the Lamb,
350,Dorothy the Lamb,
