sentence_index,agent,,,,,
0,me,,,,,
0,me,,,,,
0,we,,,,,
0,we,,,,,
0,we,,,,,
1,Trot,,,,,
1,Trot,,,,,
2,we,,,,,
3,the old sailor - man,,,,,
3,it,,,,,
3,the old sailor - man,,,,,
3,the old sailor - man,,,,,
3,those as knows the least,,,,,
3,those,,,,,
3,those as,,,,,
3,them,,,,,
4,ones,,,,,
4,the knowing ones,,,,,
5,Trot,,,,,
8,Billina,,,,,
8,She,,,,,
12,his 's eyes,,,,,
14,the sailor,,,,,
15,he,,,,,
15,he wore,,,,,
15,with,,,,,
15,he,,,,,
16,he,,,,,
16,The loss of The wooden leg he wore,,,,,
16,he,,,,,
16,he,,,,,
16,The wooden leg he wore,,,,,
16,he,,,,,
17,he,,,,,
17,he,,,,,
17,The wooden leg he wore,,,,,
17,he,,,,,
18,he,,,,,
18,The wooden leg he wore,,,,,
18,The wooden leg he wore,,,,,
18,he,,,,,
18,he,,,,,
18,Trot,,,,,
18,Trot,,,,,
18,Trot,,,,,
18,he,,,,,
18,Trot and The wooden leg he wore,,,,,
19,the fairies,,,,,
19,Trot 's,,,,,
19,Trot 's,,,,,
20,a path,,,,,
21,Bill Weedles and Trot,,,,,
22,Bill Weedles and Trot,,,,,
22,Bill Weedles and Trot,,,,,
22,the waves,,,,,
23,the waves,,,,,
23,both Trot 's and the sailor,,,,,
23,who,,,,,
23,the waves,,,,,
24,I,,,,,
24,I,,,,,
24,us,,,,,
25,Cap'n,,,,,
26,Cap'n,,,,,
27,Cap'n,,,,,
27,Cap'n,,,,,
29,she,,,,,
32,any sailor,,,,,
33,I,,,,,
33,I.,,,,,
33,we,,,,,
34,He,,,,,
34,He,,,,,
35,we,,,,,
35,He,,,,,
35,He,,,,,
35,He,,,,,
37,they,,,,,
38,the girl,,,,,
38,the girl,,,,,
38,Bill Weedles,,,,,
38,Bill Weedles,,,,,
39,Bill Weedles,,,,,
39,to climb up hill or down,,,,,
40,they,,,,,
40,Trot,,,,,
40,Cap'n Billina,,,,,
40,Cap'n Billina,,,,,
40,Cap'n Billina,,,,,
41,the old sailor,,,,,
41,the old sailor,,,,,
41,the pockets,,,,,
41,"objects , useful and ornamental",,,,,
41,the old sailor,,,,,
43,she,,,,,
44,Bill Weedles 's,,,,,
44,even Trot,,,,,
44,even Trot,,,,,
44,the matches,,,,,
45,The sailor,,,,,
45,The sailor,,,,,
47,they,,,,,
47,the boat,,,,,
48,Trot,,,,,
49,Trot,,,,,
49,Trot,,,,,
49,Trot,,,,,
50,he,,,,,
50,Trot,,,,,
51,What,,,,,
51,A whirl in the air,,,,,
52,we,,,,,
53,Things,,,,,
55,the girl,,,,,
56,The old man,,,,,
56,The old man,,,,,
56,The old man,,,,,
57,The old man,,,,,
59,Trot,,,,,
59,Trot,,,,,
59,Trot,,,,,
59,Trot,,,,,
59,a word,,,,,
60,The swirl of the water,,,,,
61,the whirlpool,,,,,
62,they,,,,,
62,the old sailor,,,,,
62,the old sailor,,,,,
62,Trot and Bill Weedles,,,,,
63,the old sailor,,,,,
63,the old sailor,,,,,
63,the old sailor,,,,,
64,the old sailor,,,,,
64,the left oar,,,,,
66,Billina,,,,,
66,Billina,,,,,
67,Billina,,,,,
68,the boat,,,,,
69,Trot,,,,,
70,He,,,,,
70,He,,,,,
70,the roar of the waters,,,,,
71,These two faithful comrades,,,,,
71,that,,,,,
72,Cap'n Billina,,,,,
72,Cap'n Billina,,,,,
72,Cap'n Billina,,,,,
73,The great hole in the dark water -- now growing nearer and nearer,,,,,
73,These two faithful comrades,,,,,
74,the boat,,,,,
74,the boat,,,,,
75,the sailor and Trot,,,,,
76,unseen arms,,,,,
76,unseen arms,,,,,
77,Trot,,,,,
77,the water,,,,,
77,the sailor and the girl,,,,,
77,the sailor and the girl,,,,,
78,it,,,,,
80,I,,,,,
80,they,,,,,
80,they,,,,,
80,they,,,,,
83,she,,,,,
83,she,,,,,
84,"A soft , bluish - green glow",,,,,
85,a pool,,,,,
85,a pool,,,,,
86,a pool,,,,,
86,light,,,,,
86,the glowing light from the water,,,,,
87,a pool,,,,,
87,the pool of water at their feet -- a pool which doubtless led into the big ocean that fed it,,,,,
87,she,,,,,
87,she,,,,,
88,Cap'n Billina,,,,,
88,Cap'n Billina,,,,,
88,Cap'n Billina,,,,,
89,Billina,,,,,
90,a wetting,,,,,
91,her,,,,,
91,her,,,,,
91,her,,,,,
91,her,,,,,
92,Cap'n Billina,,,,,
93,he,,,,,
93,he,,,,,
94,We,,,,,
95,he,,,,,
96,Trot,,,,,
98,He,,,,,
98,He,,,,,
98,He,,,,,
98,He,,,,,
98,He,,,,,
99,d'ye,,,,,
100,He,,,,,
102,He,,,,,
103,he,,,,,
103,he,,,,,
104,we,,,,,
104,you,,,,,
106,Trot,,,,,
107,Trot,,,,,
107,we,,,,,
107,we,,,,,
108,Cap'n Billina,,,,,
108,Cap'n Billina,,,,,
109,Cap'n Billina,,,,,
112,Billina,,,,,
113,Trot,,,,,
113,his pipe,,,,,
114,Billina,,,,,
115,his pipe,,,,,
115,his pipe,,,,,
116,The sand,,,,,
117,Trot,,,,,
117,Trot,,,,,
118,they,,,,,
118,they,,,,,
118,they,,,,,
119,they,,,,,
120,Trot,,,,,
121,Bill Weedles,,,,,
122,the girl,,,,,
122,we,,,,,
122,we,,,,,
122,we,,,,,
122,we,,,,,
123,Bill Weedles,,,,,
123,Bill Weedles,,,,,
125,the girl,,,,,
126,she,,,,,
127,she,,,,,
128,they,,,,,
128,she,,,,,
129,the sailor 's,,,,,
131,Trot,,,,,
131,Trot,,,,,
131,That,,,,,
132,Bill Weedles,,,,,
133,Trot,,,,,
133,us,,,,,
133,Bill Weedles,,,,,
134,us,,,,,
135,the dark hole--,,,,,
136,she,,,,,
137,Bill Weedles,,,,,
137,Bill Weedles,,,,,
137,Bill Weedles,,,,,
138,Bill Weedles,,,,,
139,Trot,,,,,
139,Bill Weedles,,,,,
140,Bill Weedles,,,,,
140,Bill Weedles,,,,,
141,Two or three small crabs,,,,,
141,Two or three small crabs,,,,,
141,the old sailor,,,,,
141,the old sailor,,,,,
142,the old sailor,,,,,
142,the old sailor,,,,,
142,the old sailor,,,,,
142,the old sailor,,,,,
142,the old sailor,,,,,
143,the old sailor,,,,,
143,the old sailor,,,,,
144,Trot,,,,,
144,the old sailor,,,,,
145,Trot,,,,,
145,they,,,,,
147,Bill Weedles,,,,,
148,Bill Weedles,,,,,
148,Bill Weedles,,,,,
149,Trot,,,,,
151,They,,,,,
152,by a splash beside the little girl and a grunt of satisfaction from Cap'n Bill,,,,,
153,the little girl,,,,,
153,the little girl,,,,,
154,Bill,,,,,
155,the little girl,,,,,
155,the little girl,,,,,
155,Cap'n Bill,,,,,
155,Cap'n Bill,,,,,
156,They,,,,,
157,Cap'n Billina,,,,,
157,Cap'n Billina,,,,,
157,Cap'n Billina,,,,,
158,Cap'n Billina,,,,,
158,Cap'n Billina,,,,,
158,bed,,,,,
159,they,,,,,
159,bed,,,,,
159,they,,,,,
159,they,,,,,
159,more seaweed,,,,,
160,Cap'n Billina,,,,,
160,Cap'n Billina,,,,,
160,Cap'n Billina,,,,,
160,bed,,,,,
160,Cap'n Billina,,,,,
161,both Trot and Bill Weedles,,,,,
162,the fish,,,,,
163,The soft glow,,,,,
163,both Trot and Bill Weedles,,,,,
163,and Bill Weedles,,,,,
163,and Bill Weedles,,,,,
164,the sailor,,,,,
164,the sailor,,,,,
164,the cap,,,,,
165,Trot,,,,,
165,Trot,,,,,
165,Trot,,,,,
165,Bill Weedles,,,,,
166,she,,,,,
166,she,,,,,
166,seaweed fire,,,,,
166,she,,,,,
166,we,,,,,
166,we,,,,,
166,S'pose,,,,,
167,Both of them,,,,,
167,Trot,,,,,
167,S'pose,,,,,
167,S'pose,,,,,
168,S'pose,,,,,
171,the old sailor,,,,,
172,nothing,,,,,
174,them,,,,,
174,them,,,,,
174,by a sudden splash in the pool,,,,,
175,them,,,,,
175,the most curious creature,,,,,
175,either of them,,,,,
176,Trot,,,,,
177,It,,,,,
178,It,,,,,
179,It,,,,,
180,It,,,,,
180,It,,,,,
180,both Trot and Trot 's companion,,,,,
181,The eyes,,,,,
181,The Ork them 's,,,,,
181,The Ork them 's,,,,,
182,I,,,,,
182,I,,,,,
183,The Ork,,,,,
185,the girl,,,,,
187,I,,,,,
187,I,,,,,
188,Bill Weedles,,,,,
188,Bill Weedles,,,,,
188,I,,,,,
189,I,,,,,
190,The whirlpool,,,,,
190,Trot,,,,,
191,me,,,,,
192,me,,,,,
192,me,,,,,
192,Trot,,,,,
192,Trot 's desire to talk,,,,,
192,me,,,,,
193,me,,,,,
193,me,,,,,
194,me,,,,,
194,the suction of the air,,,,,
195,it,,,,,
195,a bevy of pretty mermaids,,,,,
195,a bevy of pretty mermaids,,,,,
195,Trot,,,,,
196,they,,,,,
197,I,,,,,
197,I,,,,,
197,I,,,,,
198,I,,,,,
198,I,,,,,
199,The rocks,,,,,
199,my,,,,,
199,my,,,,,
200,you,,,,,
200,you,,,,,
204,Billina,,,,,
204,Billina,,,,,
205,The Ork,,,,,
205,The Ork,,,,,
205,The Ork,,,,,
205,a parrot,,,,,
206,We,,,,,
206,Billina,,,,,
206,We,,,,,
207,The Ork,,,,,
207,The Ork,,,,,
207,they all,,,,,
208,Trot,,,,,
208,Trot,,,,,
208,Trot,,,,,
210,you,,,,,
211,things,,,,,
212,Bill Weedles,,,,,
215,I,,,,,
216,You,,,,,
216,I,,,,,
216,all the rest of I 's race,,,,,
217,I,,,,,
217,father,,,,,
218,father,,,,,
218,father,,,,,
218,"queer two - legged creatures called Men , who war upon all other living things and would have little respect for even an Ork",,,,,
218,queer two - legged creatures called Men,,,,,
218,things,,,,,
218,queer two - legged creatures called Men,,,,,
218,queer two - legged creatures called Men,,,,,
219,This,,,,,
219,my,,,,,
219,my,,,,,
219,my,,,,,
220,my left home,,,,,
223,my,,,,,
223,my,,,,,
223,"gigantic birds , with fluffy feathers all over gigantic birds , with fluffy feathers all over them",,,,,
223,which,,,,,
224,it,,,,,
224,me,,,,,
225,me,,,,,
225,me,,,,,
225,me,,,,,
225,me,,,,,
225,me,,,,,
226,me,,,,,
226,me,,,,,
226,me,,,,,
227,Trot and Bill Weedles,,,,,
227,Trot,,,,,
227,Trot,,,,,
227,Bill Weedles,,,,,
227,Bill Weedles,,,,,
228,the Orks,,,,,
230,the propellers,,,,,
231,Billina,,,,,
231,he,,,,,
231,he,,,,,
231,he,,,,,
233,Trot,,,,,
234,Your,,,,,
234,Your wings,,,,,
234,Your wings,,,,,
235,Trot,,,,,
236,Trot,,,,,
236,Trot,,,,,
236,Bill Weedles,,,,,
237,Bill Weedles,,,,,
238,I,,,,,
238,I,,,,,
239,That,,,,,
239,the creature,,,,,
239,the creature,,,,,
239,the creature,,,,,
240,Trot and Bill Weedles each,,,,,
240,Trot and Bill Weedles each,,,,,
242,the Orks from above,,,,,
243,We,,,,,
243,Trot,,,,,
244,We,,,,,
245,us,,,,,
245,us,,,,,
