sentence_index,agent,
0,throne,
2,they,
2,they,
2,they,
2,they,
3,they,
3,they,
3,they two,
3,between they,
3,they,
3,they,
4,they,
5,they,
5,they,
7,the Wanderer,
8,The servants of the Tin Woodman all,
8,The servants of the Tin Woodman all 's bodies,
8,the tin castle,
9,the Wanderer,
9,a Winkie servant Woot the Wanderer,
9,a Winkie servant,
9,all,
9,Woot the Wanderer,
9,a Winkie servant,
9,Woot the Wanderer,
10,the most gorgeous sight,
11,Who,
12,Woot the Wanderer,
13,"the servant , who had been trained to treat all strangers with courtesy",
13,who,
15,the little wanderer,
16,the servant,
16,good tin,
16,good tin,
16,we,
16,"we , who gladly serve our Emperor",
17,the little wanderer,
17,the little wandererthe little wanderer,
18,to wait a moment,
18,the servant,
18,the servant,
18,the servant,
18,the servant,
19,Both,
19,arrived,
19,a stranger,
19,a stranger,
19,arrived,
19,the servant,
20,Woot the Woot the Wanderer Woot the Woot the Wanderer,
20,Woot the Woot the Wanderer 's whole little body,
21,Woot the Woot the Wanderer,
21,Woot the Woot the Wanderer,
21,the Woot the Wanderer,
26,the Scarecrow Bear,
27,you,
29,you,
30,you,
30,you,
30,you,
31,Nothing in that corner of the Gillikin Country,
31,you,
31,you,
31,you,
31,you,
31,journey,
32,wanderings,
33,I,
33,the Tin Woodman,
33,I,
34,I,
34,I,
34,I,
35,I,
35,I,
35,I,
36,I,
36,the Scarecrow Bear,
37,I,
37,I,
37,some people,
37,some people,
38,the Tin Woodman,
39,one,
39,one,
39,I,
39,I,
39,I,
40,I,
40,I,
40,this,
40,I,
42,the Emperor of the Winkies,
42,the Emperor of the Winkies,
43,the Emperor of the Winkies,
44,a servant,
45,The Tin Woodman,
45,a servant,
46,the servant,
46,the boy,
47,the Emperor,
48,the Emperor,
48,the Emperor,
48,the Emperor,
50,all the Emperor 's Winkie people,
50,my tin cupboard,
51,The boy,
51,The boy,
52,the tin man,
53,The boy,
54,the tin man,
55,The boy,
55,the tin man,
55,the tin man,
56,I,
56,everyone here,
57,you,
57,I,
58,you,
58,you,
59,I,
59,I,
60,I,
60,the women,
60,the children,
61,my,
61,a beautiful Munchkin girl,
62,a beautiful Munchkin girl,
62,Woot the Wanderer,
64,a beautiful Munchkin girl,
64,a beautiful Munchkin girl,
64,a beautiful Munchkin girl who lived not far awaythe sunsets 's a beautiful Munchkin girl who lived not far away,
64,a powerful witch,
64,a powerful witch,
64,a beautiful Munchkin girl,
64,a powerful witch,
64,a beautiful Munchkin girl,
64,a beautiful Munchkin girl,
64,a powerful witch,
65,a beautiful Munchkin girl,
65,a beautiful Munchkin girl who lived not far away,
65,a powerful witch,
65,a,
65,a,
65,who,
65,who,
65,a powerful witch,
65,a powerful witch,
65,who,
65,a powerful witch,
65,a powerful witch,
65,a powerful witch,
65,a powerful witch,
65,a powerful witch,
65,a powerful witch,
66,She,
66,I,
67,I,
68,I,
68,She,
68,She,
68,the Wicked Witch,
68,we,
68,it,
68,the Wicked Witch,
69,the Wicked Witch,
69,I,
69,I,
69,I,
69,I,
70,I,
70,the Wicked Witch,
70,I,
70,my axe,
71,Woot the Wanderer,
72,the Tin Man,
73,the Tin Man,
73,the Wicked Witch,
74,the Tin Man,
74,the Tin Man,
74,a very skillful mechanic at the other side of the forest,
74,my friend,
75,"a very skillful mechanic at the other side of the forest , who was my friend",
75,"a very skillful mechanic at the other side of the forest , who was my friend",
76,It,
76,I,
78,Woot the Wanderer,
79,I.,
79,Your friend,
80,Nimmie Amee,
80,Nimmie Amee,
80,Nimmie Amee,
81,The Wicked Witch,
82,I,
82,I,
82,I 's axe,
83,I,
83,I 's friend the tinsmith,
83,I 's friend the tinsmith,
84,legs,
84,I,
84,Nimmie Amee,
84,legs,
85,I,
85,I,
85,my axe,
86,The tinsmith,
86,Nimmie Amee,
86,Nimmie Amee,
87,The Heart of the Tin Woodman the Tin Woodman The Emperor of the Winkies,
87,The Emperor of the Winkies,
87,the Tin Woodman The Emperor of the Winkies,
87,the Tin Woodman The Emperor of the Winkies 's voice,
88,Woot the Woot the Wanderer Woot the Woot the Wanderer the Woot the Wanderer,
88,Woot the Woot the Wanderer Woot the Woot the Wanderer the Woot the Wanderer,
88,the Tin Woodman The Emperor of the Winkies,
89,the Wicked Witch,
89,I,
89,the Wicked Witch,
90,she,
90,the tinsmith,
90,you,
92,by she,
92,"the enchanted axe , still enchanted by she",
93,she,
93,she,
93,she,
93,she,
93,she,
93,she,
94,Nimmie Amee,
95,She,
95,She,
95,She,
95,the tinsmith,
95,who,
95,the tinsmith,
96,the tinsmith,
96,who,
96,the tinsmith,
96,"the tinsmith , who set to work and made me a fine body of pure tin",
96,the tinsmith,
96,my 's body,
96,my 's body,
96,my,
97,a fine body of pure tin,
98,Nimmie Amee,
