sentence_index,agent,,,,,
0,Ann Soforth 's,,,,,
1,Ann Soforth 's,,,,,
1,Ann Soforth 's,,,,,
3,Some one,,,,,
3,"Ann Soforth 's 's younger sister , Salye",,,,,
3,we,,,,,
5,Ann Soforth 's,,,,,
6,she,,,,,
8,a few people,,,,,
8,a few people,,,,,
8,who,,,,,
9,a few people,,,,,
9,who,,,,,
9,a few people who were usually happy and contented and never cared to wander over the mountain pass into the more settled parts of the land,,,,,
9,a few people,,,,,
9,who,,,,,
9,"by a beautiful Princess named Royal Ozma , who lived in the splendid Emerald City",,,,,
9,a beautiful Princess named Royal Ozma,,,,,
9,a few people,,,,,
9,who,,,,,
9,a few people who were usually happy and contented and never cared to wander over the mountain pass into the more settled parts of the land,,,,,
9,a beautiful Princess named Royal Ozma,,,,,
10,a few people,,,,,
10,who,,,,,
10,a few people who were usually happy and contented and never cared to wander over the mountain pass into the more settled parts of the land,,,,,
10,a few people,,,,,
10,who,,,,,
10,who,,,,,
10,a few people,,,,,
10,who,,,,,
11,Royal Ozma,,,,,
11,the various parts of Royal Ozma 's country,,,,,
11,by the lovely girl Queen of the Emerald City,,,,,
12,a man named Jol Jemkiph Soforth,,,,,
12,a,,,,,
12,a man named Jol Jemkiph Soforth,,,,,
12,a man,,,,,
12,his people,,,,,
13,the lovely girl Queen of the Emerald City,,,,,
13,The King of Oogaboo,,,,,
14,the lovely girl Queen of the Emerald City,,,,,
14,the lovely girl Queen of the Emerald City,,,,,
14,"the lovely girl Queen of the Emerald City 's eldest daughter , Ann Soforth",,,,,
15,"her eldest daughter , Ann Soforth",,,,,
15,her birthday,,,,,
15,"her eldest daughter , Ann Soforth",,,,,
15,the birthdays,,,,,
16,people,,,,,
16,we,,,,,
16,Queen Ann Soforth,,,,,
17,Queen Ann Soforth of Oogaboo,,,,,
17,Queen Ann Soforth of Oogaboo,,,,,
17,Queen Ann Soforth of Oogaboo,,,,,
18,Queen Ann Soforth of Oogaboo,,,,,
19,Queen Ann Soforth of Oogaboo,,,,,
19,the fact that her father and mother did not return to Oogaboo,,,,,
19,Queen Ann Soforth of Oogaboo,,,,,
19,her father and mother,,,,,
20,Salye,,,,,
20,Salye,,,,,
20,Queen Ann Soforth of Oogaboo,,,,,
20,Queen Ann Soforth of Oogaboo,,,,,
20,Queen Ann Soforth of Oogaboo,,,,,
21,This absurd Kingdom of Oogaboo,,,,,
22,me,,,,,
22,Salye,,,,,
22,me,,,,,
27,Salye,,,,,
28,you,,,,,
28,you,,,,,
29,Salye,,,,,
29,Salye,,,,,
29,Salye,,,,,
29,Salye,,,,,
30,Salye,,,,,
30,Salye,,,,,
30,Salye,,,,,
31,Salye 's jeering words,,,,,
32,you,,,,,
32,a mere girl,,,,,
32,a mere girl,,,,,
32,her people,,,,,
32,her people,,,,,
32,a mere girl,,,,,
32,her people,,,,,
33,twenty - seven fine officers,,,,,
33,twenty - seven fine officers,,,,,
33,no one,,,,,
34,twenty - seven fine officers,,,,,
34,twenty - seven fine officers,,,,,
34,Royal Ozma 's,,,,,
34,Royal Ozma 's,,,,,
34,his gun,,,,,
35,Ann Soforth,,,,,
35,Ann,,,,,
36,Ann Soforth,,,,,
36,Ann Soforth,,,,,
36,Ann Soforth,,,,,
36,Ann Soforth,,,,,
37,Ann Soforth,,,,,
38,It all,,,,,
38,Ann Soforth,,,,,
39,Ann Soforth,,,,,
41,all the men of her kingdom,,,,,
41,all the men of her kingdom,,,,,
42,Ann Soforth,,,,,
43,I,,,,,
43,she,,,,,
43,I,,,,,
43,we,,,,,
43,we,,,,,
43,the people of Oz,,,,,
44,I,,,,,
44,"This argument , which I repeated to I more than once ,",,,,,
44,I,,,,,
45,I,,,,,
45,Whatever happens,,,,,
45,Whatever happens,,,,,
45,I,,,,,
45,I,,,,,
45,I,,,,,
46,I,,,,,
47,he,,,,,
47,he,,,,,
47,he,,,,,
47,an apple orchard,,,,,
48,Ann Soforth,,,,,
48,Ann Soforth,,,,,
48,Ann Soforth,,,,,
48,Jo Nails,,,,,
49,Jo Nails,,,,,
49,Jo Nails,,,,,
49,Jo Nails,,,,,
50,Ann Soforth,,,,,
51,Ann Soforth,,,,,
51,Jo Nails,,,,,
51,Ann Soforth,,,,,
52,Jo Nails,,,,,
52,Jo Nails,,,,,
52,Jo Nails,,,,,
53,you,,,,,
54,Ann Soforth,,,,,
56,you,,,,,
57,you,,,,,
57,he,,,,,
58,Ann Soforth,,,,,
58,Ann Soforth,,,,,
58,Jo Nails,,,,,
60,Jo Nails,,,,,
62,Jo Nails 's wife and children,,,,,
62,Ann Soforth,,,,,
63,I,,,,,
64,I,,,,,
64,Your Majesty,,,,,
65,I,,,,,
65,Your Majesty,,,,,
66,"Jo Cone , so called because the trees in Jo Cone , so called because the trees in his orchard bore crops of excellent ice - cream cones 's orchard bore crops of excellent ice - cream cones",,,,,
67,Your Majesty Soforth,,,,,
67,Your Majesty,,,,,
67,Jo Cone,,,,,
67,Jo Cone,,,,,
67,the trees in his orchard bore crops of excellent ice - cream cones,,,,,
68,me,,,,,
70,me 's good wife,,,,,
70,My good wife,,,,,
70,I.,,,,,
70,me,,,,,
71,Ann Soforth,,,,,
71,Ann Soforth,,,,,
72,me,,,,,
72,me,,,,,
74,you,,,,,
74,you,,,,,
74,Ann Soforth,,,,,
74,Jo Clock,,,,,
75,Jo Clock,,,,,
75,"Jo Clock , who had an orchard of clock - trees at first",,,,,
75,Jo Clock,,,,,
75,"Jo Clock , who had an orchard of clock - trees",,,,,
75,Jo Clock,,,,,
75,a General,,,,,
75,Jo Clock,,,,,
77,Jo Clock,,,,,
77,"Jo Clock , who had an orchard of clock - trees",,,,,
78,Ann Soforth,,,,,
80,I,,,,,
80,I,,,,,
80,every one of the eighteen men in Oogaboo,,,,,
80,I,,,,,
81,Jo Clock,,,,,
82,Jo Clock,,,,,
82,I,,,,,
83,I,,,,,
83,I,,,,,
84,she,,,,,
84,she,,,,,
84,she,,,,,
84,"the fifth one , Jo Nails ,",,,,,
84,Colonels and Generals,,,,,
84,Jo,,,,,
87,she,,,,,
88,Jo Candy,,,,,
89,No promises,,,,,
89,threats,,,,,
90,him,,,,,
90,him,,,,,
91,him,,,,,
91,him,,,,,
91,him,,,,,
92,Queen Ann,,,,,
92,him,,,,,
92,Queen Ann,,,,,
92,him,,,,,
92,Queen Ann,,,,,
93,"the eighteenth and last man in Oogaboo , who was a young fellow named Jo Files",,,,,
93,twelve trees,,,,,
93,"the eighteenth and last man in Oogaboo , who was a young fellow named Jo Files",,,,,
94,you,,,,,
94,I,,,,,
95,those in Jo Files ' orchard,,,,,
98,Jo Files,,,,,
98,all,,,,,
98,the people of Oogaboo,,,,,
98,Jo Files,,,,,
99,you,,,,,
100,Queen Ann Soforth,,,,,
100,"this young man Jo Files , who was both intelligent and ambitious",,,,,
101,"this young man Jo Files , who was both intelligent and ambitious",,,,,
102,"this young man Jo Files , who was both intelligent and ambitious",,,,,
103,Queen Ann Soforth,,,,,
104,I,,,,,
104,I,,,,,
