window_number,emotion_score
0,6.183076923076923
1,6.081333333333333
2,6.045999999999999
3,6.045999999999999
4,6.022242990654207
5,5.9993103448275855
6,6.02875
7,6.011052631578947
8,6.011052631578947
9,6.011052631578947
10,6.011034482758621
11,6.011034482758621
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,6.3159090909090905
22,6.245098039215685
23,6.245098039215685
24,6.245098039215685
25,6.245098039215685
26,6.245098039215685
27,6.245098039215685
28,6.245098039215685
29,6.245098039215685
30,6.245098039215685
31,6.245098039215685
32,6.245098039215685
33,6.245098039215685
34,5.799999999999999
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,6.197142857142857
44,6.193666666666667
45,6.193666666666667
46,6.251384615384615
47,6.3162931034482765
48,6.3162931034482765
49,6.3162931034482765
50,6.28860655737705
51,6.217611940298508
52,6.217611940298508
53,6.242808988764047
54,6.164063926940639
55,6.132777777777777
56,6.1500381679389315
57,6.134708737864079
58,6.134708737864079
59,6.134708737864079
60,6.0178666666666665
61,6.0178666666666665
62,6.0178666666666665
63,6.028888888888889
64,6.0773484848484856
65,6.0773484848484856
66,5.95625
67,6.114
68,6.060384615384616
69,6.0498245614035095
70,6.0498245614035095
71,6.129597315436241
72,6.207297297297298
73,6.207297297297298
74,6.201315789473684
75,6.194540816326531
76,6.180502512562814
77,6.180502512562814
78,5.943942652329748
79,5.9360937499999995
80,5.983046874999999
81,6.037896174863388
82,6.012689873417722
83,6.012689873417722
84,6.000566666666666
85,5.883020408163266
86,5.883020408163266
87,5.881
88,5.887978723404256
89,5.953024691358024
90,5.99070821529745
91,6.044985835694051
92,6.2338699690402475
93,6.276304347826086
94,6.245098039215686
95,6.241335877862595
96,6.214555160142349
97,6.239904153354633
98,6.27563953488372
99,6.279497354497355
