window_number,emotion_score
0,6.0363561643835615
1,6.018417910447761
2,6.028466076696166
3,6.027507246376811
4,6.016030303030303
5,5.981310975609755
6,5.989969135802469
7,6.003333333333333
8,6.0137730061349695
9,6.020296052631578
10,6.024906832298137
11,5.9966333333333335
12,6.047095588235294
13,6.055505617977527
14,6.019921259842519
15,6.033333333333333
16,6.034871794871795
17,5.962777777777778
18,5.916833333333333
19,5.903856655290102
20,5.938586206896552
21,5.93573076923077
22,5.9223624595469255
23,5.903367697594502
24,5.873636363636364
25,5.862919708029198
26,5.807764227642276
27,5.829703703703703
28,5.8254380664652565
29,5.833257142857143
30,5.854253521126761
31,5.861692307692308
32,5.888741496598639
33,5.851257668711655
34,5.828899082568808
35,5.8485760517799354
36,5.802862068965517
37,5.801241134751774
38,5.7982562277580065
39,5.805253623188405
40,5.801742160278745
41,5.769810606060606
42,5.743625498007969
43,5.814197530864197
44,5.803785046728972
45,5.850585585585585
46,5.873459459459459
47,5.9041104294478535
48,5.809145299145299
49,5.826609442060086
50,5.845
51,5.845
52,5.845
53,5.848571428571428
54,5.911329113924051
55,5.911329113924051
56,5.886291390728476
57,5.912071428571429
58,5.808416666666667
59,5.797542372881356
60,5.797542372881356
61,5.8075
62,5.632499999999999
63,5.632499999999999
64,5.72
65,5.768979591836733
66,5.87010101010101
67,5.941694915254238
68,5.980694444444444
69,6.001999999999999
70,5.9889705882352935
71,5.9962857142857136
72,5.9962857142857136
73,6.003835616438356
74,6.059571428571428
75,6.059571428571428
76,6.059571428571428
77,6.0692537313432835
78,6.128785046728972
79,6.226666666666667
80,6.24578947368421
81,6.172727272727274
82,6.123181818181819
83,6.123181818181819
84,6.111
85,6.111
86,6.0988235294117645
87,6.0988235294117645
88,6.0988235294117645
89,6.088510638297873
90,6.15622641509434
91,6.3751807228915665
92,6.3751807228915665
93,6.3751807228915665
94,6.386060606060606
95,6.371645569620253
96,6.378222222222222
97,6.341428571428572
98,6.298035714285714
99,6.348724489795918
