window_number,emotion_score
0,0
1,0
2,0
3,0
4,6.449999999999999
5,6.449999999999999
6,6.449999999999999
7,6.449999999999999
8,6.449999999999999
9,6.449999999999999
10,6.449999999999999
11,6.449999999999999
12,6.449999999999999
13,6.449999999999999
14,6.449999999999999
15,6.449999999999999
16,6.449999999999999
17,6.449999999999999
18,6.449999999999999
19,6.449999999999999
20,6.3870588235294115
21,6.3870588235294115
22,5.963783783783783
23,5.963783783783783
24,6.019
25,6.019
26,6.019
27,6.069767441860465
28,6.135510204081633
29,6.322021276595745
30,6.2660638297872335
31,6.185247524752476
32,6.091557377049181
33,6.091557377049181
34,6.093141025641025
35,6.101464646464646
36,6.090201005025126
37,6.090201005025126
38,6.097064676616917
39,6.111409090909091
40,6.111991150442479
41,6.115714285714286
42,6.0828750000000005
43,6.0828750000000005
44,6.091659751037345
45,6.091659751037345
46,6.076814516129033
47,6.074586776859505
48,6.132680000000001
49,6.0828
50,6.087269624573379
51,6.05987012987013
52,6.057602523659306
53,6.065792507204611
54,6.061723163841809
55,6.057333333333334
56,5.98809375
57,6.01360655737705
58,6.041161971830986
59,6.041161971830986
60,6.033321033210333
61,6.023364055299538
62,6.013317307692308
63,6.023719806763285
64,6.023719806763285
65,5.9911290322580655
66,5.993906249999999
67,5.986149732620321
68,6.023876404494382
69,6.023876404494382
70,6.023876404494382
71,6.0115819209039545
72,6.029941176470589
73,6.018622754491018
74,5.9992857142857146
75,6.137067669172931
76,6.150492957746478
77,6.080454545454545
78,6.166290322580645
79,6.170609756097561
80,5.959699999999999
81,5.926590909090908
82,5.926590909090908
83,5.932048192771084
84,5.932048192771084
85,5.917931034482759
86,5.922526315789473
87,5.808503937007875
88,5.886573426573427
89,5.886573426573427
90,5.886573426573427
91,5.912317880794702
92,5.924413793103449
93,5.975838150289017
94,5.983804347826087
95,6.059514563106796
96,6.0865777777777765
97,6.138421052631578
98,6.152282608695653
99,6.158888888888889
