window_number,emotion_score
0,6.1046486486486495
1,6.114478672985782
2,6.151987041036717
3,6.148957055214725
4,6.18656050955414
5,6.198359550561798
6,6.155871743486974
7,6.110492700729926
8,6.130994263862333
9,6.114934497816594
10,6.132372448979591
11,6.11515892420538
12,6.008915662650603
13,5.9964371257485025
14,5.993642172523962
15,5.9589108910891095
16,5.91144578313253
17,5.864391534391535
18,5.923684210526315
19,5.923684210526315
20,6.035941422594142
21,6.019468085106383
22,6.042830188679245
23,6.076984126984128
24,6.0354966887417225
25,6.018989071038252
26,6.019414225941422
27,6.062450805008944
28,6.062450805008944
29,6.069016129032258
30,6.056451612903227
31,6.064923076923077
32,6.06260067114094
33,6.040808580858086
34,6.022243150684932
35,6.080785046728972
36,6.110280172413793
37,5.981005291005291
38,5.9504802259887
39,5.971827160493827
40,5.922576177285319
41,5.837265917602996
42,5.84549815498155
43,5.865572519083969
44,5.90320987654321
45,5.886616541353384
46,5.852706766917292
47,5.90136690647482
48,5.944124513618678
49,5.952857142857143
50,5.904851851851852
51,5.954947735191637
52,6.018286604361371
53,6.095543478260869
54,6.09559405940594
55,5.979658119658119
56,5.932760180995475
57,5.992785388127854
58,6.056891089108911
59,6.070849802371542
60,6.116218097447796
61,6.118766233766234
62,6.089801762114538
63,6.0412846347607045
64,6.0162416107382555
65,6.027845036319611
66,6.139551122194515
67,6.077279792746114
68,6.0148186528497405
69,6.0161674008810575
70,6.0161674008810575
71,6.011025641025641
72,5.919776674937964
73,5.946891304347825
74,5.971642857142857
75,6.025495689655173
76,6.036143497757847
77,6.103796095444685
78,6.05608695652174
79,6.110420792079208
80,6.1191176470588236
81,6.164425675675674
82,6.191166077738516
83,6.235527426160337
84,6.23189138576779
85,6.214333333333333
86,6.213995943204869
87,6.155658914728683
88,6.153875236294896
89,6.130697674418605
90,6.134799999999999
91,6.026965317919075
92,6.022334801762115
93,6.052548262548262
94,6.019439655172413
95,6.0140816326530615
96,6.016721698113207
97,6.063034682080925
98,6.0757763975155274
99,6.127654320987654
