window_number,emotion_score
0,5.760485260770975
1,5.748900547445255
2,5.75618368256799
3,5.753094922737306
4,5.747217618839947
5,5.758309554690878
6,5.762679261485616
7,5.767406451612904
8,5.807911714770798
9,5.814133389974512
10,5.859533700720645
11,5.862264545835078
12,5.8664744919120695
13,5.866922759190417
14,5.8998817292006525
15,5.919190169218371
16,5.918798387096774
17,5.933170926517572
18,5.9513394276629565
19,5.964651162790697
20,5.933122313403674
21,5.924537782892212
22,5.910522273425499
23,5.896177829099307
24,5.887704536642109
25,5.90320251177394
26,5.913084894380232
27,5.882046362909673
28,5.86031035872632
29,5.844861900893582
30,5.832187755102041
31,5.8209598676044685
32,5.8096929460580915
33,5.817930016863406
34,5.835774946921444
35,5.852290239726027
36,5.867913638306969
37,5.892347937048065
38,5.880571065989848
39,5.8677022518765645
40,5.867700247729149
41,5.903569393569393
42,5.91804435483871
43,5.918466800804829
44,5.932703999999999
45,5.946638822593476
46,5.964856242615202
47,5.93079874706343
48,5.920651840490797
49,5.91210283960092
50,5.895568793235971
51,5.888509895227008
52,5.900738413197171
53,5.910635745701719
54,5.8795554665598715
55,5.857677261613691
56,5.852589102826711
57,5.857333883615353
58,5.826137320977255
59,5.800296484540449
60,5.792625
61,5.790278850278851
62,5.790537172324883
63,5.767030434782609
64,5.765228270412643
65,5.752591792656587
66,5.7502869379015
67,5.745604210526316
68,5.756324324324325
69,5.747853937168503
70,5.733020491803279
71,5.729031071136549
72,5.734079422382671
73,5.773702506063056
74,5.807905948553055
75,5.814304472712351
76,5.805130542892665
77,5.847672485453034
78,5.854354707792208
79,5.848880627839735
80,5.812746508675412
81,5.802191722972973
82,5.791871496334627
83,5.792421234354769
84,5.793189095629598
85,5.761476335214937
86,5.77380008806693
87,5.7297650130548305
88,5.706076493339063
89,5.7334547792541795
90,5.766874466268146
91,5.7708714043993234
92,5.79613810741688
93,5.826009349766255
94,5.886060093101988
95,5.890628742514971
96,5.917804984696109
97,5.92867816091954
98,5.972160356347438
99,6.036854982206405
