window_number,emotion_score
0,5.878921694480103
1,5.888323301805674
2,5.869272013949433
3,5.857901668129939
4,5.8325087108013935
5,5.829664488017429
6,5.889245033112583
7,5.89052422907489
8,5.851458425967096
9,5.8601051248357425
10,5.870286481647269
11,5.841086757990867
12,5.841624365482233
13,5.812755150934356
14,5.800562560620756
15,5.8301491819056785
16,5.855929456625358
17,5.918962085308057
18,5.915219465648855
19,5.916280076997113
20,5.902568720379148
21,5.9329203956665095
22,5.926127029608406
23,5.919995355318161
24,5.942721461187215
25,5.947874831157137
26,5.966073913043478
27,5.974035238504513
28,5.947284538761368
29,5.920321161460625
30,5.870824151608638
31,5.867210319195452
32,5.878072394243349
33,5.880718378140151
34,5.853939929328622
35,5.857050043898155
36,5.860889887640449
37,5.8373546910755145
38,5.825952602230483
39,5.811944177093359
40,5.805593962999025
41,5.831103082851637
42,5.868141086749285
43,5.9107375886524816
44,5.91775238095238
45,5.903822541966427
46,5.909444708115804
47,5.883499281953087
48,5.885807228915662
49,5.886938002839565
50,5.866770981507824
51,5.8312742775935575
52,5.802416512059368
53,5.78
54,5.743597785977859
55,5.705798435342843
56,5.687914364640884
57,5.686762257169288
58,5.668153342683497
59,5.65
60,5.665758426966292
61,5.686566744730679
62,5.694579172610557
63,5.7197272727272725
64,5.766623992413466
65,5.819183381088825
66,5.875400468384075
67,5.873370892018779
68,5.876378482228627
69,5.887368922783603
70,5.867515557683101
71,5.879913999044435
72,5.884129093497864
73,5.882633822832781
74,5.839068557919623
75,5.815694183864916
76,5.784740706746214
77,5.738665430954587
78,5.710000000000001
79,5.681177829099308
80,5.6886849442379175
81,5.671791801013358
82,5.660278696268304
83,5.677538677918425
84,5.703491990846683
85,5.727466419638722
86,5.760622981079834
87,5.79094495412844
88,5.822311876699909
89,5.835728372926939
90,5.858664636798608
91,5.861776605101143
92,5.87661861074705
93,5.884430107526883
94,5.914559452523524
95,5.942591501893143
96,5.973569641367807
97,5.960453034081462
98,5.986027508090615
99,5.99669773095624
